ID,Name_lang,SetFlags,RequiredSkill,RequiredSkillRank,ItemID[0],ItemID[1],ItemID[2],ItemID[3],ItemID[4],ItemID[5],ItemID[6],ItemID[7],ItemID[8],ItemID[9],ItemID[10],ItemID[11],ItemID[12],ItemID[13],ItemID[14],ItemID[15],ItemID[16]
1,O Gladiador,1,0,0,11729,11726,11728,11731,11730,0,0,0,0,0,0,0,0,0,0,0,0
41,Armas de Dal'Rend,0,0,0,12940,12939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Beijo da Aranha,0,0,0,13218,13183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,O Chefe do Correio,0,0,0,13390,13388,13391,13392,13389,0,0,0,0,0,0,0,0,0,0,0,0
121,Trajes Cadavérico,0,0,0,14637,14636,14640,14638,14641,0,0,0,0,0,0,0,0,0,0,0,0
122,Traje Necrópilo,0,0,0,14631,14629,14632,14633,14626,0,0,0,0,0,0,0,0,0,0,0,0
123,Paramentos de Malha Sangrenta,0,0,0,14614,14616,14615,14611,14612,0,0,0,0,0,0,0,0,0,0,0,0
124,Guardião Ossomorte,0,0,0,14624,14622,14620,14623,14621,0,0,0,0,0,0,0,0,0,0,0,0
141,Armadura Vulcânica,0,0,0,15053,15054,15055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Armadura do Véu da Tempestade,0,0,0,15056,15057,15058,21278,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Armadura de Demossauro,0,0,0,15062,15063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Armadura de Penaférrea,0,0,0,15066,15067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Couro de Défias,0,0,0,10399,10403,10402,10401,10400,0,0,0,0,0,0,0,0,0,0,0,0
162,Abraço da Víbora,0,0,0,10412,10411,10413,10410,6473,0,0,0,0,0,0,0,0,0,0,0,0
163,Malha Encadeada da Cruzada Escarlate,0,0,0,10329,10332,10328,10331,10330,10333,0,0,0,0,0,0,0,0,0,0,0
181,Paramentos do Magíster,0,0,0,16685,16683,16686,16684,16687,16689,16688,16682,0,0,0,0,0,0,0,0,0
182,Vestimenta do Devoto,0,0,0,16696,16691,16697,16693,16692,16695,16694,16690,0,0,0,0,0,0,0,0,0
183,Traje de Brumedo,0,0,0,16702,16703,16699,16701,16700,16704,16698,16705,0,0,0,0,0,0,0,0,0
184,Armadura da Arte Sombria,0,0,0,16713,16711,16710,16721,16708,16709,16712,16707,0,0,0,0,0,0,0,0,0
