Name_lang,Description_lang,ID,HouseLevelDataID,Field_12_0_0_63967_004,IconFileDataID
Coleção de cômodos inicial,Comece a construir a sua casa com cômodos de formas básicas variadas. Boas-vindas ao lar!,11,35,0,4217590
Decoração exterior,Você pode posicionar 200 pontos de decoração no seu jardim.,12,35,1,8164790
Armila Lumelar,"Você receberá uma Armila Lumelar, um dispositivo impressionante capaz de manipular a luz do ambiente dentro e ao redor da casa dos seus donos, para enfraquecê-la ou intensificá-la.|n|nCópias adicionais podem ser adquiridas no Último Arquiteto em sua vizinhança.",23,52,0,7487068
Exteriores da casa de tamanho médio,Agora você pode usar exteriores de tamanho médio na sua casa.,24,53,0,7252953
Bônus de orçamento de colocação de cômodos e decorações,"O orçamento de colocação de cômodos e o orçamento de colocação de decorações neste nível aumentaram consideravelmente (+10 para cômodos, +500 para decorações).",26,55,0,135769
Bônus de orçamento de colocação de cômodos e decorações,"O orçamento de colocação de cômodos e o orçamento de colocação de decorações neste nível aumentaram consideravelmente (+10 para cômodos, +500 para decorações).",27,56,0,135769
Aumento de decoração exterior,"Agora você pode colocar mais 50 pontos de decoração no seu jardim, totalizando 250.",30,30,0,8164790
Aumento de decoração exterior,"Agora você pode colocar mais 50 pontos de decoração no seu jardim, totalizando 300.",38,34,0,8164790
Aumento de decoração exterior,"Agora você pode colocar mais 50 pontos de decoração no seu jardim, totalizando 350.",39,55,1,8164790
Tesouros de terras distantes,"Visite o Último Arquiteto na sua vizinhança uma vez por semana para obter uma Esfera Portarcano, que contém uma peça de decoração aleatória de uma seleção especial da coleção do Último Arquiteto.",40,66,0,7137527
Bônus de orçamento de colocação de cômodos e decorações,"O orçamento de colocação de cômodos e o orçamento de colocação de decorações neste nível aumentaram consideravelmente (+10 para cômodos, +500 para decorações).",41,67,0,135769
Exteriores da casa de tamanho grande,Agora você pode usar exteriores de tamanho grande na sua casa.,42,68,0,7252953
