ID,Name_lang,CreatureID,PortraitFileDataID,UiTextureKitID,UiAnimScale,UiAnimHeight,Flags,AutoCombatantID
1,Gronnídeo de Fogofrio,80693,1067373,0,0.75,0.55,0,0
2,Batedor do Senhor do Trovão,87430,1067284,0,1.4,0.5,0,0
4,Encontro com Orc 1,78009,1067281,0,1.5,0.5,0,0
5,Encontro com Orc 2,79359,1067297,0,1.5,0.5,0,0
7,Encontro com Ogro 1,79378,1067321,0,1.5,0.55,0,0
29,Definir Encontro Teste de Missão de Chris,0,0,0,1,0.4,0,0
30,Gronnídeo de Fogofrio,80704,1067391,0,0.75,0.55,0,0
31,Gronnídeo de Fogofrio,80693,1067373,0,0.75,0.55,0,0
32,Rylak Boca de Gelo,80705,1067265,0,0.55,0.45,0,0
33,Batedor do Senhor do Trovão,80192,1067335,0,0.6,0.9,0,0
34,Batedor do Senhor do Trovão,80172,1067334,0,1.2,0.5,0,0
35,Encontro com Ogro 2,79380,1067230,0,0.9,0.55,0,0
36,Encontro com Morto-vivo 1,79380,1067230,0,1,0.5,0,0
37,Encontro com Aberração 1,79383,1067191,0,0.8,0.5,0,0
38,Encontro com Arakkoa 1,79387,1067348,0,0.5,0.5,0,0
39,Encontro com Arakkoa 2,81338,1067462,0,0.9,0.5,0,0
40,Encontro com Fera 1,79384,1067296,0,1.1,0.5,0,0
41,Encontro com Fera 2,79386,1067246,0,1.4,0.5,0,0
42,Encontro com Demônio 1,79381,1067240,0,1.1,0.6,0,0
43,Encontro com Demônio 2,81339,1067193,0,0.6,0.6,0,0
44,Encontro com Rachador 1,79382,1067290,0,1,0.5,0,0
45,Encontro com Rachador 2,79385,1067311,0,1.5,0.6,0,0
46,Encontro com Fúria 1,81340,1067223,0,1.2,0.5,0,0
47,Encontro com Fúria 2,81341,2395691,0,1,0.5,0,0
48,Encontro com Primevo 1,81342,1067224,0,1,0.5,0,0
49,Encontro com Primevo 2,81343,1067208,0,1,0.5,0,0
50,Lesmas Horrendas,19787,0,0,1,0.4,0,0
51,Assolador Furtivo,81538,1067344,0,0.9,0.45,0,0
52,Salta-rocha do Senhor do Trovão,81562,1067236,0,1.55,0.5,0,0
53,Leitor dos Ventos Senhor do Trovão,81565,1067286,0,1.55,0.5,0,0
54,Lobo Amaldiçoado,81568,1067253,0,1.5,0.5,0,0
55,Trabalhador Calafrio,81580,1067268,0,1.2,0.55,0,0
56,Catador Bicagelo,81583,1067178,0,1.3,0.9,0,0
57,Saqueador Giralança,81587,1067336,0,1.2,0.5,0,0
58,Devorador Pálido,82405,1067305,0,1,0.45,0,0
59,Sapo Corrompido,82410,1067273,0,1,0.45,0,0
60,Corvo Quedaluna,82409,1067466,0,0.8,0.5,0,0
61,Necrólito da Lua Negra,82413,1067287,0,1.55,0.5,0,0
62,Taumaturgo Lua Negra,82414,1067282,0,1.55,0.5,0,0
63,Trilha-prado Trovejante,83059,1067312,0,0.75,0.55,0,0
64,Arcanista Goriano,83067,1067413,0,1.2,0.5,0,0
65,Aliado Goriano,83071,1067409,0,1.2,0.5,0,0
66,Videchamas de Ferro,83128,1067339,0,1.4,0.5,0,0
67,Videchamas de Ferro,83126,1067270,0,1.4,0.5,0,0
68,"Beremus, o Feitor",83236,1067399,0,0.9,0.53,0,0
69,"Tarlna, o Ancião",83236,1067399,0,0.9,0.53,0,0
70,Tempestário Beira-céu,83357,1067403,0,0.9,0.55,0,0
71,Seguidor Harrier,83363,1067405,0,0.9,0.55,0,0
72,Aniquilador Vilania,83379,1067240,0,0.75,0.55,0,0
73,Matriarca Jubassangue,83074,1067433,0,0.8,0.55,0,0
