ID,FullName_lang,ShortName_lang,GroupFinderCategoryID,OrderIndex,GroupFinderActivityGrpID,Flags,MinGearLevelSuggestion,PlayerConditionID,MapID,DifficultyID,AreaID,MaxPlayers,DisplayType,Field_11_0_7_57361_013,Field_11_0_7_57361_014,Field_11_0_7_57361_015,Field_11_0_7_57361_016,OverrideContentTuningID,MapChallengeModeID
2,Teldrassil,Teldrassil,1,0,3,258,0,0,1,0,141,0,4,0,0,0,0,0,0
3,Cerro Oeste,Cerro Oeste,1,0,2,258,0,0,0,0,40,0,4,0,0,0,0,0,0
4,Cerco a Orgrimmar (Normal),Normal,3,0,1,35,0,0,1136,14,0,30,0,0,0,0,0,0,0
6,Arena (2x2),2x2,4,0,0,36,0,78463,0,0,0,2,2,0,0,0,0,0,0
7,Arena (3x3),3x3,4,1,0,36,0,78463,0,0,0,3,2,0,0,0,0,0,0
9,Núcleo Derretido,Núcleo Derretido,3,-1,0,34,0,0,409,9,0,40,0,0,0,0,0,0,0
14,Escaramuça de Arena (2x2),2x2,7,0,0,36,0,86427,0,0,0,2,2,0,0,0,0,0,0
15,Campos de Batalha,Campos de Batalha,8,0,0,36,0,86429,0,0,0,5,1,0,0,0,0,0,0
16,JxA Personalizado,Personalizado,6,0,0,1058,0,0,0,0,0,0,0,0,0,0,0,0,0
17,JxJ Personalizado,JxJ Personalizado,6,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Minas Mortas (Normal),Normal,2,0,5,98,0,0,36,1,0,5,1,0,0,0,0,0,0
19,CB Ranqueados,CB Ranqueados,9,0,0,36,0,78463,0,0,0,0,0,0,0,0,0,0,0
21,Minas de Escória do Malho Sangrento (Normal),Normal,2,1,6,99,0,0,1175,1,0,5,1,0,0,0,0,0,0
22,Docas de Ferro (Normal),Normal,2,1,7,99,50,87337,1195,1,0,5,1,0,0,0,0,0,0
23,Auchindoun (Normal),Normal,2,1,8,99,0,0,1182,1,0,5,1,0,0,0,0,0,0
24,Beira-céu (Normal),Normal,2,1,9,99,0,0,1209,1,0,5,1,0,0,0,0,0,0
25,Central do Carrilcruel (Normal),Normal,2,1,10,99,0,87337,1208,1,0,5,1,0,0,0,0,0,0
26,Floretérnia (Normal),Normal,2,1,11,99,0,0,1279,1,0,5,1,0,0,0,0,0,0
27,Sepulcrário da Lua Negra (Normal),Normal,2,1,12,99,0,0,1176,1,0,5,1,0,0,0,0,0,0
28,Pico da Rocha Negra Superior (Normal),Normal,2,1,13,99,0,0,1358,1,0,5,1,0,0,0,0,0,0
29,Minas de Escória do Malho Sangrento (Heroico),Heroico,2,2,6,99,0,0,1175,2,0,5,1,0,0,0,0,0,0
30,Docas de Ferro (Heroico),Heroico,2,2,7,99,50,87337,1195,2,0,5,1,0,0,0,0,0,0
31,Auchindoun (Heroico),Heroico,2,2,8,99,0,0,1182,2,0,5,1,0,0,0,0,0,0
32,Beira-céu (Heroico),Heroico,2,2,9,99,0,0,1209,2,0,5,1,0,0,0,0,0,0
33,Central do Carrilcruel (Heroico),Heroico,2,2,10,99,0,87337,1208,2,0,5,1,0,0,0,0,0,0
34,Floretérnia (Heroico),Heroico,2,2,11,99,0,0,1279,2,0,5,1,0,0,0,0,0,0
