DisplayName_lang,VerboseName_lang,ID,ClassID,SubClassID,AuctionHouseSortOrder,PrerequisiteProficiency,Flags,DisplayFlags,WeaponSwingSize,PostrequisiteProficiency
Bolsa,,2,1,0,0,-1,0,0,0,-1
Machado,Machados de Uma Mão,3,2,0,0,-1,3,0,1,1
Machado,Machados de Duas Mãos,4,2,1,0,0,3,0,2,-1
Arco,Arcos,5,2,2,0,-1,128,0,1,-1
Arma de fogo,Armas de Fogo,6,2,3,0,-1,160,0,1,-1
Maça,Maças de Uma Mão,7,2,4,0,-1,3,0,1,5
Maça,Maças de Duas Mãos,8,2,5,0,4,3,0,2,-1
Arma de Haste,Armas de Haste,9,2,6,0,-1,3,0,2,-1
Espada,Espadas de Uma Mão,10,2,7,0,-1,3,0,1,8
Espada,Espadas de Duas Mãos,11,2,8,0,7,3,0,2,-1
Glaives de Guerra,,12,2,9,0,-1,1,0,2,-1
Cajado,Báculos,13,2,10,0,-1,3,0,2,-1
Garras de Urso,Garras de Urso,14,2,11,0,-1,0,3,1,12
Unhas de Gato,Unhas de Gato,15,2,12,0,11,0,3,1,-1
Arma de Punho,Armas de punho,16,2,13,0,-1,5,0,1,-1
Diversos,,17,2,14,0,-1,2,1,0,-1
Adaga,Adagas,18,2,15,0,-1,3,0,8,-1
Diversos,,19,4,0,0,-1,512,1,0,-1
Tecido,Tecido,20,4,1,0,-1,1536,0,0,-1
Couro,Couro,21,4,2,0,-1,1536,0,0,-1
Malha,Malha,22,4,3,0,-1,1536,0,0,-1
Placas,Placas,23,4,4,0,-1,1536,0,0,-1
Cosmético,Cosmético,24,4,5,0,-1,0,1,0,-1
Escudo,Escudos,25,4,6,0,5,0,0,0,-1
Wand(OBSOLETE),,26,6,0,0,-1,0,3,0,-1
Bolt(OBSOLETE),,27,6,1,0,-1,0,2,0,-1
Flecha,,28,6,2,0,-1,0,2,0,-1
Projétil,,29,6,3,0,-1,0,2,0,-1
Quiver(OBSOLETE),,30,11,0,0,-1,0,7,0,-1
Bolt(OBSOLETE),,31,11,1,0,-1,0,7,0,-1
Aljava,,32,11,2,0,-1,0,6,0,-1
Bornal de Munição,,33,11,3,0,-1,0,6,0,-1
Arremesso,Arremesso,34,2,16,0,-1,16,0,1,-1
Thrown(OBSOLETE),,35,6,4,0,-1,0,2,0,-1
Intelecto,,36,3,0,1,-1,0,1,0,-1
Trade Goods (OBSOLETE),,37,7,0,0,-1,0,3,0,-1
Peças,,38,7,1,10,-1,0,1,0,-1
Explosives (OBSOLETE),,39,7,2,0,-1,0,3,0,-1
Livro,,40,9,0,0,-1,0,1,0,-1
Couraria,,41,9,1,0,-1,0,1,0,-1
Alfaiataria,,42,9,2,0,-1,0,1,0,-1
Explosivos e Dispositivos,,43,0,0,0,-1,0,1,0,-1
Poções,,44,0,1,0,-1,0,1,0,-1
Elixires,,45,0,2,0,-1,0,1,0,-1
Lança,Lanças,46,2,17,0,-1,3,2,2,-1
Money(OBSOLETE),,47,10,0,0,-1,0,1,0,-1
Cabeça,,48,8,0,0,-1,0,1,0,-1
Missão,,49,12,0,0,-1,0,1,0,-1
Reagente,,50,5,0,0,-1,0,1,0,-1
Permanente,,51,14,0,0,-1,0,1,0,-1
Sucata,,52,15,0,0,-1,0,1,0,-1
Chave,,53,13,0,0,-1,0,1,0,-1
Arrombar,,54,13,1,0,-1,0,1,0,-1
Besta,Bestas,55,2,18,0,-1,160,0,1,-1
Varinha,Varinhas,56,2,19,0,-1,256,0,1,-1
