Name_lang,FemaleName_lang,Description_lang,ID,ClassID,OrderIndex,PetTalentType,Role,Flags,SpellIconFileID,PrimaryStatPriority,AnimReplacements,MasterySpellID[0],MasterySpellID[1]
Arcano,Arcano,"Manipula magia Arcana bruta, destruindo inimigos com poder implacável.

Armas preferidas: cajado, varinha, adaga e espada",62,8,0,0,2,3,135932,0,362,190740,0
Fogo,Fogo,"Concentra a pura essência da magia de Fogo, atacando inimigos com chamas famintas.

Armas preferidas: cajado, varinha, adaga e espada",63,8,1,0,2,3,135810,0,362,12846,0
Gélido,Gélido,"Congela, imobiliza e estilhaça todos os inimigos com feitiços de Gelo.

Armas preferidas: cajado, varinha, adaga e espada",64,8,2,0,2,67,135846,0,362,76613,0
Sagrado,Sagrado,"Invoca o poder da Luz para proteger e curar aliados, e derrotar o mal nos cantos mais sombrios do mundo.

Armas preferidas: espada e maça, com escudo",65,2,0,0,1,5,135920,1,0,183997,0
Proteção,Proteção,"Utiliza magia Sagrada para se proteger e defender os aliados.

Armas preferidas: espada, maça e machado, com escudo",66,2,1,0,0,4,236264,5,0,76671,0
Retribuição,Retribuição,"Um cruzado íntegro e justo, que julga e pune os oponentes com armas e magia Sagrada.

Armas preferidas: espada, maça e machado de duas mãos",70,2,2,0,2,68,135873,5,0,267316,0
Armas,Armas,"Um experiente mestre de armas, que emprega mobilidade e ataques poderosos para destroçar os inimigos.

Armas preferidas: machado, maça e espada de duas mãos",71,1,0,0,2,68,132355,5,0,262111,0
Fúria,Fúria,"Um berserker furioso empunhando duas armas que desfere uma torrente de ataques para fazer picadinho dos oponentes.

Armas preferidas: maça, espada e machado de duas mãos",72,1,1,0,2,20,132347,5,0,76856,0
Proteção,Proteção,"Um defensor implacável que usa um escudo para proteger a si mesmo e também os aliados.

Armas preferidas: machado, maça, espada, com escudo",73,1,2,0,0,4,132341,5,0,76857,0
Ferocidade,Ferocidade,"Guiadas por uma persistência frenética em perseguir a presa, essas feras não param por nada até alcançarem a vitória. Até a morte é temporária para esses predadores.",74,0,0,0,2,0,236159,0,0,0,0
Astúcia,Astúcia,Criaturas astutas capazes de mitigar habilmente golpes letais desferidos contra elas e seus aliados.,79,0,2,2,2,0,132150,0,0,0,0
Tenacidade,Tenacidade,Defensores veteranos e resistentes que colocam suas couraças grossas e camadas protetoras na linha para proteger os aliados.,81,0,1,1,0,0,132121,0,0,0,0
Equilíbrio,Equilíbrio,"Assume a forma de um poderoso Luniscante e equilibra as magias Arcana e de Natureza para destruir inimigos.

Armas preferidas: cajado, adaga e maça",102,11,0,0,2,331,136096,0,363,393014,0
Feral,Feral,"Assume a forma de um grande felino que causa dano com mordidas e sangramentos.

Armas preferidas: cajado e arma de haste",103,11,1,0,2,260,132115,3,363,77493,0
Guardião,Guardião,"Assume a forma de um grande urso que absorve dano e protege aliados.

Armas preferidas: cajado e arma de haste",104,11,2,0,0,4,132276,3,363,155783,0
Restauração,Restauração,"Canaliza poderosa magia de Natureza para regenerar e revitalizar aliados.

Armas preferidas: cajado, adaga e maça",105,11,3,0,1,3,136041,0,363,77495,0
