Name_lang,Filename,Name_male_lang,Name_female_lang,PetNameToken,Description_lang,RoleInfoString_lang,DisabledString_lang,Hyphenated_name_male_lang,Hyphenated_name_female_lang,CreateScreenFileDataID,SelectScreenFileDataID,IconFileDataID,LowResScreenFileDataID,Flags,SpellTextureBlobFileDataID,ArmorTypeMask,Field_9_0_1_34490_018,MaleCharacterCreationVisualFallback,MaleCharacterCreationIdleVisualFallback,FemaleCharacterCreationVisualFallback,FemaleCharacterCreationIdleVisualFallback,CharacterCreationIdleGroundVisualFallback,CharacterCreationGroundVisualFallback,AlteredFormCharacterCreationIdleVisualFallback,CharacterCreationAnimLoopWaitTimeMsFallback,CinematicSequenceID,DefaultSpec,ID,PrimaryStatPriority,DisplayPower,RangedAttackPowerPerAgility,AttackPowerPerAgility,AttackPowerPerStrength,SpellClassSet,ClassColorR,ClassColorG,ClassColorB,RolesMask
Guerreiro,WARRIOR,Guerreiro,Guerreira,PET,"Guerreiros são lutadores de armadura que aspiram à perfeição no combate armado. À medida que lutam, os guerreiros geram raiva, que é usada em ataques especiais.",Funções: |cfffffffftanque ou dano corpo a corpo|r,É preciso escolher outra raça se optar por esta classe.,Guerreiro,Guerreira,0,0,626008,0,169010,791568,113,20774,128667,132581,0,0,0,0,133297,15000,0,71,1,5,1,0,0,1,4,198,155,109,10
Paladino,PALADIN,Paladino,Paladina,PET,"Paladinos são lutadores e defensores de armadura pesada que usam magia sagrada para curar ferimentos e combater o mal. Eles podem se especializar em armas de duas mãos, escudos ou cura.","Funções: |cfffffffftanque, curador ou dano corpo a corpo|r",É preciso escolher outra raça se optar por esta classe.,Paladino,Paladina,0,0,626003,0,135226,791563,2289,20774,128833,132580,0,0,0,0,0,15000,0,70,2,4,0,0,0,1,10,244,140,186,14
Caçador,HUNTER,Caçador,Caçadora,PET,Caçadores estão em casa na natureza e têm uma afinidade especial com as feras. Eles contam principalmente com suas armas e seus ajudantes para causar dano.,Funções: |cffffffffdano de longo alcance ou dano corpo a corpo|r,É preciso escolher outra raça se optar por esta classe.,Caçador,Caçadora,0,0,626000,0,33174,791560,41,20771,128903,132586,0,0,0,133832,133292,15000,0,253,3,2,2,1,1,0,9,170,211,114,8
Ladino,ROGUE,Ladino,Ladina,PET,"Ladinos geralmente atuam como assassinos ou batedores, apesar de muitos agirem sozinhos. Eles espreitam inimigos ou atacam um adversário por trás para tentar eliminá-lo rapidamente.",Função: |cffffffffdano corpo a corpo|r,É preciso escolher outra raça se optar por esta classe.,Ladino,Ladina,0,0,626005,0,167938,791565,37,20776,129018,132578,0,0,0,133289,133293,15000,0,259,4,3,3,1,1,0,8,255,244,104,8
Sacerdote,PRIEST,Sacerdote,Sacerdotisa,PET,"Sacerdotes são curandeiros completos com uma variedade de ferramentas. Contudo, eles também podem se sacrificar para causar dano com magia sombria.",Funções: |cffffffffcurador ou dano de longo alcance|r,É preciso escolher outra raça se optar por esta classe.,Sacerdote,Sacerdotisa,0,0,626004,0,2,791564,35,20775,129129,132579,0,0,0,134409,133296,15000,0,256,5,0,0,0,0,0,6,255,255,255,12
Cavaleiro da Morte,DEATHKNIGHT,Cavaleiro da Morte,Cavaleira da Morte,PET,"Cavaleiros da Morte são uma classe heroica, o que significa que começam em um nível mais alto. Esta é uma classe corpo a corpo com ênfase em lançar doenças e usar magia negra.",Funções: |cfffffffftanque ou dano corpo a corpo|r,É necessário comprar a expansão Shadowlands para criar um Cavaleiro da Morte com a raça selecionada.,Cavaleiro da Morte,Cavaleira da Morte,236082,236082,135771,1560617,189562,791558,3121,20769,128790,132590,0,0,0,131787,133291,20000,165,251,6,5,6,0,0,1,15,196,30,58,10
Xamã,SHAMAN,Xamã,Xamã,PET,"Xamãs usam o poder dos elementos para melhorar o dano da arma e seus feitiços. Eles evocam totens em combate, pequenos objetos que incapacitam inimigos, curam ou causam dano aos inimigos.","Funções: |cffffffffcurador, dano de longo alcance ou dano corpo a corpo|r",É preciso escolher outra raça se optar por esta classe.,Xamã,Xamã,0,0,626006,0,294938,791566,2665,20777,128753,132575,0,0,0,0,0,25000,0,262,7,0,0,0,1,0,11,0,112,221,12
Mago,MAGE,Mago,Maga,PET,"Magos são os emblemáticos praticantes de magia de Azeroth, que aprendem sua arte por meio de pesquisa e estudo intensivos. Eles compensam a armadura leve com uma poderosa seleção de feitiços de ataque e defesa.",Função: |cffffffffdano de longo alcance|r,É preciso escolher outra raça se optar por esta classe.,Mago,Maga,0,0,626001,0,4098,791561,35,20772,128789,132585,0,0,0,133322,133295,15000,0,62,8,0,0,0,0,0,3,63,199,235,8
Bruxo,WARLOCK,Bruxo,Bruxa,DEMON,"Bruxos lançam magias de fogo e das sombras para causar dano, drenar ou amaldiçoar seus inimigos. Eles evocam demônios como servos.",Função: |cffffffffdano de longo alcance|r,É preciso escolher outra raça se optar por esta classe.,Bruxo,Bruxa,0,0,626007,0,134,791567,35,20778,129054,132568,0,0,0,133661,133290,15000,0,265,9,0,0,0,0,0,5,135,136,238,8
Monge,MONK,Monge,Monja,PET,"Monges são conhecidos pela perícia em lutas corporais, confiando nas mãos e pés tanto quanto em suas armas. Eles também podem se especializar em convocar o poder restaurador da névoa para curar aliados.","Funções: |cfffffffftanque, curador ou dano corpo a corpo|r",Requer a expansão Mists of Pandaria,Monge,Monja,0,0,626002,0,165378,791562,37,20773,129344,132583,0,0,0,0,0,15000,0,268,10,2,3,0,1,0,53,0,255,152,14
