ID,Description_lang,Type,Amount,ObjectID,OrderIndex,Flags,StorageIndex,QuestID
270941,Lobos do Gelo capturados libertados,0,3,73284,1,0,0,33145
272313,,0,6,82196,0,0,0,34076
272763,,0,12,75483,0,0,0,34496
272770,,0,1,78896,0,1,2,34501
272771,,0,1,78893,1,1,0,34501
272772,,0,1,78764,2,1,1,34501
272776,Sumo de Cogumelo coletado,0,20,74249,1,0,1,34504
272779,Lobos do Gelo descongelados,0,12,78870,1,0,0,34505
272897,Predadores Jovens acalmados,0,7,79432,1,0,0,34639
272904,Portões do Caos de Zorka selados,0,4,79520,0,0,1,34660
272913,Espíritos draeneis libertados,0,8,79499,0,0,0,34667
272914,Demônios mortos,0,10,79503,1,0,1,34667
272916,Cavalga-morcegos Fitassombra derrubados,0,4,88822,2,0,2,34667
272965,Soldados Orcs mortos,0,30,79581,0,0,0,34723
272972,Comandante da Horda de Ferro Kull'krosh morto,0,1,79588,3,0,1,34723
272973,Emissário do Malho Imponente Rezlorg morto,0,1,79651,2,0,2,34723
272974,Caixotes de Suprimentos das Docas destruídos,2,12,230653,1,0,3,34723
272975,,0,8,79658,1,0,0,34728
272976,,0,1,79681,2,0,1,34728
272977,,1,14,111559,0,0,2,34728
273017,Anciente em Frenesi morto,0,1,79409,0,1,1,34639
273119,,0,6,79544,1,0,0,34660
273213,Pálido morto,0,12,76534,0,0,0,34724
273214,Bolsas de Ovos destruídas,0,15,76548,1,0,1,34724
273215,"Gorg, o Anfitrião, morto",0,1,76496,2,0,2,34724
273631,,0,6,75815,0,0,0,35236
273632,,1,20,112994,1,0,1,35236
273633,,0,6,75815,0,0,0,35237
273634,,1,20,112994,1,0,1,35237
273662,,0,1,94411,0,0,0,35250
273681,,0,3,79148,2,0,1,34076
273769,Tremessangue Pálido abatido,0,10,78758,3,0,3,34501
273770,,0,15,81902,0,0,0,35379
273799,,0,1,82202,3,0,1,35379
273800,,0,1,82205,1,0,2,35379
273801,,0,1,82209,2,0,3,35379
273843,Espíritos orcs abatidos,0,6,82220,1,0,2,34076
273921,Forte Malho Sangrento atacado,15,1,0,0,0,0,35637
273928,Forte Malho Sangrento atacado,15,1,0,0,0,0,35641
273938,Barril de Toxina Colhida destruída,2,3,233035,1,0,1,35649
273939,Membro da Mão Despedaçada morto,0,20,82130,3,0,0,35649
274153,Plantíneos em Frenesi mortos,0,20,83450,0,0,0,35881
274154,Jarras Ancestrais saqueadas,0,8,83467,1,0,3,35881
274155,Malkor morto,0,1,83452,2,0,2,35881
274241,Mirante Ondanegra atacado,15,1,0,0,0,0,35974
274244,Mirante Ondanegra atacado,15,1,0,0,0,0,35977
274299,Tropas Arakkoas Frustradas,15,1,0,0,0,0,36069
274300,Tropas Arakkoas Frustradas,15,1,0,0,0,0,36070
274611,,0,10,78791,0,0,1,34505
274612,Ogros Calafrio mortos,0,8,72953,0,0,1,33145
274613,Criaturas Pálidas mortas,0,12,76382,0,0,0,34504
274617,Concílio das Sombras atacado,15,1,0,0,0,0,36338
274629,Elevado de Socrethar atacado,15,1,0,0,0,0,36347
