ID,Name_lang,Sex,BaseSection,UiCustomizationType,Flags,ComponentSection[0],ComponentSection[1],ComponentSection[2],RaceID
1,Cor da pele,3,0,0,4,-1,-1,-1,0
2,Rosto,3,1,1,0,-1,-1,-1,0
3,Cabelo,3,3,2,0,-1,-1,-1,0
4,Cor do cabelo,3,3,3,4,-1,-1,-1,0
5,Pelos faciais,3,2,4,0,-1,-1,-1,0
6,Tatuagem,3,5,5,1,12,-1,-1,4
7,Tipo de chifre,3,6,6,0,-1,-1,-1,0
8,Vendas,3,7,7,0,-1,-1,-1,0
9,Cor,3,5,8,5,12,-1,-1,4
10,Piercings,1,2,4,0,-1,-1,-1,1
11,Piercings,1,2,4,0,-1,-1,-1,2
12,Piercings,1,2,4,0,-1,-1,-1,3
13,Tatuagens,1,2,4,0,-1,-1,-1,4
14,Características,3,2,4,0,-1,-1,-1,5
15,Cabelo,1,2,4,0,-1,-1,-1,6
16,Tipo de chifre,3,3,2,0,-1,-1,-1,6
17,Cor do chifre,3,3,3,4,-1,-1,-1,6
18,Brincos,1,2,4,0,-1,-1,-1,7
19,Presas,3,2,4,0,-1,-1,-1,8
20,Orelhas,3,2,4,0,-1,-1,-1,9
21,Brincos,1,2,4,0,-1,-1,-1,10
22,Orelhas,1,2,4,0,-1,-1,-1,22
23,Tipo de chifre,1,2,4,0,-1,-1,-1,11
24,Tipo de chifre,1,2,4,0,-1,-1,-1,30
25,Runa,3,7,7,0,-1,-1,-1,30
26,Brincos,1,2,4,0,-1,-1,-1,24
27,Brincos,1,2,4,0,-1,-1,-1,25
28,Brincos,1,2,4,0,-1,-1,-1,26
29,Presas,3,6,6,0,-1,-1,-1,31
30,Brincos,3,7,7,0,-1,-1,-1,31
31,Acessórios,1,2,4,0,-1,-1,-1,31
32,Tatuagens,3,5,5,1,13,-1,-1,31
34,Tatuagem,3,5,5,1,12,-1,-1,10
35,Cor,3,5,8,5,12,-1,-1,10
36,Tatuagem,3,5,5,1,12,-1,-1,30
37,Tatuagem,3,5,5,1,13,-1,-1,28
38,Cabelo,1,2,4,0,-1,-1,-1,28
39,Tipo de chifre,3,3,2,0,-1,-1,-1,28
40,Cor do chifre,3,3,3,4,-1,-1,-1,28
41,Brincos,1,2,4,0,-1,-1,-1,29
42,Tatuagem,3,5,5,1,13,-1,-1,27
43,Brincos,1,2,4,0,-1,-1,-1,27
44,Brincos,0,2,4,0,-1,-1,-1,27
46,Postura,0,7,7,0,-1,-1,-1,2
47,Tatuagens,0,6,6,0,13,-1,-1,34
48,Tatuagens,1,5,5,0,13,-1,-1,34
49,Postura,0,7,7,0,-1,-1,-1,36
50,Cor da pele,3,0,0,5,-1,-1,-1,36
52,Piercings,0,5,5,0,-1,-1,-1,34
153,Padrão,3,5,5,3,13,-1,-1,35
155,Brincos,1,6,6,0,-1,-1,-1,32
156,Colar,1,7,7,0,-1,-1,-1,32
157,Braço,3,6,6,0,0,1,-1,37
158,Perna,3,7,7,0,5,6,-1,37
159,Modificação,3,5,5,0,9,10,-1,37
160,Focinho,3,6,6,0,-1,-1,-1,35
161,Orelhas,3,2,4,0,-1,-1,-1,35
162,Cor da pele,3,0,0,5,-1,-1,-1,35
163,Estilo de tatuagem,3,5,5,0,-1,-1,-1,0
164,Pelos faciais,0,2,4,0,-1,-1,-1,6
165,Cor da pele,3,0,0,4,-1,-1,-1,6
166,Acessórios,1,2,4,0,-1,-1,-1,36
167,Acessórios,1,2,4,0,-1,-1,-1,34
168,Sobrancelhas,1,2,4,0,-1,-1,-1,32
169,Cor da pele,3,0,0,4,-1,-1,-1,28
170,Pelos faciais,0,2,4,0,-1,-1,-1,28
171,Cor da pele,3,0,0,4,-1,-1,-1,24
172,Pelos faciais,0,2,4,0,-1,-1,-1,24
173,Cabelo,0,3,2,0,-1,-1,-1,24
174,Cabelo,3,3,4,0,-1,-1,-1,35
175,Rosto,3,1,1,0,-1,-1,-1,36
176,Rosto,3,1,1,0,-1,-1,-1,35
177,Rosto,3,1,1,0,-1,-1,-1,6
178,Rosto,3,1,1,0,-1,-1,-1,28
179,Rosto,3,1,1,0,-1,-1,-1,24
180,Piercings,1,2,4,0,-1,-1,-1,23
