DisplayName_lang,AlternateVerb_lang,Description_lang,HordeDisplayName_lang,NeutralDisplayName,ID,CategoryID,SpellIconFileID,CanLink,ParentSkillLineID,ParentTierIndex,Flags,SpellBookSpellID,ExpansionNameSharedStringID,HordeExpansionNameSharedStringID
Espadas,,"Quando maior o nível de perícia com a arma, maior a chance de acerto.",,,43,6,136243,0,0,0,128,0,0,0
Machados,,"Quando maior o nível de perícia com a arma, maior a chance de acerto.",,,44,6,136243,0,0,0,128,0,0,0
Arcos,,"Quando maior o nível de perícia com a arma, maior a chance de acerto.",,,45,6,136243,0,0,0,128,0,0,0
Armas de Fogo,,"Quando maior o nível de perícia com a arma, maior a chance de acerto.",,,46,6,136243,0,0,0,128,0,0,0
Maças,,"Quando maior o nível de perícia com a arma, maior a chance de acerto.",,,54,6,136243,0,0,0,128,0,0,0
Espadas de Duas Mãos,,"Quando maior o nível de perícia com a arma, maior a chance de acerto.",,,55,6,136243,0,0,0,128,0,0,0
Defesa,,"A defesa aumenta a chance de esquivar, aparar e bloquear ataques, faz com que seja mais difícil acertá-lo e diminui a chance de monstros desferirem acertos críticos em você.",,,95,6,136243,0,0,0,640,0,0,0
Língua: Comum,,,,,98,10,136243,0,0,0,144,0,0,0
Racial - Anão,,Racial - Anão,,,101,9,136243,0,0,0,33938,0,0,0
Língua: Órquica,,,,,109,10,136243,0,0,0,128,0,0,0
Língua: Enânica,,,,,111,10,136243,0,0,0,128,0,0,0
Língua: Darnassiana,,,,,113,10,136243,0,0,0,128,0,0,0
Língua: Taurahe,,,,,115,10,136243,0,0,0,128,0,0,0
Empunhar Duas Armas,,Empunhar Duas Armas,,,118,6,136243,0,0,0,146,0,0,0
Racial - Tauren,,Racial - Tauren,,,124,9,136243,0,0,0,33938,0,0,0
Racial - Orc,,Racial - Orc,,,125,9,136243,0,0,0,32914,0,0,0
Racial - Elfo Noturno,,Racial - Elfo Noturno,,,126,9,136243,0,0,0,33938,0,0,0
Báculos,,"Quando maior o nível de perícia com a arma, maior a chance de acerto.",,,136,6,136243,0,0,0,128,0,0,0
Língua: Talassiana,,,,,137,10,136243,0,0,0,128,0,0,0
Língua: Dracônica,,,,,138,10,136243,0,0,0,128,0,0,0
Língua: Demoníaca,,O idioma distorcido dos demônios.,,,139,10,236293,0,0,0,128,0,0,0
Língua: Titânica,,,,,140,10,136243,0,0,0,128,0,0,0
Língua: Antiga,,,,,141,10,136243,0,0,0,128,0,0,0
Sobrevivência,,,,,142,9,136243,0,0,0,0,0,0,0
Equitação,,,,,148,9,136243,0,0,0,1170,0,0,0
Cavalgar Lobo,,,,,149,9,136243,0,0,0,1170,0,0,0
Cavalgar Tigre,,,,,150,9,136243,0,0,0,1170,0,0,0
Cavalgar Carneiro,,,,,152,9,136243,0,0,0,1170,0,0,0
Natação,,,,,155,9,136243,0,0,0,0,0,0,0
Maças de Duas Mãos,,"Quando maior o nível de perícia com a arma, maior a chance de acerto.",,,160,6,136243,0,0,0,128,0,0,0
Combate desarmado,,"Quanto maior a perícia, maior a chance de acertar.",,,162,6,136243,0,0,0,128,0,0,0
Ferraria,Modificar,"Um alto nível na perícia ferraria permite aprender instruções de nível mais alto. As instruções podem ser aprendidas ou compradas dos instrutores de ferraria espalhados pelo mundo, bem como saqueadas de monstros e obtidas como recompensa de missões.",,,164,11,4620670,1,0,0,4224,2018,0,0
Couraria,Modelar,"Um alto nível na perícia couraria permite aprender moldes de nível mais alto. Os moldes podem ser aprendidos ou comprados dos instrutores de couraria espalhados pelo mundo, bem como saqueados de monstros e obtidos como recompensa de missões.",,,165,11,4620678,1,0,0,4224,2108,0,0
Alquimia,Reabastecer,"Um alto nível na perícia alquimia permite aprender receitas de nível mais alto.  As receitas podem ser aprendidas ou compradas dos instrutores de alquimia espalhados pelo mundo, bem como saqueadas de monstros e obtidas como recompensa de missões.",,,171,11,4620669,1,0,0,4224,2259,0,0
Machados de Duas Mãos,,"Quando maior o nível de perícia com a arma, maior a chance de acerto.",,,172,6,136243,0,0,0,128,0,0,0
Adagas,,"Quando maior o nível de perícia com a arma, maior a chance de acerto.",,,173,6,136243,0,0,0,128,0,0,0
Herborismo,,"Um alto nível na perícia herborismo permite coletar plantas mais raras pelo mundo. Se você não puder coletar um tipo específico de planta, deverá aumentar o seu nível de perícia coletando plantas menos raras em áreas de nível mais baixo.",,,182,11,4620675,0,0,0,4224,2366,0,0
GENERIC (DND),,Perícias gerais.,,,183,12,136243,0,0,0,1170,0,0,0
Culinária,,"Um alto nível na perícia culinária permite aprender receitas de nível mais alto. As receitas podem ser aprendidas ou compradas dos instrutores de culinária espalhados pelo mundo, bem como saqueadas de monstros e obtidas como recompensa de missões.",,,185,9,4620671,1,0,0,128,2550,0,0
Mineração,,"Um alto nível na perícia mineração permite coletar minérios mais raros pelo mundo. Se você não puder coletar um tipo específico de minério, deverá aumentar o seu nível de perícia coletando minérios menos raros em áreas de nível mais baixo.",,,186,11,4620679,0,0,0,4224,2575,0,0
Companheiro - Diabrete,,,,,188,7,136243,0,0,0,0,0,0,0
Companheiro - Caçador Vil,,,,,189,7,136243,0,0,0,0,0,0,0
Alfaiataria,Bordar,"Um alto nível na perícia alfaiataria permite aprender moldes de nível mais alto. Os moldes podem ser aprendidos ou comprados dos instrutores de alfaiataria espalhados pelo mundo, bem como saqueados de monstros e obtidos como recompensa de missões.",,,197,11,4620681,1,0,0,4224,3908,0,0
Engenharia,Criar,"Um alto nível na perícia engenharia permite aprender diagramas de nível mais alto. Os diagramas podem ser aprendidos ou comprados dos instrutores de engenharia espalhados pelo mundo, bem como saqueados de monstros e obtidos como recompensa de missões.",,,202,11,4620673,1,0,0,4224,4036,0,0
Companheiro - Aranha,,,,,203,7,136243,0,0,0,0,0,0,0
Companheiro - Emissário do Caos,,,,,204,7,136221,0,0,0,0,0,0,0
Companheiro - Súcubo,,,,,205,7,136243,0,0,0,0,0,0,0
Companheiro - Infernal,,,,,206,7,136243,0,0,0,0,0,0,0
MAscote - Demonarca,,Demonarca,,,207,7,136243,0,0,0,0,0,0,0
Companheiro - Lobo,,,,,208,7,136243,0,0,0,0,0,0,0
Companheiro - Gato,,,,,209,7,136243,0,0,0,0,0,0,0
Companheiro - Urso,,,,,210,7,136243,0,0,0,0,0,0,0
Companheiro - Javali,,,,,211,7,136243,0,0,0,0,0,0,0
Companheiro - Crocolisco,,,,,212,7,136243,0,0,0,0,0,0,0
Companheiro - Ave Carniceira,,,,,213,7,136243,0,0,0,0,0,0,0
Companheiro - Caranguejo,,,,,214,7,136243,0,0,0,0,0,0,0
Companheiro - Gorila,,,,,215,7,136243,0,0,0,0,0,0,0
Companheiro - Raptor,,,,,217,7,136243,0,0,0,0,0,0,0
Companheiro - Moa,,,,,218,7,136243,0,0,0,0,0,0,0
Racial - Morto-vivo,,Racial - Morto-vivo,,,220,9,136243,0,0,0,33938,0,0,0
