Description_lang,Title_lang,ID,ScenarioID,CriteriatreeID,RewardQuestID,RelatedStep,Supersedes,OrderIndex,Flags,VisibilityPlayerConditionID,WidgetSetID
Escolte o Mestre Cervejeiro Bô até o Caldeirão de Brassagem de Ungá Ingô.,Escolte o Mestre Cervejeiro Bô,24,15,21004,0,0,0,0,0,0,0
Leve 200 Cervejas Selvagens de Ungá para o Caldeirão de Brassagem.,Encha o Caldeirão de Brassagem,25,15,27707,0,0,0,1,0,0,0
Derrote o Capitão Fedô.,Derrote o Capitão Fedô,26,15,21008,0,0,0,2,0,0,0
Derrote o líder Shado-pan corrompido.,O Fim do Terror,114,39,21048,0,0,0,0,0,0,0
Adentre-se ainda mais na cripta e vasculhe o nível mais baixo.,Vasculhar a Cripta,115,39,22065,0,0,0,2,0,0,0
Derrote os monstros que estão atacando os aldeões da Rocha Verde.,Resgate os Aldeões,116,40,20975,0,0,0,0,0,0,0
Derrote Hui Vingativo.,Derrotar Hui Vingativo,117,40,20982,0,0,0,4,0,0,0
Encontre os barris de cerveja roubados na floresta e devolva-os ao dojo da aldeia.,Recupere os Barris Roubados,118,40,21059,0,0,0,2,0,0,0
Derrote as forças corrompidas pelo Sha no Templo da Serpente de Jade.,Templo da Serpente de Jade,123,44,21078,0,0,0,0,0,0,0
Derrote as forças que estão criando caos na Cervejaria Malte do Trovão.,Cervejaria Malte do Trovão,124,45,21087,0,0,0,0,0,0,0
Derrote as forças que se opõem a você no Monastério Shado-pan.,Monastério Shado-pan,125,46,21095,0,0,0,0,0,0,0
Derrote as tropas mantídeas que estão atacando o Portal do Sol Poente.,Portal do Sol Poente,127,48,21100,0,0,0,0,0,0,0
Derrote as forças dos mantídeos que estão cercando o Templo Niuzao.,Cerco ao Templo Niuzao,128,49,21105,0,0,0,0,0,0,0
,Palácio Mogu'shan,129,50,21110,0,0,0,0,0,0,0
Destrua as forças necromânticas de Scolomântia.,Scolomântia,130,51,21120,0,0,0,0,0,0,0
Derrote as forças da Cruzada Escarlate.,Salões Escarlate,131,52,21130,0,0,0,0,0,0,0
