Description_lang,SourceText_lang,ID,CreatureID,SummonSpellID,IconFileDataID,PetTypeEnum,Flags,SourceTypeEnum,CardUIModelSceneID,LoadoutUIModelSceneID,CovenantID
,,2,61892,0,132332,4,49,-1,6,7,0
O centro lógico do esquilo mecânico ordena que ele colete e estoque nozes e parafusos para o inverno.,|cFFFFD200Profissão: |rEngenharia,39,2671,4055,656559,9,2,3,6,7,0
Cristiana Justa quer ser enterrada junto com um gato bombaim. Um aventureiro sábio pode empregar seus talentos de forma bem melhor.,|cFFFFD200Comerciante: |rCristiana Justa|n|cFFFFD200Zona: |rFloresta de Elwynn|n|cFFFFD200Custo: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,40,7385,10673,656575,7,2,2,6,7,0
Cristiana Justa convida esses gatos para seus chás. Mas ela não serve a bebida favorita deles: as lágrimas dos inimigos.,|cFFFFD200Comerciante: |rCristiana Justa|n|cFFFFD200Zona: |rFloresta de Elwynn|n|cFFFFD200Custo: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,41,7384,10674,656577,7,2,2,6,7,0
"Velho ditado de Alterac: ""Um gato tem nove vidas, mas só precisa de uma.""",|cFFFFD200Saque: |rEspólio do Mundo|n|cFFFFD200Zona: |rContraforte de Eira dos Montes,42,7383,10675,656574,7,2,0,6,7,0
A última pessoa que tentou ensinar esse gato a usar a caixinha aprendeu que um tapete sujo é melhor que todo o resto estraçalhado.,"|cFFFFD200Comerciante: |rCristiana Justa, Estêvão Lisbane|n|cFFFFD200Zona: |rFloresta de Elwynn|n|cFFFFD200Custo: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t",43,7382,10676,656578,7,2,2,6,7,0
Famoso pelo tom azul dos olhos. Também é considerado uma iguaria pelos murlocs gigantes.,|cFFFFD200Comerciante: |rMercador Rashaad|n|cFFFFD200Zona: |rEternévoa|n|cFFFFD200Custo: |r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,44,7380,10677,656579,7,2,2,6,7,0
Dormir é a segunda atividade favorita desse gato. A primeira é bocejar.,|cFFFFD200Comerciante: |rCristiana Justa|n|cFFFFD200Zona: |rFloresta de Elwynn|n|cFFFFD200Custo: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,45,7381,10678,656580,7,2,2,6,7,0
"A rainha tinha três gatinhos. O primeiro lhe deu um rato suculento. O segundo, uma lebre gostosa. E o branco, seu favorito, lhe trouxe de presente a cabeça do seu rival.",|cFFFFD200Comerciante: |rToninho|n|cFFFFD200Zona: |rVentobravo|n|cFFFFD200Custo: |r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,46,7386,10679,656581,7,2,2,6,7,0
"Alguns dizem que este esperto pássaro pode ser ensinado a falar, embora ele seja inteligente o suficiente para ficar de bico fechado.","|cFFFFD200Comerciante: |rAri Sem-Gancho, Narkk|n|cFFFFD200Zona: |rCabo do Espinhaço|n|cFFFFD200Custo: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t",47,7390,10680,132921,2,2,2,6,7,0
Os trolls da selva treinam esses pássaros para imitar pedidos de ajuda de forma a atrair viajantes incautos para armadilhas.,"|cFFFFD200Saque: |rEspólio do Mundo|n|cFFFFD200Zona: |rSelva do Espinhaço Setentrional, Cabo do Espinhaço",49,7391,10682,132921,2,2,0,6,7,0
