ID,OverrideName_lang,Field_9_1_0_38709_001_lang,Flags
1,Doug Test,,1
2,Doug Test 2,,0
3,"Akunda, o Akunda",,1
4,"Akunda, o Que-tudo-sabe",,1
5,"Akunda, o Ansioso",,1
6,"Akunda, o Astuto",,1
7,"Akunda, o Confuso",,1
8,"Akunda, o Insensível",,1
9,"Akunda, o Esperto",,1
10,"Akunda, o Condenado",,1
11,"Akunda, o Recatado",,1
12,"Akunda, o Excêntrico",,1
13,"Akunda, o Efusivo",,1
14,"Akunda, o Facilitador",,1
15,"Akunda, o Esquecido",,1
16,"Akunda, o Leal",,1
17,"Akunda, o Alheio",,1
18,"Akunda, o Original",,1
19,"Akunda, o Passivo-agressivo",,1
20,"Akunda, o Arrependido",,1
21,"Akunda, o Renomado",,1
22,"Akunda, o Reverente",,1
23,"Akunda, o Riqueza",,1
24,"Akunda, o Único",,1
25,"Akunda, o Inabalável",,1
26,Dracolisco Saciado,,1
27,Droozen,,1
28,Ghaanam,,1
29,Thoodhon,,1
30,Greenom,,1
31,Pryyshin,,1
32,Flaadym,,1
33,Khaalum,,1
34,Maagrym,,1
35,"Thogro, o Devorador",,0
36,"Khemkan, a Impiedosa",,0
37,"Xzzikti, o Desertor",,0
38,Ira Coagulada,,1
39,Medo Coagulado,,1
40,Solidão Coagulada,,1
41,Amargura Coagulada,,1
42,Dor Coagulada,,1
43,Dúvida Coagulada,,1
44,Mágoa Coagulada,,1
45,Perda Coagulada,,1
46,Preocupação Coagulada,,1
47,Pesar Coagulado,,1
48,Ódio Crescente,,1
49,Terror Crescente,,1
50,Isolamento Crescente,,1
51,Desespero Crescente,,1
52,Agonia Crescente,,1
53,Tormento Crescente,,1
54,Aguilhão Ilusório,,0
55,Presa-de-sabre Ilusória,,0
56,Espancador Ilusório,,0
57,Beemote Ilusório,,0
58,Manifestação do Medo,,0
59,"Pallaval, o Tendencioso",,0
60,"Trikidi, a Sangrenta",,0
61,"Zi'Gui'Ti, a Fanática",,0
62,"Lilizzinnk, a Obscena",,0
63,"Boppe, o Humilhado",,0
64,"Vortophe, o Inominável",,0
65,"Jonapa, a Opulenta",,0
66,Magno,,0
67,Caçador da Galha,,0
68,Alta-sacerdotisa Selênis,,0
69,Mordidão Esfaquenaitor,,0
70,Yu'gaz,,0
71,Reginaldo,,0
72,Espeto,,0
73,O Musculoso,,1
74,"Zill'ki, a Ceifadora de Mundos",,0
75,"Mungo, o Rei Sol",,0
76,Discípulo da Coragem,,0
77,Zangarante,,0
78,Thultain,,0
79,Mal'endra,,0
80,Fel'endae,,0
81,Socialite Aterrorizada,,0
82,Imagem Espelhada,,1
83,Arcanista Amortalhado,,0
84,Manifestação do Orgulho,,0
85,Manifestação da Arrogância,,0
86,Manifestação da Insolência,,0
87,Manifestação do Egoísmo,,0
88,Manifestação do Narcisismo,,0
89,Manifestação da Egomania,,0
90,Manifestação da Paranoia,,0
91,Tibo,,0
92,Kimos,,0
93,Ilapos,,0
94,Bumos,,0
95,Dintos,,0
96,Grâmilos,,0
97,Isílios,,0
98,Abalus,,0
99,Ipadipos,,0
100,Pico,,0
101,Haka,,0
102,Dafi,,0
103,Thima,,0
104,Arathane,,0
105,Syla,,0
106,Farrah,,0
107,Korinthe,,0
108,Asélia,,0
109,Mintah,,0
110,Laratis,,0
111,Bolli,,0
112,Apa,,0
113,Deka,,0
114,Koukis,,0
115,Akiris,,0
116,Ipa,,0
117,Toulis,,0
118,Zenza,,0
119,Chaermi,,0
120,Mupu,,0
121,Aspirante Decaído,,0
122,Integrante da Audiência,,0
123,Fardo da Vida,,0
124,Cruzado Argênteo,,1
125,Convidado Com Sede,,0
126,Convidado Com Fome,,0
127,Aldeão de Tirna Scithe,,0
128,Zumbi Infeccioso,,1
129,Aspirante Decaído Eolis,,0
130,Esfolador de Almas Aprisionado,,0
131,Raiva Expelida,,0
132,Fúria Expelida,,0
133,Cólera Expelida,,0
134,Ódio Expelido,,0
135,Ira Expelida,,0
136,Hostilidade Expelida,,0
137,Malícia Expelida,,0
138,Rancor Expelido,,0
139,Glutonaria Expelida,,0
140,Fome Expelida,,0
141,Indulgência Expelida,,0
142,Anseio Expelido,,0
144,Eco Efêmero,,0
145,Memória Fugidia,,0
146,Reflexo Errante,,0
147,Vestígio Desvanecente,,0
148,Liriana,,0
149,Ordstrong,,0
150,Lorra dos Tecelões,,0
151,Borial Iosa,,0
152,Raxxat,,0
153,Bravalat,,0
154,Ramorra,,0
155,Toloria dos Ávidos,,0
156,Majar'Ta,,0
157,Sabedoria de Raila,,0
158,Ira de Raila,,0
159,Penitência de Raila,,0
160,Virielle,,0
161,R'ty'ghn,,0
162,Loret Ty'mana,,0
163,Uima Uima,,0
164,Limao Yuna,,0
165,Sawo dos Antigos,,0
166,"Quip, o Célere",,0
167,Bassilion Quash,,0
168,Jassa Ruash,,0
169,Jasslina,,0
170,Jassona,,0
171,Brilla da Fartura,,0
172,Gur da Lâmina,,0
173,Spukit Marau,,0
174,Havan de Tivan,,0
175,Galooft Eir,,0
176,"Rashtar, a Sábia",,0
177,Roh Lumináster,,0
178,Rih Lumináster,,0
179,Mistérion do Amor,,0
180,Polron Magnificente,,0
181,Reska dos Afáveis,,0
182,Jar Lom,,0
183,Nobre Harrish de Xel,,0
184,Radsur da Guerra,,0
185,Fioni da Esperança,,0
186,Senhora Celeste Thienna,,0
187,Senhor Celeste Vastuk,,0
188,Mistérion do Destino,,0
189,"Aoifena, a Benevolente",,0
190,Largena Quebra-vontades,,0
191,Lessa do Coração,,0
192,Gop de Favi,,0
193,Larian Almanegra,,0
194,Kasha Vidente d'Alma,,0
195,Guileão da Sabedoria,,0
196,Fórmida da Devoção,,0
197,Estranho Oculto,,0
198,Uóxton,,0
199,Goroba,,0
200,Giba,,0
201,Martelinho,,0
202,Hugo,,0
203,Lodino Lamazal III,,0
204,Mocotó,,0
205,Tirso,,0
206,Rifo,,0
207,Hegor,,0
208,Dragamilson,,0
209,Furdunço,,0
210,Mozão,,0
211,Panturra,,0
212,Lodoso,,0
213,Dodô,,0
214,Esfregão,,0
215,Alfred,,0
216,Fred,,0
217,Rafo,,0
218,Catalisador de Folhas Temporais,,0
219,Catalisador de Botão-da-noite Selvagem,,0
220,Catalisador de Farinha de Raiz de Semente Selvagem,,0
221,Canteiro de Obras da Doca Pesqueira,,0
222,Doca Pesqueira,,0
224,Margrave Draka,,1
225,Alma Digna,,0
226,Mu'treta,,1
227,Mi'gué,,1
228,Lo'gro,,1
229,Ca'lote,,1
230,Ca'ô,,1
231,Em'buste,,1
232,Rato-da-gorja Submisso,,0
233,Agrilhoador Górjuro Potencializado,,0
234,Brinquedinho de Morder dos Górjuros,,0
235,Desafiante Val'kyr Digna,,0
236,Polemarco Calístene,,0
237,Comprador Cara de Pau,,0
238,Piadista na Pilha,,0
239,Observador Ostentante,,0
240,Ofertante Ousado,,0
241,Avaliador Arrogante,,0
242,Pechinchador Pedante,,0
243,Cliente Chato,,0
244,Gastador Generoso,,0
245,Documentista Discernente,,0
246,Ladrão Lalau,,0
247,Arrematador Anônimo,,0
248,Adquirente Anormal,,0
249,Exibicionista Endividado,,0
250,Barganhador Balançado,,0
251,Escambador Esnobe,,0
252,Portalmante Zo'honn,,0
253,Portalmante Zo'dahh,,0
254,Portalmante Zo'nyy,,0
255,Cidadão Sedento,,0
256,Freguês Falador,,0
257,Cliente Cultuado,,0
258,Frequentador Frustrado,,0
259,Socialite Sacal,,0
260,Viajante Viajão,,0
261,Gromito Bicanca,Bom Amigo,0
262,Gromito Bicanca,Melhor Amigo,0
263,Gromito Bicanca,Amigo Insuperável,0
264,"Vazzaren, o Iluminado",,1
265,Kleia,Mão da Devoção,0
266,Laminaérea,,1
267,Saqueador,,1
268,Demônio Pútrido,,1
269,Tankudo,,1
270,Atropelo,,1
272,Olea Hanoa,,0
273,Infiltradora Senhora do Medo,,1
274,Sombra Corpórea,,0
275,Automa Matricial Defensivo,,1
276,Automa Degenerativo,,1
277,Automa Guardião,,1
278,Automa de Aquisições,,1
279,Mal'Ganis,O Eterno,0
280,Kin'tessa,A Encantadora,0
281,Automa Saqueador: Neo,,1
282,Elemental Estabilizado,,1
283,Superaceleração do Núcleo,,0
284,Imagem Arcana,,0
285,Guardião Atento,,1
286,Atendente Pacificado,,1
287,Espreitador Oportunista,,0
288,Subchefe Ambicioso,,0
289,Xamã Ardiloso,,0
290,,,0
291,Infiltrador Nathrezim,,0
292,Caranguejo Reconfortado,,0
293,Tartaruga Marinha Resgatada,,0
294,Filhote de Tartaruga Resgatado,,0
295,Ave d'Água Resgatada,,0
296,Fera-do-rio Resgatada,,0
297,Filhote de Fera-do-rio Resgatado,,0
298,"Gnoll ""Amigável""",,1
299,Basilisco Resgatado,,0
300,Berramedo Fulgurante,,0
301,Akora,Zeladora,0
302,Dazakros,Zelador,0
303,Zapo-de-chifre Covarde,,0
304,Passochifre Vingador,,0
305,Mestre da Caça de Uktulut,Caçador,0
