ID,Name_lang,CreatureDisplayID,CreatureType,Flags,AttackIconFileID,BonusActionBar,CombatRoundTime,DamageVariance,MountTypeID,PresetSpellID[0],PresetSpellID[1],PresetSpellID[2],PresetSpellID[3],PresetSpellID[4],PresetSpellID[5],PresetSpellID[6],PresetSpellID[7]
1,Forma de Felino,115603,1,248,132116,1,1000,0.4,0,0,0,0,0,0,0,0,0
2,Forma de Árvore da Vida,115608,7,2265,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Forma de Viagem,115605,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Forma Aquática,115604,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Forma de Urso,115602,1,248,132143,3,2500,0.4,0,0,0,0,0,0,0,0,0
6,Ambiente,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Carniçal,25527,6,9689,0,0,0,0,0,6603,47468,47481,47482,47480,0,47484,47496
8,Forma de Urso Hediondo,115602,1,248,132143,3,2500,0.4,0,0,0,0,0,0,0,0,0
9,Postura da Garça,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
10,Esqueleto de Tharon'ja,9784,6,1034,0,0,0,0,0,50799,49613,49609,49617,0,0,0,0
11,Negraluna - Teste de Força,0,0,1226,0,0,0,0,0,62022,62023,62024,62025,0,0,0,0
12,Jogador BLB,0,0,0,0,0,0,0,0,44029,44752,44083,44010,44012,44817,0,0
13,Dança das Sombras,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
14,Criatura - Urso,2281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Criatura - Felino,892,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Lobo Fantasma,55287,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Postura de Batalha,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
18,Postura de Defesa,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0
19,Postura de Berserker,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Postura da Serpente,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0
21,Zumbi,26942,6,5150,0,0,0,0,0,57596,51230,56560,43949,56528,0,0,0
22,Metamorfose,0,7,2252,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Postura do Boi,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0
24,Postura do Tigre,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
25,Morto-vivo,0,6,201,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Frenesi,17170,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Forma Voadora, Épica",115606,1,32776,0,0,0,0,246,0,0,0,0,0,0,0,0
28,Forma de Sombra,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Forma Voadora,115606,1,32776,0,0,0,0,245,0,0,0,0,0,0,0,0
30,Furtividade,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31,Forma de Luniscante,115607,0,2249,0,4,0,0,0,0,0,0,0,0,0,0,0
32,Espírito da Redenção,16031,0,82704,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Postura do Gladiador,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0
34,Metamorfose,64560,3,472,1035040,0,0,0.4,0,0,0,0,0,0,0,0,0
35,Forma de Luniscante,115607,0,2249,0,4,0,0,0,0,0,0,0,0,0,0,0
36,Forma de Arvoroso,864,7,2265,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Forma de Coruja Espiritual,38633,1,32776,0,0,0,0,295,0,0,0,0,0,0,0,0
38,Forma de Coruja Espiritual,38633,0,32776,0,0,0,0,204,0,0,0,0,0,0,0,0
39,Forma de Fogo-fátuo,10045,6,32776,0,0,0,0,295,0,0,0,0,0,0,0,0
40,Forma de Fogo-fátuo,10045,6,32776,0,0,0,0,204,0,0,0,0,0,0,0,0
41,Forma da Alma,93949,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Devaneios Nascidos na Forja,66094,0,65792,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Forma Humana,0,7,459,0,0,0,0,0,0,0,0,0,0,0,0,0
