ID,Text_lang,RelationshipFlags,EmotesTextID
1,%s concorda com %s.,0,1
2,%s concorda com você.,1,1
3,Você concorda com %s.,2,1
4,%s concorda.,4,1
5,Você concorda.,6,1
6,%s se maravilhou com %s!,0,2
7,%s se maravilhou com você!,1,2
8,Você se maravilhou com %s!,2,2
9,%s se maravilhou!,4,2
10,Você se maravilhou!,6,2
11,%s ergue o punho com raiva para %s.,0,3
12,%s ergue o punho com raiva para você.,1,3
13,Você ergue o punho com raiva para %s.,2,3
14,%s ergue o punho com raiva.,4,3
15,Você ergue o punho com raiva.,6,3
16,%s ergue o punho com raiva para %s.,8,3
17,%s ergue o punho com raiva para você.,9,3
18,%s ergue o punho com raiva.,12,3
19,%s se desculpa com %s. Desculpa!,0,4
20,%s se desculpa com você. Desculpa!,1,4
21,Você se desculpa com %s. Desculpa!,2,4
22,%s se desculpa com todos. Desculpa!,4,4
23,Você se desculpa com todos. Desculpa!,6,4
24,%s aplaude %s. Bravo!,0,5
25,%s aplaude você. Bravo!,1,5
26,Você aplaude %s. Bravo!,2,5
27,%s aplaude. Bravo!,4,5
28,Você aplaude. Bravo!,6,5
29,%s é de uma timidez enorme... não tem coragem de falar com %s.,0,6
30,%s é de uma timidez enorme... não tem coragem de falar com você.,1,6
31,Você é de uma timidez enorme... não tem coragem de falar com %s.,2,6
32,%s é de uma timidez enorme.,4,6
33,Você é de uma timidez enorme.,6,6
34,%s chama %s.,0,7
35,%s chama você.,1,7
36,Você chama %s.,2,7
37,%s chama todo mundo.,4,7
38,Você chama todo mundo.,6,7
39,%s implora a %s. Que patético.,0,8
40,%s implora a você. Que patético.,1,8
41,Você implora a %s. Que patético.,2,8
42,%s implora a todos ao redor. Que patético.,4,8
43,Você implora a todos ao redor. Que patético...,6,8
44,%s implora a todos ao redor. Que patético.,12,8
45,%s morde %s. Ai!,0,9
46,%s morde você. Ai!,1,9
47,Você morde %s. Ai!,2,9
48,%s procura alguém ao redor para morder.,4,9
49,Você procura alguém ao redor para morder.,6,9
50,O sangue escorre das feridas de %s.,4,10
51,O sangue escorre das suas feridas.,6,10
52,%s pisca para %s.,0,11
53,%s pisca para você.,1,11
54,Você pisca para %s.,2,11
55,%s pisca.,4,11
56,Você pisca os olhos.,6,11
57,%s se ruboriza por causa de %s.,0,12
58,%s se ruboriza por sua causa.,1,12
59,Você se ruboriza por causa de %s.,2,12
60,%s se ruboriza.,4,12
61,Você se ruboriza.,6,12
62,%s bate na cabeça de %s. Dã!,0,13
63,%s bate na sua cabeça. Dã!,1,13
64,Você bate na cabeça de %s. Dã!,2,13
65,%s bate na própria cabeça. Dã!,4,13
66,Você bate na própria cabeça. Dã!,6,13
67,%s bate na própria cabeça. Dã!,12,13
68,%s acha %s terrivelmente entediante.,0,14
69,%s acha você terrivelmente entediante.,1,14
70,Você acha %s terrivelmente entediante.,2,14
71,%s sente profundo tédio. Mas que chato!,4,14
72,Você sente profundo tédio. Mas que chato!,6,14
73,%s saltita diante de %s.,0,15
74,%s saltita diante de você.,1,15
