ID,Name_lang,MinScale,MinScaleLevel,MaxScale,MaxScaleLevel,PetFoodMask,PetTalentType,CategoryEnumID,IconFileID,SkillLine[0],SkillLine[1]
1,Lobo,0.7,1,1,50,1,0,23,132203,208,270
2,Gato,0.7,1,1.1,50,3,0,5,132185,209,270
3,Aranha,0.4,1,0.6,50,1,0,17,132196,203,270
4,Urso,0.6,1,1,50,63,1,1,132183,210,270
5,Javali,0.6,1,1,50,63,2,3,132184,211,270
6,Crocolisco,0.4,1,0.6,50,3,0,7,132187,212,270
7,Ave Carniceira,0.5,1,0.9,50,3,0,4,132200,213,270
8,Caranguejo,0.7,1,1.4,50,58,1,6,132186,214,270
9,Gorila,0.7,1,1,50,56,0,9,132189,215,270
11,Raptor,0.5,1,0.8,50,1,2,13,132193,217,270
12,Moa,0.5,1,0.8,50,60,0,19,132198,218,270
15,Caçador Vil,0,0,0.7,1,0,-1,0,0,189,0
16,Emissário do Caos,0,0,0.8,1,0,-1,41,0,204,0
17,Súcubo,0,0,1,1,0,-1,41,0,205,0
19,Demonarca,0,0,1,1,0,-1,41,0,207,0
20,Escorpídeo,0.7,1,1,50,1,0,15,132195,236,270
21,Tartaruga,0.5,1,0.72,50,58,1,20,132199,251,270
23,Diabrete,0,0,0.5,1,0,-1,41,0,188,0
24,Morcego,0.4,1,0.63,50,49,0,0,132182,653,270
25,Hiena,0.7,1,0.9,50,1,2,10,132190,654,270
26,Ave de Rapina,0.5,1,0.8,50,3,2,2,132192,655,270
27,Serpente Alada,0.5,1,0.7,50,14,0,22,132202,656,270
28,Controle Remoto,0.9,1,1,60,0,-1,0,0,758,0
29,Guarda Vil,0.89,0,0.9,1,0,-1,41,0,761,0
30,Falcodrago,0.35,1,0.65,50,35,1,8,132188,763,270
31,Assolador,0.45,1,0.65,50,1,0,14,132194,767,270
32,Espreitador Dimens.,0.45,1,0.6,50,34,2,21,132201,766,270
33,Quirósporo,0.6,1,0.9,50,60,2,18,132197,765,270
34,Arraia,0.35,1,0.55,50,17,0,12,132191,764,270
35,Serpente,0.6,1,0.8,50,1,2,16,136040,768,270
37,Mariposa,0.35,1,0.65,50,60,2,11,236193,775,270
38,Quimera,0.5,1,0.63,50,1,0,24,236190,780,270
39,Demossauro,0.3,1,0.5,50,1,0,25,236192,781,270
40,Carniçal,1,1,1.01,80,0,-1,26,132097,782,0
41,Aqir,0.6,1,0.8,50,17,2,63,236195,783,270
