ID,Name_lang,Tooltip_lang,BuildingType,SpecType,RequiredUpgradeLevel,IconFileDataID,Param[0],Param[1]
2,Mostrar Postes,Permite que você deixe mais cinco montarias no estábulo para exibição ao público.,0,0,0,132224,100,0
3,Comerciante de Montarias,Um comerciante de montarias raras abriu uma loja nos estábulos da sua guarnição.,0,1,0,413588,5,0
7,Portal de Cancelamento,Permite que você aborte uma missão atual e traga seus seguidores de volta imediatamente.,0,5,0,511651,0,0
8,Caça-talentos,"Recrute um seguidor aleatório com uma Especialização, Habilidade ou Função específica por 10 Materiais.",0,6,0,134149,0,0
9,Chef da Rocha Negra,Dá acesso às missões diárias de Culinária da guarnição.,0,6,0,236571,0,0
11,Vagonetes de Mineração,Mineiros adicionais enchem os vagonetes de minério e outras coisas estranhas.,0,7,3,961629,0,0
12,Pomar,Plante um Pomar na sua guarnição para produzir frutas raras.,9,7,0,133977,0,0
13,Faca de Esfolamento Excepcional,Aumenta a coleta de peles por hora em 10%.,0,7,0,924154,0,0
22,Moedor de Pedras,"Mói as pedras que sobram do processo de mineração, criando material extra que pode ser usado na construção de estradas, concreto etc.",0,7,3,135236,0,0
23,Teleporte em Massa,Remove o tempo de viagem da primeira missão todos os dias em que são necessários cinco seguidores.,0,5,0,413583,0,0
24,Viagem para a Cidade,Proporciona acesso a portais que fornecem transporte para outras cidades além de Orgrimmar e Ventobravo.,0,5,0,135744,0,0
25,Colhedor Mecânico,Automatiza a colheita de plantas do jardim.,0,7,0,132996,0,0
26,PattyMack Test Spec,,0,4,0,0,0,0
27,Rocha Negra,Gera mais reagentes de Minério da Rocha Negra em seus carregamentos.,0,3,0,0,0,0
28,Ferro Verdadeiro,Gera mais reagentes de Minério de Ferro Verdadeiro em seus carregamentos.,0,3,0,0,0,0
31,Carregamento de Peixe,"Uma entrega de peixe fresco todos os dias, na porta da sua Barraca de Pesca!",0,6,3,970842,0,0
32,Pescando Iscas,Aumenta bastante suas chances de encontrar isca ao pescar nas águas da Guarnição.,0,6,3,970852,0,0
33,Cavernícola,"Concede uma chance de pescar uma Manjubinha Glacial, nas águas da Guarnição. A Manjubinha pode ser usada para evocar um Cavernícola Glacial.",0,6,3,970814,0,0
34,Laboratório dos Estudantes,"Seu Laboratório de Alquimia recebe estudantes, e a classe produz algumas poções por dia para você.",0,6,3,413574,0,0
35,Transmutação,"O laboratório é especializado na natureza mutável dos objetos, aumentando a quantidade de Cristais Metamórficos produzidos por dia.",0,6,3,967514,0,0
36,Elixir,"O laboratório se especializa em catalisar reações químicas, aumentando a quantidade de Catalisadores Alquímicos produzidos por dia.",0,6,3,967512,0,0
37,Chamado às Armas Maior,"Fortalece as tropas em sua habilidade Chamado às Armas, causando mais dano.",0,6,3,975738,0,0
38,Primeiros Socorros,Evoca uma enfermeira de Primeiros Socorros que concede bandagens e poções de cura a cada dia.,0,6,3,135966,0,0
39,Prisão,Ocasionalmente pega ladrões que pagam multas ou fornecem informações úteis para servir suas sentenças.,0,6,3,136058,0,0
40,Guardas da Minas,"Guardas da guarnição patrulham a mina, mantendo-a livre de Gorens hostis.",0,6,3,132110,0,0
41,Comprando no Atacado,Reduz o custo de compra das construções e de alteração das especializações.,0,6,3,132761,0.5,0
