SourceText_lang,ID,CostItemID,CurrencyID,OrderIndex,ItemBonusSeasonID,FragmentItemID,FragmentsEarnedTrackingCurrencyID
"Origem: |n -Masmorras Míticas de Dragonflight até o Nível 6|n -Chefes de Aberrus no modo Localizador de Raides|n -Missões mundiais, tesouros e atividades na Caverna Zaralek",9,204193,0,1,3,204075,2409
Origem: |n -Masmorras Míticas de Dragonflight entre o Nível 6 e o Nível 10|n -Chefes de Aberrus no modo Normal|n -Atividades semanais específicas na Caverna Zaralek,10,204195,0,2,3,204076,2410
Origem: |n -Chefes de Aberrus no modo Heroico|n -Masmorras Míticas de Dragonflight entre o Nível 11 e o Nível 15,11,204196,0,3,3,204077,2411
Origem: |n -Chefes de Aberrus no modo Mítico|n -Masmorras Míticas de Dragonflight acima do Nível 16,12,204194,0,4,3,204078,2412
,14,0,2706,1,7,0,0
,15,0,2707,2,7,0,0
,16,0,2708,3,7,0,0
,17,0,2709,4,7,0,0
,18,0,2806,1,8,0,0
,19,0,2807,2,8,0,0
,20,0,2809,3,8,0,0
,21,0,2812,4,8,0,0
