Description_lang,ID,DataTag
Minúsculo,1,65
Pequeno,2,66
Médio,3,67
Grande,4,68
Enorme,5,69
Enânico,6,74
Anão Martelo Feroz,7,75
Anão Barbabronze (Altaforja),8,76
Anão Ferro Negro,9,77
Terrano (Dornês),10,78
Humano,11,79
Ventobravo,12,80
Kultireno,13,81
Guilneano/Worgen,14,82
Élfico,15,83
Elfo Sangrento,16,84
Elfo Noturno,17,85
Elfo Caótico,18,86
Filhos da Noite,19,87
Tauren,20,88
Draeneico,21,89
Órquico,22,90
Goblínico,23,91
Vulperino,24,92
Trólico,25,93
Troll Lançanegra,26,94
Troll Zandalari,27,95
Morto-vivo,28,96
Gnômico,29,97
Pandarênico,30,98
Haranir,31,452
Classic,32,99
Burning Crusade,33,100
Wrath of the Lich King,34,101
Cataclysm,35,102
Mists of Pandaria,36,103
Warlords of Draenor,37,104
Legion,38,105
Battle for Azeroth,39,106
Shadowlands,40,107
Dragonflight,41,108
The War Within,42,109
Midnight,43,110
Aniversários de WoW,44,111
CervaFest,45,112
Semana das Crianças,46,113
Feira de Negraluna,47,114
Dia dos Mortos,48,115
Espetáculo de Fogos de Artifício,49,116
Noturnália,50,117
Festival da Colheita,51,118
O Amor Está no Ar,52,119
Festival da Lua,53,120
Festival do Fogo do Solstício,54,121
Jardinova,55,122
Festa da Fartura,56,123
Dia dos Piratas,57,124
Festa do Véu de Inverno,58,125
Outro,59,126
Audaz,60,141
Casual,61,142
Aconchegante,62,143
Fashion,63,144
Elegante,64,145
Feério,65,146
Vil,66,147
Abundante,67,148
Luz,68,149
Mecânico,69,150
Natureza,70,151
Pirata,71,152
Romântico,72,153
Básico,73,154
Assustador,74,155
Caos,75,156
Vraikal,76,157
Extravagante,77,158
Aliança,78,159
Horda,79,160
Primavera,80,161
Verão,81,162
Outono,82,163
Inverno,83,164
caminho caminhar,84,202
tapete tapetes,85,201
copo copos caneca canecas canecão caneco,86,196
talheres prataria utensílios garfo colher faca,87,198
drink drinks bebida bebidas,88,195
comida refeição banquete lanche,89,194
cozinha,90,199
pratos preparo alimento,91,197
livro livros tomo tomos,92,190
vaso vasos,93,189
arte pintura quadro tela,94,192
água lagoa,95,236
cadeira cadeiras,96,177
sofá sofás poltrona poltronas,97,178
armário armários,98,185
prateleira prateleiras estante emprateleirar,99,184
balcão balcões bancada bancadas,100,182
escrivaninha escrivaninhas,101,181
mesa mesas,102,180
manequim manequins,103,224
fogão fogo forno grill grelha,104,222
criar criação criações profissão,105,221
coluna colunas pilar pilares poste,106,208
cerca cercas cercado,107,209
partição partições parede paredes,108,207
Rústico,109,70
Artesanal,110,71
Opulento,111,72
Festividade/Evento,112,73
Mágico,113,458
Dracthyr,114,484
