ID,Description_lang,Field_11_2_5_62687_001_lang
1,Integrante do grupo,
2,Integrante do raide,
3,Negociar,Negociou
4,Sussurrar,Sussurrou
5,Solicitação pública atendida por outros,Atendeu seu Pedido de Criação Público
6,Solicitação pública atendida por você,Atendeu o Pedido de Criação Público
7,Solicitação pessoal atendida por outros,Atendeu seu Pedido de Criação
8,Solicitação pessoal atendida por você,Atendeu o Pedido de Criação
9,Solicitação da guilda atendida por outros,Atendeu seu Pedido de Criação
10,Solicitação da guilda atendida por você,Atendeu o Pedido de Criação
11,Abate de criatura,Lutaram juntos
12,Completar a masmorra,Completaram Masmorra juntos
13,Matar o chefe do raide,Participaram de Raide
14,Matar o chefe do LR,Participaram de Raide
15,Concluir Imersão,Concluíram Imersão juntos
16,Concluir Arena,Concluíram Arena juntos
17,Concluir Campo de Batalha,Lutaram em Campo de Batalha juntos
18,Duelar,Duelaram
19,Batalha de Mascotes,Travaram Batalha de Mascotes
20,Abate JxJ,Lutaram em JxJ juntos
