CustomGossipDescriptionString_lang,CompletedOptionDescriptionString_lang,ID,GossipMenuID,UiTextureKitID
"O Salão de Skoldus é só mais um entre os incontáveis blocos de celas da Thanator. O Guardião Skoldus se vale de feras, correntes e armadilhas para atormentar tanto prisioneiros quanto intrusos.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,1,26048,5352
,,2,26191,5336
,,3,26192,5336
"Nas Câmaras de Fratura, prisioneiros de todas as Terras Sombrias têm seus ossos partidos e regenerados em um ciclo de tortura cruel e interminável. Liberte-os para que eles possam se vingar.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,4,26375,5354
"Suspenso entre os pináculos colossais da Thanator, encontra-se o Interstício Frigicordis, que os Górjuros kyrianos fizeram de lar. Atacando das alturas, eles lançam invasores inconsequentes no abismo.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,5,26377,5355
"Assim como o terreno volúvel e desconjuntado, as almas aprisionadas em Mort'regar perderam todo e qualquer traço de seu passado. As forças do Carcereiro as submetem a experimentos necromânticos, transformando-as em monstruosidades terríveis.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,6,26378,5353
"Os Recônditos Superiores são o domínio dos servos mais devotados ao Carcereiro. As forças Górjuras de Elite e seus aliados venthyr patrulham seus corredores, encarregando-se das defesas mais robustas de seu mestre.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,7,26379,5357
"Como o nome indica, os Corredores Serpenteantes se desenrolam de forma imprevisível pelos inúmeros blocos de celas da Thanator e são protegidos por toda sorte de lacaio do Carcereiro. Os intrépidos que se metem a desbravar seus 18 andares raramente voltam de lá.",Recompensa recebida,8,26380,5358
"Nas Forjas da Alma, as almas condenadas são derretidas e transformadas em armas e armaduras para o exército do Carcereiro. Cuidado com as chamas vorazes que ardem naqueles salões.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,9,26376,5356
"O Salão de Skoldus é só mais um entre os incontáveis blocos de celas da Thanator. O Guardião Skoldus se vale de feras, correntes e armadilhas para atormentar tanto prisioneiros quanto intrusos.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,10,26655,5352
"Nas Câmaras de Fratura, prisioneiros de todas as Terras Sombrias têm seus ossos partidos e regenerados em um ciclo de tortura cruel e interminável. Liberte-os para que eles possam se vingar.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,11,26656,5354
"Nas Forjas da Alma, as almas condenadas são derretidas e transformadas em armas e armaduras para o exército do Carcereiro. Cuidado com as chamas vorazes que ardem naqueles salões.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,12,26657,5356
"Suspenso entre os pináculos colossais da Thanator, encontra-se o Interstício Frigicordis, que os Górjuros kyrianos fizeram de lar. Atacando das alturas, eles lançam invasores inconsequentes no abismo.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,13,26658,5355
"Assim como o terreno volúvel e desconjuntado, as almas aprisionadas em Mort'regar perderam todo e qualquer traço de seu passado. As forças do Carcereiro as submetem a experimentos necromânticos, transformando-as em monstruosidades terríveis.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,14,26659,5353
"Os Recônditos Superiores são o domínio dos servos mais devotados ao Carcereiro. As forças Górjuras de Elite e seus aliados venthyr patrulham seus corredores, encarregando-se das defesas mais robustas de seu mestre.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,15,26660,5357
"Como o nome indica, os Corredores Serpenteantes se desenrolam de forma imprevisível pelos inúmeros blocos de celas da Thanator e são protegidos por toda sorte de lacaio do Carcereiro. Os intrépidos que se metem a desbravar seus 18 andares raramente voltam de lá.|n|nA Caixa de Muitas Coisas não tem efeito neles.",Recompensa recebida,16,26661,5358
,,17,25967,5283
,,18,26513,5283
,,19,26517,5287
,,20,26516,5285
,,21,26514,5302
,,22,26131,5283
,,23,26132,5302
,,24,26133,5287
,,25,26041,5285
,,26,26324,5283
,,27,26323,5283
,,28,26327,5283
,,29,26322,5283
,,30,26326,5283
,,31,26328,5287
,,32,26342,5287
,,33,26344,5287
,,34,26341,5287
,,35,26343,5287
,,36,26346,5302
,,37,26347,5302
,,38,26348,5302
,,39,26345,5302
,,40,26349,5302
,,41,26356,5285
,,42,26355,5285
,,43,26358,5285
,,44,26354,5285
,,45,26357,5285
É nos recém-descobertos Salões Adamantinos que o Carcereiro mantém os prisioneiros que mais odeia.,Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,46,26812,5354
"Enfrente 8 andares de criaturas e chefes de todas as alas da Thanator. Quanto mais alto na torre, maior o desafio.|n|nÉ recomendado trazer amigos.|n|nA Caixa de Muitas Coisas não afeta nada.",Recompensa recebida,47,27436,5358
"Enfrente 8 andares de criaturas e chefes de todas as alas da Thanator. Quanto mais alto na torre, maior o desafio.|n|nÉ recomendado trazer amigos.|n|nA Caixa de Muitas Coisas não afeta nada.",Recompensa recebida,48,27491,5358
,,50,32917,5551
,,51,32924,5551
,,52,33048,5551
,,53,33148,5551
,,54,33198,5551
,,56,33340,5551
,,57,33398,5551
,,58,33426,5551
,,59,33664,5551
,,60,33804,5551
,,61,33912,5551
,,63,33965,5551
,,64,34040,5551
,,65,36702,5551
,,66,37069,5551
,,68,37309,5551
,,69,38648,5551
,,70,39563,5551
,,75,39749,5551
