Name_lang,ID,SituationEnum,Flags,TransmogSituationGroupID,OrderIndex
Todas as especializações,1,0,13,5,0
Especialização,2,1,19,6,0
Todos os locais,3,2,13,2,0
Área de Descanso,4,3,1,3,0
Mundo,5,6,1,4,0
Imersões,6,7,1,4,1
Casa,7,4,1,3,1
Seleção de personagem,8,5,1,3,2
Masmorras,9,8,1,4,2
Raides,10,9,1,4,3
Arenas,11,10,1,4,4
Campos de batalha,12,11,1,4,5
Todos os movimentos,13,12,13,7,0
Desmontado,14,13,1,8,0
Nado,15,14,1,8,1
Montaria terrestre,16,15,1,8,2
Montaria voadora,17,16,1,8,3
Todos os conjuntos de equipamento,18,17,13,9,0
Conjunto de equipamento,19,18,17,10,0
Todas as formas raciais,20,19,13,11,0
Forma nativa,21,20,17,12,0
Forma não nativa,22,21,17,12,1
Todos os climas,32,22,13,14,0
Limpo,33,23,1,15,0
Chuva,34,24,1,15,1
Neve,35,25,1,15,2
Tempestade de Areia,36,26,1,15,3
Todas as horas,37,27,13,16,0
Manhã,38,28,1,17,0
Meio-dia,39,29,1,17,1
Anoitecer,40,30,1,17,2
Noite,41,31,1,17,3
