Name_lang,Description_lang,ID,DisplayIndex,UiCameraID,AltHandUICameraID,ForgeAttachmentOverride,Flags,ArtifactID
Forma de Cristal,,1,1,72,0,-1,0,1
Forma Espinhenta,,2,2,0,0,-1,0,1
Crematória,,3,1,62,0,-1,0,2
Montante do Íntegro,,4,2,65,0,-1,0,2
Represália Flamejante,,5,3,63,0,-1,0,2
Esperança Caída,,6,4,66,0,-1,0,2
Vingança Estilhaçada,,7,5,64,0,-1,0,2
Lâminas Gêmeas do Enganador,,8,1,72,161,-1,0,3
Mão dos Illidari,,9,2,76,928,-1,0,3
Laminegra,,10,3,75,930,-1,0,3
Ceifachama,,11,5,77,931,-1,0,3
Toque do Demônio,,12,4,73,929,-1,0,3
"G'hanir, a Árvore Mãe",,13,1,61,0,-1,0,13
Árvore Anciã,,14,2,68,0,-1,0,13
Despertar Cristalino,,15,3,60,0,-1,0,13
Guardião de Lenha Morta,,16,4,69,0,-1,0,13
Coroa do Guardião,,17,6,70,0,-1,1,13
Escama do Guardião da Terra,,20,1,183,71,-1,0,11
Presas do Devorador,,21,1,168,169,-1,0,17
Abraço do Demônio,,22,3,172,173,-1,0,17
Umbralâmina,,23,2,170,171,-1,0,17
Comessangue,,24,4,174,175,-1,0,17
Cortagelo,,25,5,176,177,-1,0,17
Gorja dos Condenados,,32,1,163,0,-1,0,15
Apocalipse,,33,1,162,0,-1,0,16
Lâminas do Príncipe Caído,,39,1,166,167,-1,0,12
Punho de Ra-den,,40,1,191,192,-1,0,40
"Thas'dorah, Legado dos Correventos",,41,1,719,0,-1,0,55
Regicidas,,42,1,391,392,-1,0,43
"Sharas'dal, o Cetro das Marés",,43,1,195,958,-1,0,42
Martelo da Perdição,,44,1,189,0,-1,0,41
"Tuure, a Luz dos Naarus",,45,1,194,0,-1,0,45
Lâmina do Império Negro,,46,1,570,952,-1,0,47
Punho de Prata,,47,1,198,199,-1,0,48
Garras de Ursoc,,48,1,188,638,-1,0,57
Cetro de Sargeras,,49,1,357,0,-1,0,38
"Sheilun, Cajado das Brumas",,50,1,196,0,-1,0,51
Felo'melorn,,51,1,190,935,-1,0,54
Garranha,,52,1,197,0,-1,0,34
Aluneth,,53,1,178,0,-1,0,4
Pináculo do Guardião,,54,2,179,0,-1,0,4
Magna Libertada,,55,3,181,0,-1,0,4
Queda de Aegwynn,,56,4,180,0,-1,0,4
Magus Eterno,,57,5,182,0,-1,0,4
Olhar do Necroguarda,,58,4,184,965,-1,0,11
Último Suspiro do Quebramundo,,59,6,185,966,-1,1,11
Postura Inquebrável,,60,3,186,967,-1,0,11
Braço do Rei Caído,,61,2,187,968,-1,0,11
Ébano Gélido,,64,1,344,0,-1,0,53
Concentração do Guardião,,65,2,346,0,-1,0,53
Vontade do Arquimago,,66,4,351,0,-1,0,53
Memória de Fogofrio,,67,6,353,0,-1,1,53
Fluxo do Primeiro,,68,3,354,0,-1,0,53
Orgulho do Titã Sombrio,,69,2,359,0,-1,0,38
Eco de Gul'dan,,70,3,360,0,-1,0,38
Sombra do Destruidor,,71,4,362,0,-1,0,38
Terror da Legião,,72,6,361,0,-1,1,38
Guarda da Patrulheira-general,,73,4,933,0,-1,0,55
Renascimento da Fênix,,74,3,722,0,-1,0,55
Um Elo de Irmã,,75,2,720,0,-1,0,55
Guardacórax,,76,6,721,0,-1,1,55
Mão Amaldiçoada,,77,2,858,863,-1,0,43
Parador de Corações,,78,3,860,864,-1,0,43
Gume do Matamagos,,79,4,859,865,-1,0,43
Quebraossos,,80,6,861,866,-1,1,43
Foice de Eluna,,81,1,631,0,-1,0,59
Abraço dos Deuses Antigos,,82,2,773,957,-1,0,47
Lâmina Caída,,83,3,774,953,-1,0,47
Visão da Loucura,,84,4,776,955,-1,0,47
Reflexão Retorcida,,85,5,775,954,-1,0,47
Patapétrea,,86,2,188,638,-1,0,57
Avatar de Ursol,,87,3,188,638,-1,0,57
Caído para o Pesadelo,,88,4,188,638,-1,0,57
Guardião da Clareira,,89,6,188,638,-1,1,57
Lâminas de Guerra Aldrachi,,90,1,753,759,-1,0,60
Presas de Ashamane,,91,1,636,637,-1,0,58
Gorjassangue,,92,2,701,0,-1,0,15
Bocaóssea,,93,5,702,0,-1,0,15
Ceifalmas,,94,3,704,0,-1,0,15
Carrasco,,95,4,703,0,-1,0,15
Legado da Gélido Lamento,,96,2,662,663,-1,0,12
Colecionador de Almas,,97,5,664,665,-1,0,12
Guarda-tumba,,98,4,700,699,-1,0,12
Fúria de Sindragosa,,99,3,667,666,-1,0,12
Fomeante,,100,4,658,0,-1,0,16
Arauto da Pestilência,,101,3,661,0,-1,0,16
Guerra Profana,,102,2,659,0,-1,0,16
Ceifaosso,,103,6,660,0,-1,1,16
Brasão Illidari,,104,2,901,902,-1,0,60
Terrorósseo,,105,4,903,904,-1,0,60
Mordida do Senhor do Medo,,106,3,905,906,-1,0,60
Guardiã de Ferro,,107,6,907,908,-1,1,60
Enviado de Goldrinn,,108,2,831,0,-1,0,59
Clamaluna,,109,3,832,0,-1,0,59
Alcance do Salvassol,,110,6,834,0,-1,1,59
Suplício do Pesadelo,,111,4,833,0,-1,0,59
Fúria da Natureza,,112,2,636,637,-1,0,58
Espreitador Primevo,,113,3,636,637,-1,0,58
Fantasma da Matriarca,,114,5,636,637,-1,0,58
Encarnação do Pesadelo,,115,4,636,637,-1,0,58
Trovão Titânico,,116,1,754,0,-1,0,56
