Name_lang,ID,SecondaryID,Flags,ChrModelID,OrderIndex,ChrCustomizationCategoryID,OptionType,BarberShopCostModifier,ChrCustomizationID,Requirement,SecondaryOrderIndex,AddedInPatch
Cor da Pele,1,1,16,0,0,2,0,0,0,0,0,90001
Rosto,2,2,0,0,1,2,0,0,0,0,1,90001
Estilo do Cabelo,3,3,0,0,2,4,0,0,0,0,2,90001
Cor do Cabelo,4,4,0,0,3,4,0,0,0,0,3,90001
Pelos Faciais,5,5,0,0,4,4,0,0,0,0,4,90001
Tatuagem,6,6,8,0,5,5,0,0,0,0,5,90001
Estilo do Chifre,7,7,0,0,6,2,0,0,0,0,6,90001
Vendas,8,8,8,0,7,2,0,0,0,0,7,90001
Cor da Pele,9,9,80,1,2,2,0,0,1,0,1,90001
Rosto,10,10,128,1,1,2,0,0,2,0,2,90001
Estilo do Cabelo,11,11,0,1,3,2,0,0,3,0,4,90001
Cor do Cabelo,12,12,2,1,4,2,0,0,4,0,5,90001
Barba,13,13,0,1,6,2,0,0,5,0,7,90001
Cor da Pele,14,14,80,2,2,2,0,0,1,0,1,90001
Rosto,15,15,128,2,1,2,0,0,2,0,2,90001
Estilo do Cabelo,16,16,0,2,3,2,0,0,3,0,3,90001
Cor do Cabelo,17,17,2,2,4,2,0,0,4,0,4,90001
Cor da Pele,19,19,80,3,2,2,0,0,1,0,1,90001
Rosto,20,20,128,3,1,2,0,0,2,0,2,90001
Estilo do Cabelo,21,21,0,3,3,2,0,0,3,0,3,90001
Cor do Cabelo,22,22,2,3,4,2,0,0,4,0,4,90001
Barba,23,23,0,3,5,2,0,0,5,0,5,90001
Erguido,24,24,40,3,24,5,1,0,46,0,24,90001
Cor da Pele,25,25,80,4,2,2,0,0,1,0,1,90001
Rosto,26,26,128,4,1,2,0,0,2,0,2,90001
Estilo do Cabelo,27,27,0,4,3,2,0,0,3,0,3,90001
Cor do Cabelo,28,28,2,4,4,2,0,0,4,0,4,90001
Brincos,29,29,8,4,10,3,0,0,11,0,10,90001
Cor da Pele,30,30,80,5,2,16,0,0,1,0,1,90001
Rosto,31,31,128,5,1,16,0,0,2,0,2,90001
Estilo do Cabelo,32,32,0,5,3,16,0,0,3,0,3,90001
Cor do Cabelo,33,33,2,5,4,16,0,0,4,0,4,90001
Barba,34,34,0,5,6,16,0,0,5,0,6,90001
Cor da Pele,35,35,80,6,2,2,0,0,1,0,1,90001
Rosto,36,36,128,6,1,2,0,0,2,0,2,90001
Estilo do Cabelo,37,37,0,6,3,2,0,0,3,0,3,90001
Cor do Cabelo,38,38,2,6,4,2,0,0,4,0,4,90001
Cor da Pele,40,40,80,7,2,2,0,0,1,0,1,90001
Rosto,41,41,128,7,1,2,0,0,2,0,2,90001
Estilo do Cabelo,42,42,0,7,3,2,0,0,3,0,3,90001
Cor do Cabelo,43,43,2,7,4,2,0,0,4,0,4,90001
Barba,44,44,0,7,7,2,0,0,5,0,7,90001
Cor da Tatuagem,46,46,11,7,32,5,0,0,9,0,32,90001
Chifres,47,47,8,7,19,23,0,0,7,0,9,90001
Venda,48,48,8,7,20,23,0,0,8,0,11,90001
Cor da Pele,49,49,80,8,2,2,0,0,1,0,1,90001
Rosto,50,50,128,8,1,2,0,0,2,0,2,90001
Estilo do Cabelo,51,51,0,8,3,2,0,0,3,0,3,90001
Cor do Cabelo,52,52,2,8,4,2,0,0,4,0,4,90001
Marcas,53,53,40,8,13,23,0,0,13,0,14,90001
Cor da Tatuagem,55,55,11,8,24,5,0,0,9,0,24,90001
Chifres,56,56,8,8,20,5,0,0,7,0,20,90001
Venda,57,57,8,8,10,23,0,0,8,0,10,90001
Cor da Pele,58,58,16,9,3,13,0,0,1,0,1,90001
Rosto,59,59,0,9,1,13,0,0,2,0,3,90001
Estilo do Cabelo,60,60,0,9,4,13,0,0,3,0,4,90001
Cor do Cabelo,61,61,2,9,5,13,0,0,4,0,5,90001
Mandíbula,62,62,40,9,6,13,0,0,14,0,6,90001
Cor da Pele,63,63,16,10,3,13,0,0,1,0,1,90001
Rosto,64,64,0,10,1,13,0,0,2,0,3,90001
Estilo do Cabelo,65,65,0,10,4,13,0,0,3,0,4,90001
Cor do Cabelo,66,66,2,10,5,13,0,0,4,0,5,90001
Mandíbula,67,67,40,10,7,13,0,0,14,0,7,90001
Cor da Pele,68,68,80,11,2,18,0,0,165,0,1,90001
Estilo do Chifre,71,70,0,11,3,18,0,0,16,0,3,90001
Cor do Chifre,72,71,2,11,4,18,0,0,17,0,4,90001
Pelos Faciais,73,72,0,11,7,18,0,0,164,0,7,90001
Cor da Pele,74,73,80,12,2,18,0,0,165,0,1,90001
Estilo do Chifre,77,75,0,12,3,18,0,0,16,0,3,90001
Cor do Chifre,78,76,2,12,4,18,0,0,17,0,4,90001
Cabelo,79,77,0,12,6,18,0,0,15,0,6,90001
Cor da Pele,80,78,80,13,2,2,0,0,1,0,1,90001
Rosto,81,79,128,13,1,2,0,0,2,0,2,90001
Estilo do Cabelo,82,80,0,13,3,2,0,0,3,0,3,90001
Cor do Cabelo,83,81,2,13,4,2,0,0,4,0,4,90001
Barba,84,82,0,13,6,2,0,0,5,0,6,90001
Cor da Pele,85,83,80,14,2,2,0,0,1,0,1,90001
Rosto,86,84,128,14,1,2,0,0,2,0,2,90001
Estilo do Cabelo,87,85,0,14,3,2,0,0,3,0,3,90001
Cor do Cabelo,88,86,2,14,4,2,0,0,4,0,4,90001
Brincos,89,87,8,14,6,2,0,0,18,0,7,90001
Cor da Pele,90,88,80,15,2,2,0,0,1,0,1,90001
Rosto,91,89,128,15,1,2,0,0,2,0,2,90001
Estilo do Cabelo,92,90,0,15,3,2,0,0,3,0,3,90001
Cor do Cabelo,93,91,2,15,4,2,0,0,4,0,4,90001
Presas,94,92,0,15,5,2,0,0,19,0,5,90001
Cor da Pele,95,93,80,16,2,2,0,0,1,0,1,90001
Rosto,96,94,128,16,1,2,0,0,2,0,2,90001
Estilo do Cabelo,97,95,0,16,3,2,0,0,3,0,3,90001
