ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Field_10_1_0_48480_005,Field_10_1_0_48776_006
Cumprir 30 Missões,Concluir missões que concedam experiência.,3,135693,200,0,0
Derrotar 50 Chefes de Masmorra,Derrotar chefes de masmorra que concedem experiência.,4,135695,200,0,0
"De 16/12 a 02/01 (Véu de Inverno), obter um Chapéu Festivo sob medida",,5,135697,150,0,0
Concluir 5 Masmorras Míticas+,,6,135699,200,0,7
Concluir 15 Missões Mundiais,,7,136176,150,0,0
Derrotar 10 chefes de raide de Dragonflight,,8,136202,200,0,0
Ganhar 7.500 de Honra,,10,136220,200,0,0
Vencer 5 Campos de Batalha.,,11,136222,200,0,0
Vencer 10 partidas em uma Arena que Não Seja de Escaramuça,,12,136224,200,0,0
Atender Pedidos de Criação,"Falar com um Atendente de Pedidos de Criação no Mercado dos Artífices, em Valdrakken.",13,136242,200,0,0
Vencer 15 Batalhas de Mascotes,,14,136244,200,0,0
Derrotar chefes de masmorra em um grupo interfacção,Derrotar chefes de masmorra que concedem experiência em um grupo de interfacções.,16,136248,150,0,0
Concluir 15 Missões em Nortúndria,,17,136250,200,0,0
Concluir 5 Masmorras de Caminhada Temporal da Wrath of the Lich King,,18,136265,300,0,0
Concluir a Cidadela da Coroa de Gelo,,19,136286,100,0,0
Concluir 5 Campos de Batalha do Vale Alterac,,20,136288,200,0,0
"De 16/12 a 02/01 (Véu de Inverno), usar pelo menos um Ajudante para derrotar Mestres Domadores de Nortúndria",,21,136291,250,0,0
Pescar 50 Peixes em Nortúndria,,22,136300,200,0,0
Contar a Ragnaros que Você Está com Frio no Núcleo Derretido,,23,136323,50,0,0
"De 16/12 a 02/01 (Véu de Inverno), dançar com Vestes de Natal na Árvore do Papai Inverno com 5 jogadores",,24,136325,150,0,0
Matar 100 Elementais de Gelo,,25,136327,100,0,0
Concluir Alvo: Tartaruga na Feira de Negraluna,,26,136357,50,0,0
Véu de Inverno: Matar Chefes de Inverno do Feriado,"De 16/12 a 02/01, matar estes chefes de raide",27,136359,350,0,0
"De 07/12 a 08/12, participar do Festival do Andarilho",,28,136364,150,0,0
"De 07/12 a 08/12 (Festival do Andarilho), acender uma lanterna e ler ""Esperando pela Tartaruga""",,29,136366,150,0,0
Andar de Carrossel ou Montanha-russa na Feira de Negraluna e Comer uma Salsicha Empanada,,30,136369,100,0,0
Matar o Líder da Facção Oposta,,31,136449,400,0,0
Explorar uma Área Nevada,,32,136527,100,0,0
"De 16/12 a 02/01 (Véu de Inverno), usar o Arrefecedor do Furiafria ou ganhar sua aura refrescante na Árvore",,34,136855,150,0,0
Concluir 15 Missões em Draenor,,36,137522,150,0,0
Caminhada Temporal: concluir 5 Masmorras de Caminhada Temporal de Warlords of Draenor,"De 4/7 a 11/7, concluir masmorras da Caminhada Temporal de Warlords of Draenor.",37,137530,100,0,-11
Concluir a Cidadela Fogo do Inferno,,38,137539,150,0,0
Matar 15 Jogadores na Selva de Tanaan,,39,137541,200,0,0
Derrotar Mestres Domadores das Ilhas do Dragão com mascotes Draconianas,Derrotar 2 Mestres Domadores das Ilhas do Dragão com uma formação de pelo menos 2 mascotes draconianas.,40,137543,200,0,0
Pegar peixes em Draenor,,41,137567,100,0,0
Usar Biscoitos do Ajudante Feliz,"Comprar Biscoito do Ajudante Feliz de Breanni no Viveiro Mágico, em Dalaran.",42,137615,100,0,0
O Amor Está no Ar: usar o brinquedo Pedra de Regresso Adorável de Ligeirinho Coração nas Ilhas do Dragão,"De 6/2 a 20/2, usar o brinquedo Pedra de Regresso Adorável de Ligeirinho Coração nas Ilhas do Dragão.",43,137617,150,0,0
O Amor Está no Ar: usar a Cesta de Piquenique Romântica de brinquedo na Chapada Ohn'ahrana,"De 6/2 a 20/2, usar a Cesta de Piquenique Romântica de brinquedo na Chapada Ohn'ahrana.",44,137619,150,0,0
O Amor Está no Ar: concluir Amor em Pedaços,"De 6/2 a 20/2, concluir a missão ""Amor em pedaços"".",45,137621,150,0,0
O Amor Está no Ar: derrotar o Boticário Humberto,"De 6/2 a 20/2, derrotar o Boticário Humberto na Bastilha da Presa Negra.",46,137623,150,0,0
O Amor Está no Ar: Dar uma Pulseira de Patuás Adoráveis de Presente,"De 06/02 a 20/02, presentear um dos líderes da sua facção com uma Pulseira de Patuás Adoráveis.",47,137625,150,0,0
/abraçar um jogador morto,Expressão /abraçar um jogador morto.,48,137634,50,0,0
Ressuscitar Jogadores,,49,137636,50,0,0
Usar o Veneno de Retardar de Zanzil,"Usar o Veneno de Retardar de Zanzil, que pode ser obtido com Geraldo Nero, em Ventobravo, ou com Alfeu Cain, em Orgrimmar.",50,137645,50,0,0
Ganhar ouro na Casa de Leilões,,52,137647,100,0,0
"Comer uma Fatia de Bolo de Chocolate, Fatia de Bolo Adorável e Fatia de Torta de Cereja","Comer uma Fatia de Bolo de Chocolate, Fatia de Bolo Adorável e Fatia de Torta de Cereja, que podem ser obtidas com Aimee em Dalaran Velha.",53,137651,50,0,0
Ninhada dos Hipogrifos: ninho de Filhote de Esfiapluma,"Em 23/2, incubar um Ovo de Esfiapluma para fazer um filhote pousar no seu ombro.",54,137655,150,0,0
Ninhada dos Hipogrifos: usar uma Pena Espectral,"Em 23/02, saquear uma Pena Espectral de Lorthalium e usá-la.",55,137657,150,0,0
Feira de Negraluna: Preparar um Pastelão de Cereja,"De 5/2 a 11/2, preparar um Pastelão de Cereja na Ilha da Feira de Negraluna.",56,137659,50,0,0
Provação do Estilo: ganhar 100 Fichas da Provação do Estilo,"De 1/8 a 7/8, obter Fichas da Provação do Estilo participando da Provação do Estilo.",61,137688,100,266,0
Pegar peixes nas Ilhas Partidas,,63,137731,100,0,0
"Obter um brinquedo que deixa você ""Uma Beleza""",,64,137776,50,0,0
Provação do Estilo: /vibrar com jogadores,"De 20/3 a 24/3, usar a expressão /vibrar para jogadores ao participar da Provação do Estilo.",65,137787,50,0,0
"Provação do Estilo: usar o Holofote, a Pista de Dança e as Chamas da Provação do Estilo","De 20/3 a 24/3, usar o Holofote, a Pista de Dança e as Chamas de Provação do Estilo ao participar da Provação do Estilo.",66,137789,100,0,0
Provação do Estilo: usar a Carta de um Admirador,"De 20/3 a 24/3, usar a Carta de um Admirador ao participar da Provação do Estilo.",67,137793,50,0,0
Derrotar Kael'thas Andassol no Terraço dos Magísteres,,68,137795,150,0,0
Alvoroço em Un'Goro: Saquear Mojo Jurássico,"De 17/03 a 19/03, saquear Mojo Jurássico na Cratera Un'Goro.",69,137797,150,0,0
Alvoroço em Un'Goro: ganhar a Adaptação Incrível,"De 17/3 a 19/3, usar Mojo Jurássico para aumentar os efeitos de Adaptação até ficar incrível.",70,137799,150,0,0
"Feira de Negraluna: concluir ""A bala de canhão humanoide""","De 5/3 a 11/3, concluir a missão ""A bala de canhão humanoide"" na Ilha da Feira de Negraluna.",71,137801,50,0,0
Usar os Óculos de Corgi Superajustados de brinquedo,,72,137803,50,0,0
Alterar sua Aparência,Visitar o barbeiro em uma capital para mudar seu visual.,73,137805,20,0,0
Provação do Estilo: colete a transmogrificação Bicorne do Comerciante,"De 20/3 a 24/3, coletar a transmogrificação Bicorne do Comerciante participando da Provação do Estilo.",74,137807,20,0,0
"Fazer um /muque para outro jogador enquanto está ""Uma Beleza""","Usar a expressão /muque para um jogador enquanto estiver sob o efeito de um brinquedo que deixa você ""Uma Beleza"".",75,137809,50,0,0
Fazer /mesura para um jogador da facção oposta,Usar a expressão /mesura para um jogador da facção oposta.,76,137811,20,0,0
"Usar a expressão /admir para um jogador que está ""Uma Beleza""","Usar a expressão /admir para um jogador sob o efeito de um brinquedo que deixa ""Uma Beleza"".",77,137813,50,0,0
Ganhar Reputação pelas Ilhas do Dragão,,79,137872,150,0,0
Concluir 15 Masmorras Míticas+,,81,140979,200,6,5
