CalloutText_lang,CalloutFrame,ID,Type,Direction,Field_10_1_0_48480_005,UiWidgetSetID,OffsetX,OffsetY
Saque,ContainerFrame1Item1,1,2,1,107628,0,0,0
Trocar,ContainerFrame1Item1,2,2,1,107628,0,0,0
Saque,MultiBarBottomLeftButton1,9,2,1,107628,0,0,0
Trocar|n|n(Aperte |cFF00FFFFTab|r para alterar o espaço),MultiBarBottomLeftButton1,10,2,1,107628,0,0,0
Trocar|n|n(Aperte |cFF00FFFFTab|r para alterar o espaço),MultiBarBottomLeftButton2,11,2,1,107628,0,0,0
Saque,MultiBarBottomLeftButton2,12,2,1,107628,0,0,0
Saque,MultiBarBottomRightButton1,13,2,1,107628,0,0,0
Trocar|n|n(Aperte |cFF00FFFFTab|r para alterar o espaço),MultiBarBottomRightButton1,14,2,1,107628,0,0,0
Saque,MultiBarBottomRightButton2,15,2,1,107628,0,0,0
Trocar|n|n(Aperte |cFF00FFFFTab|r para alterar o espaço),MultiBarBottomRightButton2,16,2,1,107628,0,0,0
Pressione [Tab] para trocar de espaço,MultiBarBottomLeft,17,3,3,0,0,0,0
Aprimorar!,MultiBarBottomLeftButton1,18,2,1,107628,0,0,0
Aprimorar!,MultiBarBottomLeftButton2,19,2,1,107628,0,0,0
Aprimorar!,MultiBarBottomRightButton1,20,2,1,107628,0,0,0
Aprimorar!,MultiBarBottomRightButton2,21,2,1,107628,0,0,0
Espere jogadores suficientes serem evocados para o torneio começar!,UIWidgetBelowMinimapContainerFrame,29,3,3,0,0,0,0
,MultiBarBottomLeft,31,4,0,21439,772,-50000,16
,MultiBarBottomRight,32,4,0,21439,772,-50000,16
Test,ScenarioStageBlock,34,1,3,0,0,0,0
