ID,Text_lang,SortIndex,Min_level,Max_level,ContentTuningID
201,"|cffffd100Dica:|r Para cancelar o lançamento de feitiços, mova o personagem, pule ou pressione a tecla <ESC>.",2,20,250,0
222,|cffffd100Dica:|r Segure <Ctrl> e clique em um item para visualizar como o personagem ficará ao equipar-se com ele.,4,20,250,0
223,|cffffd100Dica:|r Um item com o nome escrito em cinza é um item de baixa qualidade e normalmente deve ser vendido a um comerciante.,5,6,250,0
224,|cffffd100Dica:|r Um item com o nome escrito em branco tem alguma utilidade para os jogadores e pode ser usado ou vendido na casa de leilões.,6,20,250,0
225,"|cffffd100Dica:|r Envie cartas a outros jogadores no seu reino, ou até mesmo para seus próprios personagens, a partir de qualquer caixa de correio no jogo.",7,20,250,0
226,|cffffd100Dica:|r Segure <Shift> e clique em um item para inserir um link do item em uma mensagem de bate-papo.,8,30,250,0
227,"|cffffd100Dica:|r Você pode alterar as teclas das barras de ações apertando <Esc> para abrir a janela ""Teclas de atalho"".",11,15,250,0
229,"|cffffd100Dica:|r Se um alvo no seu minimapa estiver cinza, ele está dentro de uma caverna ou de outro lugar diferente de onde você está.",12,11,49,0
230,"|cffffd100Dica:|r Faça muitas ações divertidas com o sistema de expressões, como digitar /dançar para dançar!",17,25,250,0
231,"|cffffd100Dica:|r Acesse o menu ""Interface"" pressionando <ESC> para personalizar as opções de jogo.",20,10,49,0
234,|cffffd100Dica:|r Um ícone de carta ao lado do minimapa indica que chegou correspondência para você! Vá até uma caixa de correio para recebê-la.,21,10,250,0
235,"|cffffd100Dica:|r Você pode adicionar barras de ações à interface de jogo apertando <Esc> para abrir o menu ""Interface"".",22,250,250,0
236,|cffffd100Dica:|r Segure <Shift> e clique com o botão direito em um alvo para saquear automaticamente todos os itens dele.,23,10,49,0
237,|cffffd100Dica:|r Adicione alguém com quem você gostou de jogar à lista de amigos!,27,20,250,0
240,"|cffffd100Dica:|r Se você não quiser mais receber mensagens de um jogador específico, clique com o botão direito no nome dele e selecione Ignorar. É possível voltar atrás, caso você mude de ideia.",159,10,250,0
241,"|cffffd100Dica:|r Selecione integrantes do seu grupo com as teclas de função. F1 seleciona você, F2 seleciona o segundo integrante do grupo e assim por diante.",31,40,250,0
242,|cffffd100Dica:|r Seja educado ao participar de um grupo para ser convidado mais vezes!,30,0,0,0
243,|cffffd100Dica:|r Clique em uma facção no painel de reputações para obter informações e opções adicionais dessa facção.,32,0,0,0
244,|cffffd100Dica:|r Um monstro com uma estrela sob seu retrato é um monstro raro com tesouros melhores do que a média.,33,15,250,0
245,|cffffd100Dica:|r Use a roda do mouse ao visualizar o mapa para ver uma área mais de perto.,36,0,0,0
251,|cffffd100Dica:|r Completar missões e masmorras é a melhor maneira de passar de nível.,45,10,40,0
254,|cffffd100Dica:|r Oculte a interface com <Alt>-Z e capture telas com a tecla <Print Screen>.,44,0,0,0
256,|cffffd100Dica:|r Clique com o botão direito do mouse no mapa principal para afastar o mapa e ter uma visão do continente ou do mundo. Clique com o botão esquerdo para aproximar o mapa.,40,1,20,0
258,"|cffffd100Dica:|r Para obter informações adicionais sobre um jogador, segure a tecla <Shift> e clique no nome dele.",3,20,49,0
261,|cffffd100Dica:|r Um ponto de interrogação azul acima de um recrutador indica que a missão pode ser repetida.,48,50,250,0
263,|cffffd100Dica:|r Pressione a tecla <Tab> para alternar o inimigo selecionado à sua frente.,13,1,60,0
281,|cffffd100Dica:|r Segure <Shift> e clique em um item sendo vendido por um comerciante para selecionar quantas unidades deseja comprar.,50,10,250,0
282,"|cffffd100Dica:|r Depois de aprender uma profissão, você pode acessar e usar sua nova perícia na aba Profissões do grimório.",10,11,250,0
321,"|cffffd100Dica:|r Se você estiver tendo dificuldades em encontrar algo em uma capital, tente clicar nos guardas para se informar.",14,10,250,0
341,|cffffd100Dica:|r Tudo em excesso faz mal (até World of Warcraft!),143,0,0,0
381,|cffffd100Dica:|r Segure <Shift> e clique em uma pilha de itens para dividi-la em pilhas menores.,54,30,250,0
382,|cffffd100Dica:|r Pressionar os dois botões do mouse ao mesmo tempo é outro modo de fazer o seu personagem andar.,55,0,0,0
384,|cffffd100Dica:|r Você pode cancelar a maioria dos efeitos benéficos clicando com o botão direito no respectivo ícone no topo da tela.,9,25,250,0
388,|cffffd100Dica:|r Clicar em um link de item colocado no bate-papo por outro jogador dará mais informações sobre o item.,57,0,0,0
389,"|cffffd100Dica:|r Você pode ter apenas duas profissões simultaneamente, mas é possível aprender também perícias secundárias (Culinária, Pesca e Arqueologia).",19,10,49,0
390,|cffffd100Dica:|r É falta de educação convidar alguém para um grupo ou abrir uma janela de negociação sem pedir permissão antes.,58,0,0,0
392,|cffffd100Dica:|r A durabilidade dos seus itens não é afetada quando você é derrotado por um jogador inimigo.,60,20,250,0
393,|cffffd100Dica:|r Pressione <Shift> e clique em uma missão no registro de missões para ativar ou desativar o acompanhamento de missões.,61,10,250,0
394,|cffffd100Dica:|r Os recrutadores próximos que esperam o seu retorno são indicados no minimapa por pontos de interrogação amarelos.,63,1,20,0
396,|cffffd100Dica:|r Os recrutadores próximos que esperam o seu retorno são indicados no minimapa por pontos de interrogação.,1,1,15,0
398,|cffffd100Dica:|r Você pode clicar nos ícones numéricos das missões na interface do rastreador de missões para selecionar quais deseja rastrear.,41,5,49,0
399,"|cffffd100Dica:|r Missões cumpridas no nível máximo concedem ouro extra, em vez de experiência.",64,50,60,0
403,|cffffd100Dica:|r A tecla B abre todas as bolsas ao mesmo tempo.,65,20,49,0
404,|cffffd100Dica:|r Seja educado ao interagir com outros jogadores. Eles agradecem!,156,0,0,0
405,|cffffd100Dica:|r A chance de encontrar monstros errantes é muito menor nas estradas.,42,5,49,0
406,|cffffd100Dica:|r Use a ferramenta Localizador de Masmorras para entrar rapidamente em uma aventura para 5 jogadores em uma masmorra!,28,15,49,0
407,"|cffffd100Dica:|r Traga seus amigos a Azeroth, mas não deixe de se divertir com eles no mundo real.",66,0,0,0
409,"|cffffd100Dica:|r Se você mantiver a caixa de correio sempre vazia, aparecerá um ícone de carta para indicar quando novas correspondências chegarem!",67,0,0,0
410,|cffffd100Dica:|r Nunca forneça as informações da sua conta a outro jogador.,68,0,0,0
411,|cffffd100Dica:|r A segurança da sua conta pode ser comprometida se esta for compartilhada com terceiros.,35,0,0,0
419,|cffffd100Dica:|r Um monstro com uma barra de pontos de vida em cinza está em um embate com outro jogador e não concederá nenhum saque e nenhuma experiência.,70,10,59,0
422,"|cffffd100Dica:|r Para acessar o mapa, clique no botão no canto superior direito do minimapa ou pressione a tecla M.",72,1,20,0
423,"|cffffd100Dica:|r Masmorras de alto nível muitas vezes têm um modo Mítico, indisponível pelo Localizador de Masmorras, e que oferece grandes recompensas para os aventureiros mais corajosos!",73,60,250,0
426,"|cffffd100Dica:|r Se você usar o Localizador de Masmorras, poderá se teleportar para a masmorra. Se não, você pode usar as pedras de encontro nas Masmorras para evocar integrantes do grupo ausentes.",77,25,250,0
427,|cffffd100Dica:|r A seção de Controle dos Pais no site de Gerenciamento de Contas oferece ferramentas para ajudar você a gerenciar o tempo de jogo.,78,10,250,0
428,|cffffd100Dica:|r Segure <Shift> e clique em Missões Mundiais para monitorar várias de uma vez.,79,60,60,0
429,|cffffd100Dica:|r Uma missão marcada como (Fracasso) no registro de missões pode ser obtida novamente com o recrutador.,80,20,59,0
430,"|cffffd100Dica:|r Quando se está em um grupo, o número próximo ao nome da missão no seu registro de missões indica quantos integrantes do grupo estão na mesma missão.",81,40,250,0
431,|cffffd100Dica:|r Não é possível cumprir missões que não sejam do tipo (Raide) enquanto você estiver em um grupo de raide.,82,50,250,0
432,"|cffffd100Dica:|r Você não pode cancelar seus lances na casa de leilões, portanto dê lances com cuidado.",83,30,250,0
434,|cffffd100Dica:|r As suas cartas ficam armazenadas por no máximo 30 dias antes de serem excluídas.,85,40,250,0
435,|cffffd100Dica:|r Você pode alterar a aparência de sua armadura ou arma indo a um Transmogrificador em cidades grandes.,86,40,250,0
438,|cffffd100Dica:|r É possível recomprar itens recém-vendidos a comerciantes na aba Recomprar.,88,10,250,0
439,|cffffd100Dica:|r O líder do grupo pode reiniciar instâncias ou alterar a dificuldade da masmorra ao clicar com o botão direito no próprio retrato.,89,50,250,0
440,|cffffd100Dica:|r Você pode pegar uma nova Pedra de Regresso com qualquer estalajadeiro.,90,10,250,0
442,"|cffffd100Dica:|r Jogadores não podem esquivar, aparar ou bloquear ataques desferidos pelas costas deles.",92,30,250,0
444,|cffffd100Dica:|r É possível substituir uma gema engastada em um item colocando outra gema sobre a anterior na interface de engaste.,93,40,250,0
446,|cffffd100Dica:|r Só é possível ter os benefícios de um Elixir de Batalha e um Elixir Guardião simultaneamente.,95,50,250,0
447,"|cffffd100Dica:|r Quando seu cursor estiver em cima de um item, segure a tecla <Shift> para compará-lo ao que você tem equipado no momento.",96,40,250,0
448,"|cffffd100Dica:|r Você pode ter até 18 personagens por reino, com um máximo de 50 personagens no total, em todos os reinos.",97,250,250,0
449,"|cffffd100Dica:|r Você pode reutilizar texto digitado recentemente. Aperte Enter, depois use <Alt> + Seta para cima para ver suas mensagens anteriores.",98,40,250,0
450,|cffffd100Dica:|r A maioria das montarias e mascotes é compartilhada pelo seu Bando de Guerra.,101,30,250,0
451,"|cffffd100Dica:|r Obrigado por jogar World of Warcraft, você é demais!",102,10,250,0
452,|cffffd100Dica:|r Derrote jogadores inimigos para ganhar níveis de Honra e desbloquear prestigiosas recompensas cosméticas!,103,20,250,0
453,|cffffd100Dica:|r O uso de montarias voadoras é aprendido no nível 30!,108,20,59,0
454,|cffffd100Dica:|r Algumas Conquistas recompensam o jogador com itens exclusivos não utilizáveis em combate.,109,40,250,0
456,"|cffffd100Dica:|r Causar dano ou curar gera Ameaça contra criaturas, que geralmente atacam o jogador com o nível mais alto de Ameaça. Personagens na função Tanque, ao gerar ameaça extra, podem controlar a atenção dos inimigos.",111,15,59,0
457,|cffffd100Dica:|r Masmorras Míticas são uma ótima maneira de ter aventuras épicas (ou até mesmo Lendárias) com seus amigos!,112,250,250,0
458,|cffffd100Dica:|r Pensando em testar uma nova classe? Experimente fazer um personagem no Teste de Classe para ver o que acha!,113,60,70,0
459,|cffffd100Dica:|r As Barbearias em diversas cidades permitem que você personalize totalmente a aparência do seu personagem de graça!,114,40,250,0
460,|cffffd100Dica:|r Recrutar um amigo para o World of Warcraft pode proporcionar recompensas a vocês dois.,115,20,250,0
461,"|cffffd100Dica:|r Masmorras Heroicas têm um requisito mínimo de nível de item para serem acessadas através do Localizador de Masmorras, mas você pode contornar esse requerimento com um grupo de amigos completo.",117,60,250,0
462,"|cffffd100Dica:|r Muitos saques de missões têm chance de ser aprimorados quando são obtidos, podendo ganhar um poder considerável!",116,20,250,0
464,"|cffffd100Dica:|r Use o Calendário para ficar sabendo dos próximos feriados ou planejar atividades com sua guilda, suas comunidades e seus amigos.",99,40,250,0
