ID,DisplayName_lang,Description_lang,Type,Cost_Modifier,Race,Sex,Data
3,Longo,,0,1,11,0,0
4,Rabo de raposa,,0,1,11,0,1
5,Tranças,,0,1,11,0,2
6,Para cima,,0,1,11,0,3
7,Preso e arrepiado,,0,1,11,0,4
8,Tererê,,0,1,11,0,5
9,Chifrinhos,,0,1,11,0,6
10,Coque solto,,0,1,11,0,7
11,Careca,,0,1,11,0,8
19,Bundinha de neném,,2,0.75,11,0,0
20,Tentáculos assimétricos,,2,0.75,11,0,1
21,Costeletas,,2,0.75,11,0,2
22,Suíças,,2,0.75,11,0,3
23,Bigode,,2,0.75,11,0,4
24,Mosca,,2,0.75,11,0,5
25,Barbicha,,2,0.75,11,0,6
26,Tentáculos repartidos,,2,0.75,11,0,7
27,Liso,,0,1,1,1,0
28,Solto,,0,1,1,1,1
29,Franja,,0,1,1,1,2
30,Volumoso,,0,1,1,1,3
31,Longo e repartido,,0,1,1,1,4
32,Jogado para o lado,,0,1,1,1,5
33,Joãozinho,,0,1,1,1,6
34,Preso com franja à direita,,0,1,1,1,7
35,Preso com franja à esquerda,,0,1,1,1,8
36,Carré,,0,1,1,1,9
37,Em camadas,,0,1,1,1,10
38,Curto,,0,1,1,1,11
39,Coquete,,0,1,1,1,12
40,Ondulado,,0,1,1,1,13
41,Coque,,0,1,1,1,14
42,Chanel,,0,1,1,1,15
43,Curto e ondulado,,0,1,1,1,16
44,Casual,,0,1,1,1,17
55,Sem furos,,2,0.75,1,1,0
56,Brincos,,2,0.75,1,1,1
57,Piercing de orelha,,2,0.75,1,1,2
58,Piercing de orelha duplo,,2,0.75,1,1,3
59,Peneira,,2,0.75,1,1,4
60,Piercing de nariz,,2,0.75,1,1,5
61,Piercings faciais,,2,0.75,1,1,6
62,Molhado,,0,1,1,1,18
63,Careca,,0,1,1,0,0
64,Camponês,,0,1,1,0,1
65,Reco,,0,1,1,0,2
66,Tonsura,,0,1,1,0,3
67,Conquistador,,0,1,1,0,4
