ID,Name_lang,Flags,UiTextureKitID,UiTextureKitElementCount
1,Órquico,0,0,0
2,Darnassiano,0,0,0
3,Taurahe,0,0,0
6,Enânico,0,0,0
7,Língua Comum,0,0,0
8,Demoníaco,0,0,0
9,Titânico,0,0,0
10,Talassiano,0,0,0
11,Dracônico,0,0,0
12,Kalimaico,0,0,0
13,Gnomês,0,0,0
14,Zandali,0,0,0
33,Guturalês,0,0,0
35,Draeneico,0,0,0
36,Zumbi,0,0,0
37,Gnomês Binário,0,0,0
38,Goblinês Binário,0,0,0
39,Guilneano,0,0,0
40,Goblinês,0,0,0
42,Pandaren,0,0,0
43,Pandaren,0,0,0
44,Pandaren,0,0,0
168,Duendês,0,0,0
178,Shath'Yar,0,0,0
179,Nergonês,0,0,0
180,Lunisquês,0,0,0
181,Shalassiano,0,0,0
182,Talassiano,0,0,0
285,Vulpera,0,0,0
287,Cifra Complexa,0,0,0
288,Cifra Básica,0,0,0
290,Metrial,3,5410,36
291,Altoniano,3,5410,36
292,Sopraniano,3,5410,36
293,Álico,3,5410,36
294,Délico,3,5410,36
295,Solenim,3,5410,36
296,Faenim,3,5410,36
297,Línguas Incorporadas,2,0,0
298,Incognoscível,3,5410,36
