ID,Name_lang,HonorLevel,BadgeTextureFileDataID,Flags,AwardedAchievementID
1,Nível de Honra 5,5,1375574,0,12893
2,Nível de Honra 10,10,1375575,0,12894
3,Nível de Honra 15,15,1375576,0,12895
4,Nível de Honra 20,20,1375577,0,12900
6,Nível de Honra 25,25,1551554,1,12901
8,Nível de Honra 30,30,1551555,1,12902
9,Nível de Honra 40,40,1551556,1,12903
10,Nível de Honra 50,50,1551557,1,12904
11,Nível de Honra 60,60,1567394,0,12905
12,Nível de Honra 70,70,1597388,0,12906
13,Nível de Honra 80,80,1597390,0,12907
14,Nível de Honra 90,90,1597392,0,12908
15,Nível de Honra 100,100,1597394,0,12909
16,Nível de Honra 125,125,1597397,0,12910
17,Nível de Honra 150,150,1597398,0,12911
18,Nível de Honra 175,175,1597399,0,12912
19,Nível de Honra 200,200,1597400,0,12913
20,Nível de Honra 250,250,1713158,0,12914
21,Nível de Honra 300,300,1713159,0,12915
22,Nível de Honra 400,400,1713160,0,12916
23,Nível de Honra 500,500,1713161,0,12917
24,Nível de Honra 600,253,1713162,0,0
25,Nível de Honra 750,254,1713163,0,0
26,Nível de Honra 1000,255,1713164,0,0
