ID,Tooltip_lang,Name_lang,Field_8_2_0_30430_003
57,你夺取旗帜的次数,夺取旗帜,0
58,你摧毁敌方城墙的次数。,摧毁城墙,0
59,你摧毁敌方建筑的次数。,摧毁建筑,0
60,你摧毁城门的次数,摧毁城门,0
61,阻止敌人夺取墓地的次数,保卫墓地,0
62,你将军旗夺回的次数,归还旗帜,0
63,敌方哨塔上的军旗被拔除的次数,占领哨塔,0
64,辅助作战单位被激活的数量,辅助目标,0
65,敌方基地中的军旗被拔除的次数,突袭基地,0
67,阻止敌人夺取哨塔的次数,保卫哨塔,0
69,阻止敌方夺取基地的次数,防御基地,0
70,你摧毁攻城车的次数,摧毁攻城车,0
71,敌方墓地中的军旗被拔除的次数,占领墓地,0
75,你协助控制的矿车数量,控制矿车,0
78,你夺取敌方矿车的次数,夺取矿车,0
79,你将己方矿车夺回的次数,归还矿车,0
81,阻止敌人夺取矿洞的次数,防守矿洞,0
87,你控制宝珠的次数,夺取宝珠,0
88,你获得的胜利点数,胜利点数,0
89,赢得的积分,得分,0
98,你收集和上交的神器碎片总数。,已收集神器,0
99,你收集的艾泽里特总量。,收集的艾泽里特,0
102,已收集材料数量,已收集材料,0
1092,敌方基地中的军旗被拔除的次数,突袭矿洞,0
1093,你夺取旗帜的次数,夺取旗帜,0
1097,胜利回合数,胜利|n回合数,0
