ID,Name_lang,Flags,UiTextureKitID,UiTextureKitElementCount
1,兽人语,0,0,0
2,达纳苏斯语,0,0,0
3,牛头人语,0,0,0
6,矮人语,0,0,0
7,通用语,0,0,0
8,恶魔语,0,0,0
9,泰坦语,0,0,0
10,萨拉斯语,0,0,0
11,龙语,0,0,0
12,卡利麦格语,0,0,0
13,侏儒语,0,0,0
14,赞达拉语,0,0,0
33,亡灵语,0,0,0
35,德莱尼语,0,0,0
36,僵尸语,0,0,0
37,侏儒二进制,0,0,0
38,地精二进制,0,0,0
39,吉尔尼斯语,0,0,0
40,地精语,0,0,0
42,熊猫人语,0,0,0
43,熊猫人语,0,0,0
44,熊猫人语,0,0,0
168,林精语,0,0,0
178,沙斯亚尔语,0,0,0
179,水生语,0,0,0
180,枭兽语,0,0,0
181,夏拉斯语,0,0,0
182,萨拉斯语,0,0,0
285,狐人语,0,0,0
287,复合密文,0,0,0
288,基础密文,0,0,0
290,节拍语,3,5410,36
291,低音语,3,5410,36
292,高音语,3,5410,36
293,前调语,3,5410,36
294,中调语,3,5410,36
295,浅频语,3,5410,36
296,深频语,3,5410,36
297,嵌入语言,2,0,0
298,不可知语,3,5410,36
