ID,Description_lang,SoulbindID,CreatureDisplayInfoID,ModelSceneActorID,TextureKitID,OrderIndex,GlobalOrderIndex,ActivationSoundKitID
1,"Niya es una sylvar que se encargaba de cuidar y proteger las semillas silvestres de su arboleda. La conociste en un momento trágico, ya que tuvo que dejar que su arboleda se marchitase para recuperar su ánima. Durante su viaje a tu lado, Niya ha descubierto la dura realidad de la supervivencia en mitad de la sequía. Es una experta cazadora y rastreadora, por lo que sus habilidades serán útiles para acabar con la sequía y con el resto de amenazas que asolan Ardenweald.",1,95232,1030,5312,0,6,171896
2,"Tranquilo y sereno, Tejesueños es experto en observar los sueños de los espíritus de la naturaleza que duermen en el interior de las semillas silvestres del bosque mientras aguardan su renacer. Tejesueños te ayudó a formar un vínculo con una semilla silvestre en particular, cuyo espíritu durmiente se puso en contacto con vosotros. Sus poderes de sanación sirven de apoyo en el asedio de Ardenweald por parte de enemigos externos.",2,94430,1029,5313,1,7,171898
3,"El general Draven sirvió a Revendreth como comandante de la Legión Pétrea durante una eternidad. Siempre presente en primera línea en el campo de batalla, donde lucha con honor hasta el final y jamás abandona a ningún soldado. Cuando Denathrius eligió al Carcelero, Draven escogió la rebelión de Renathal. Para él, Revendreth siempre será lo más importante.",3,92399,1031,5314,2,11,171889
4,"Marileth, tan excéntrico como brillante, ha creado algunas de las pociones más eficaces de todo Maldraxxus. Enloqueció como resultado del sabotaje y la destrucción de la Casa de las Plagas. Las ingeniosas soluciones de Marileth resultan vitales para la campaña bélica... pese a algún que otro efecto secundario.",4,94122,1035,5315,0,3,171890
5,"El ensamblaje que Emeni tiene por cuerpo fue creado en los patios de remiendos de Maldraxxus. En vida fue una noble poderosa que masacró a cientos de sus hermanos para hacerse con el trono. Al colaborar contigo para exterminar a vuestros enemigos comunes, ha acabado por respetar tu fuerza y destreza. Ya es una leyenda por derecho propio, pero su fama alcanzará cotas aún más altas al vincular su alma con la tuya, Caminante de Las Fauces.",5,93825,1036,5316,1,4,171892
7,"Como cazadora de la Cacería Salvaje, Korayn es una líder tenaz y una feroz luchadora. Encargada de proteger el bosque de las amenazas más peligrosas y esquivas, no descansará hasta que su presa haya muerto y la seguridad de Ardenweald esté garantizada. Cuando atacaron la Cuenca Invernal, solo el liderazgo y la determinación de Korayn lograron salvar la situación.",6,95248,1037,5317,2,8,171899
9,"Pelagos, aspirante en Bastión, entrena con diligencia para obtener su ascensión, incluso en tiempos adversos y desafiantes. Al igual que Kleia, su otro nexo de almas, no tarda en trabar amistad contigo cuando intentas conseguir una audiencia con la Arconte y plantar cara a la amenaza abjurante. Aunque su camino está plagado de dudas y recuerdos de su pasado mortal, Pelagos no pierde su carácter vivaracho y esperanzado.",7,94137,1039,5318,0,0,171883
10,"Heirmir, aprendiz del mismísimo Prelado, se encuentra entre las almas mortales más antiguas de Maldraxxus. Con eones de formación y práctica a sus espaldas, es la mayor experta en la forja de armas y armaduras de hueso y acero. Los arsenales que crea permiten que la Casa de los Elegidos y tú contéis siempre con el equipo adecuado para hacer frente a los enemigos que os rodean.",10,96102,1038,5319,2,5,171894
11,"Kleia, una ascendida kyriana a la que conociste cuando aún era una aspirante. Ha demostrado a Pelagos, su compañero y nexo de almas, y al resto de los kyrianos que quiere progresar y superar todas las pruebas a las que se enfrente. Mentora generosa de Pelagos y tuya, hará todo lo que esté en su mano para proteger Bastión y a sus amigos.",13,94873,1040,5320,1,1,171885
12,"Mikanikos, un administrador de Bastión, demostró tener madera desde el principio y no tardó en ascender hasta el rango de forjador supremo. Fue el principal inventor de muchas de las creaciones más emblemáticas de Bastión. Sabedor de tu potencial como Caminante de Las Fauces, se ha convertido en un formidable aliado para ayudarte a combatir la sequía de ánima y otras amenazas.",18,96348,1041,5322,2,2,171886
14,"Nadjia, la autoproclamada ""mejor duelista que jamás haya empuñado una espada"", se rebela ante la inactividad y anhela vivir nuevas experiencias. Siempre que hay jaleo, Nadjia anda cerca, o más bien en pleno meollo. Está dispuesta a ponerse a tus órdenes para defender Revendreth y para pasar un buen rato.",8,93210,1042,5327,0,9,171887
15,"¡La locura no es excusa para la grosería! Exiliado de los círculos aristocráticos tradicionales, Theotar formó su propia corte de desterrados con los que chismorrear. Ya sea encantando con magia poderosa su tetera favorita o animando dragadores para que le lleven la sombrilla, Theotar domina el increíble poder de Revendreth a su excéntrica manera.",9,93223,1043,5328,1,10,171888
