Name_lang,Description_lang,ID,Flags,Field_12_0_0_63534_004,Field_12_0_0_63534_005,Field_12_0_0_63534_006
Tiger Test NI,"Initiative is used in Unit Testing, Ask Tiger Lu before changing values",1,1,100,0,-1
La mejor iniciativa,Es la mejor,6,1,0,90931,0
Test Initiative - Not as good as the last one,"Probablemente, al menos",7,1,0,90934,1
Iniciativa maravillosa,Quizás no tan maravillosa,9,1,0,90935,0
[DNT] With Regards to Sporeggar,"[DNT] The farmers and cultivators of the Neighborhood are struggling to produce good soil for this seasons crop rotation. Sympathetic to their plight, the Cenarion Circle has recommended reaching out to a small farming village on the outskirts of Zangarmarsh...",10,1,0,90973,0
[DNT] Deeperholm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,11,1,0,90973,0
[DNT] You Take Candle,[DNT] The neighborhood is having difficulties keeping their lanterns alight and is in dire need of lighting upgrades. Seek out the Kobolds of the Ringing Deeps and seek their counsel on exterior illumination.,12,1,0,91278,0
Amigo de los grúmel,"¡No es tarea fácil mantener un hogar! A todos nos viene bien un poco de ayuda. Por eso hemos contactado con los grúmel de Kun-Lai, que han elaborado una bebida especial llamada kafa que te dará el empujón que necesitas.",13,0,0,91362,0
[DNT] Holm Sweet Holm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,14,1,0,91396,0
Ayuda artística,Una comuna artística de elfos de sangre se ha refugiado en el vecindario mientras su hogar está bajo ataque y quieren compartir su destreza artística con el vecindario.,15,0,0,91633,0
Más allá de lo posible,Los renacidos dracthyr han escogido su camino en la vida. Su pasión por el aprendizaje inspirará a los residentes del vecindario a aprender nuevas habilidades de comercio.,16,0,0,92151,0
Mecanización moderada,Los mecagnomos de Mecandria han venido a ayudar al vecindario con mejoras tecnológicas.,17,0,0,92687,0
Consternación del Consorcio,El Consorcio está ayudando a los residentes del vecindario a recuperar sus objetos perdidos en el depósito del Vacío.,18,0,0,93941,0
Sensación olorosa,Los niffen han venido al vecindario para ayudar con algunos problemillas de polinización. Juntos podéis hacer florecer la flora del vecindario.,19,0,0,94009,0
