ID,Name_lang,UiTextureAtlasMemberID,UiTextureKitID
3,Combate,3475,0
4,Genérico,3475,0
5,Recuperación,3567,0
6,Logística,3580,0
7,Fauna,3572,0
8,Comercio,3575,0
9,Construcción,3578,0
10,Aprovisionamiento,3568,0
11,Reclutamiento,3583,0
12,Entrenamiento,3574,0
13,Patrulla,3582,0
14,Investigación,3574,0
15,Defensa,3577,0
16,Exploración,3476,0
17,Asedio,3570,0
18,Alquimia,3571,0
19,Herrería,3474,0
20,Encantamiento,3566,0
21,Ingeniería,3581,0
22,Inscripción,3579,0
23,Joyería,3576,0
24,Peletería,3584,0
25,Sastrería,3573,0
35,Tesoro,3575,0
36,Duelo de mascotas,3572,0
37,Combate de barco,4613,174
38,Petróleo de barco (Sin usar),4614,175
39,Entrenamiento de barco,4617,178
40,Tesoro de barco,4618,179
41,Ship-SiegeA,4615,176
42,Ship-SiegeH,4616,177
46,Exploración,3582,0
47,Bonificación de barco,4897,220
48,Barco legendario,4931,221
49,Ship-SiegeIHA,5016,224
50,Ship-SiegeIHH,5017,223
51,Apoyo de zona - Alianza,5597,244
52,Invasión,3577,224
53,Artefacto - Misión de monje,4929,221
54,Generic (7.0),3475,0
55,7.0 Tutorial,4929,221
57,Apoyo de zona - Horda,5598,245
58,Artefacto - Misión de chamán,4929,221
59,Artefacto - Misión de druida,4929,221
60,Artefacto - Misión de mago,4929,221
61,Artefacto - Misión de cazador,4929,221
63,Artefacto - Misión de paladín,4929,221
64,Artefacto - Misión de brujo,4929,221
65,Artefacto - Misión de cazador de demonios,4929,221
66,Artefacto - Misión de pícaro,4929,221
67,Artefacto - Misión de sacerdote,4929,221
68,Artefacto - Misión de caballero de la Muerte,4929,221
69,Artefacto - Misión de guerrero,4929,221
70,7.0 Class Hall - Campaign Missions,6130,0
71,7.0 Class Hall - Generic Missions,6132,0
72,7.0 Class Hall - Treasure Missions,6128,0
73,7.0 Class Hall - Special Reward Missions,6131,0
74,7.0 Class Hall - Quest Missions,6130,0
75,7.0 Class Hall - Treasure Missions - Dungeon,6128,0
76,7.0 Class Hall - Treasure Missions - Raid,6128,0
79,7.2 Broken Shore - Generic Missions,6132,0
80,8.0 - Generic Missions,7747,0
81,8.0 - Stealth,7749,0
82,8.0 - Quick Strike,7748,0
83,8.0 - Long Campaign,8046,0
184,8.0 - Hub Unlock,7746,0
185,8.1 - Treasure Map,8778,0
186,8.2 - Holiday Mission,7746,0
187,8.2 - Deep Sea,9262,0
188,8.2 Azerite Essence - Treasure,8778,0
189,9.0 Encounter - Maldraxxus,6128,0
190,9.0 Encounter - Ardenweald,4929,0
191,9.0 Encounter - Revendreth,7748,0
192,9.0 Encounter - Bastion,6130,0
193,9.0 Encuentro - Tazavesh,6128,0
194,9.0 Encuentro - Asalto a Las Fauces,6128,0
195,9.0 Encounter - Treasure,6128,0
196,9.2 Encuentro - Zereth Mortis,6128,0
