ID,CategoryName_lang,CustomizeIcon,CustomizeIconSelected,OrderIndex,CameraZoomLevel,Flags,SpellShapeshiftFormID,CameraDistanceOffset
1,Cuerpo,11987,11986,4,20,1,0,0
2,Cara,11991,11990,1,100,0,0,0
3,Accesorios,11985,11984,3,100,0,0,0
4,Pelo,11989,11988,2,100,0,0,0
5,Marcas,11987,11986,5,65,1,0,0
6,Forma de oso,15730,15730,6,0,0,5,1
7,Forma felina,15731,15731,7,0,0,1,0
9,Forma acuática,15729,15729,10,0,0,4,1
10,Forma de viaje,15734,15734,11,0,0,3,1
11,Forma de vuelo,15732,15732,9,0,0,27,0
12,Forma de lechúcico lunar,15733,15733,8,0,0,31,0
13,Cara (no-muerto),11991,11990,1,80,1,0,0
14,Cara (pandaren),11991,11990,1,80,1,0,0
15,Cara (orco Mag'har),11991,11990,1,85,1,0,0
16,Cara (enano),11991,11990,1,88,0,0,0
17,Accesorios (enano),11985,11984,3,88,0,0,0
18,Cara (tauren),11991,11990,1,100,1,0,0
19,Accesorios (tauren),11985,11984,3,100,1,0,0
20,Face (Worgen),11991,11990,1,100,1,0,0
22,Cuerpo (dracthyr),11987,11986,1,20,0,0,0
23,Espejo,18308,18307,2,100,0,0,0
24,Armadura 1 (dracthyr),11993,11992,5,20,0,0,0
25,Identidad,18778,18777,12,20,0,0,0
26,Armor 2 (Dracthyr),11993,11992,6,20,0,0,0
27,Cuerpo (jinete de dragones),20126,20127,1,20,1,0,0
28,Cuerpo 2 (jinete de dragones),20128,20129,2,20,1,0,0
29,Cabeza (jinete de dragones),20130,20131,3,100,0,0,0
30,Cabeza 2 (jinete de dragones),18308,18307,4,100,0,0,0
31,Accesorios (dracthyr),20130,20131,2,100,0,0,0
32,Cara (dracthyr),11991,11990,3,100,0,0,0
33,Espejo (dracthyr),18308,18307,4,100,0,0,0
