ID,Reaction_lang,FriendshipRepID,ReactionThreshold,OverrideColor
1,Extraño,2,0,0
2,Conocido,2,8400,0
3,Colega,2,16800,0
4,Amigo,2,25200,0
5,Buen amigo,2,33600,0
6,Mejor amigo,2,42000,0
59,Extraño,16,0,0
60,Conocido,16,8400,0
61,Colega,16,16800,0
62,Amigo,16,25200,0
63,Buen amigo,16,33600,0
64,Mejor amigo,16,42000,0
65,Extraño,17,0,0
66,Conocido,17,8400,0
67,Colega,17,16800,0
68,Amigo,17,25200,0
69,Buen amigo,17,33600,0
70,Mejor amigo,17,42000,0
71,Extraño,18,0,0
72,Conocido,18,8400,0
73,Colega,18,16800,0
74,Amigo,18,25200,0
75,Buen amigo,18,33600,0
76,Mejor amigo,18,42000,0
77,Extraño,19,0,0
78,Conocido,19,8400,0
79,Colega,19,16800,0
80,Amigo,19,25200,0
81,Buen amigo,19,33600,0
82,Mejor amigo,19,42000,0
83,Extraño,20,0,0
84,Conocido,20,8400,0
85,Colega,20,16800,0
86,Amigo,20,25200,0
87,Buen amigo,20,33600,0
88,Mejor amigo,20,42000,0
89,Extraño,21,0,0
90,Conocido,21,8400,0
91,Colega,21,16800,0
92,Amigo,21,25200,0
93,Buen amigo,21,33600,0
94,Mejor amigo,21,42000,0
95,Extraño,22,0,0
96,Conocido,22,8400,0
97,Colega,22,16800,0
98,Amigo,22,25200,0
99,Buen amigo,22,33600,0
100,Mejor amigo,22,42000,0
101,Extraño,23,0,0
102,Conocido,23,8400,0
103,Colega,23,16800,0
104,Amigo,23,25200,0
105,Buen amigo,23,33600,0
106,Mejor amigo,23,42000,0
107,Extraño,24,0,0
108,Conocido,24,8400,0
109,Colega,24,16800,0
110,Amigo,24,25200,0
111,Buen amigo,24,33600,0
112,Mejor amigo,24,42000,0
113,Aprendiz,25,0,0
114,Aprendiz,25,8400,0
115,Oficial,25,16800,0
116,Oficial,25,25200,0
117,Oficial,25,33600,0
118,Experto,25,42000,0
119,Extraño,26,0,0
120,Compañero,26,8400,0
121,Colega,26,16800,0
122,Amigo,26,25200,0
123,Mejor amigo,26,42000,0
124,Buen amigo,26,33600,0
127,Rango 1,28,0,0
128,Rango 2,28,1000,0
129,Rango 3,28,2000,0
130,Rango 4,28,3000,0
131,Rango 5,28,4000,0
132,Rango 6,28,5000,0
133,Rango 7,28,6000,0
192,Rango 1,43,0,0
193,Rango 2,43,1000,0
194,Rango 3,43,2000,0
195,Rango 4,43,3000,0
196,Rango 5,43,4000,0
197,Rango 6,43,5000,0
198,Rango 7,43,6000,0
271,Rango máximo,43,7000,0
272,Rango máximo,28,7000,0
288,Sin suministros,72,0,0
289,Proveedor,72,10000,0
416,Guardaespaldas,160,0,0
417,Escolta leal,160,10000,0
418,Compañero del alma,160,20000,0
422,Guardaespaldas,162,0,0
423,Escolta leal,162,10000,0
424,Compañero del alma,162,20000,0
425,Guardaespaldas,163,0,0
426,Escolta leal,163,10000,0
427,Compañero del alma,163,20000,0
428,Guardaespaldas,164,0,0
429,Escolta leal,164,10000,0
430,Compañero del alma,164,20000,0
431,Guardaespaldas,165,0,0
432,Escolta leal,165,10000,0
433,Compañero del alma,165,20000,0
434,Guardaespaldas,166,0,0
435,Escolta leal,166,10000,0
436,Compañero del alma,166,20000,0
437,Guardaespaldas,167,0,0
438,Escolta leal,167,10000,0
439,Compañero del alma,167,20000,0
443,Rango 1,171,0,0
444,Rango 2,171,1000,0
445,Rango 3,171,2000,0
446,Rango 4,171,3000,0
447,Rango 5,171,4000,0
448,Rango 6,171,5000,0
449,Rango 7,171,6000,0
450,Rango 8,171,7000,0
451,Rango 1,172,0,0
452,Rango 2,172,1000,0
453,Rango 3,172,2000,0
454,Rango 4,172,3000,0
455,Rango 5,172,4000,0
456,Rango 6,172,5000,0
457,Rango 7,172,6000,0
458,Rango 8,172,7000,0
466,marchitándose,181,0,0
467,estabilizándose,181,100,0
471,marchitándose,182,0,0
472,estabilizándose,182,100,0
473,fortaleciéndose,182,150,0
476,marchitándose,183,0,0
477,saciándose,183,200,0
481,Rango 9,171,8000,0
482,Rango máximo,171,9000,0
483,Rango 9,172,8000,0
484,Rango máximo,172,9000,0
485,State 0 - Follower,184,0,0
486,State 2 - Chapter 2,184,21000,0
487,State 1 - Chapter 1,184,45000,0
488,State 3 - Chapter 3,184,60000,0
489,marchitándose,185,0,0
490,estabilizándose,185,100,0
520,Extraño,193,0,0
521,Compañero,193,8400,0
522,Colega,193,16800,0
523,Amigo,193,25200,0
524,Buen amigo,193,33600,0
525,Mejor amigo,193,42000,0
530,Becario,195,0,0
531,Habitante joven,195,1000,0
532,Habitante veterano,195,2000,0
533,Primer interviniente,195,3000,0
534,saciándose,185,200,0
535,saciándose,181,200,0
536,estabilizándose,183,100,0
543,Guardaespaldas,198,0,0
544,Escolta leal,198,10000,0
545,Compañero del alma,198,20000,0
546,Extraño,199,0,0
547,Compañero,199,8400,0
548,Colega,199,16800,0
550,Amigo,199,25200,0
551,Buen amigo,199,33600,0
552,Extraño,200,0,0
553,Compañero,200,8400,0
554,Colega,200,16800,0
555,Buen amigo,200,33600,0
556,Mejor amigo,200,42000,0
562,Extraño,202,0,0
563,Compañero,202,8400,0
564,Colega,202,16800,0
565,Buen amigo,202,33600,0
566,Mejor amigo,202,42000,0
572,Extraño,204,0,0
573,Compañero,204,8400,0
574,Colega,204,16800,0
575,Buen amigo,204,33600,0
576,Mejor amigo,204,42000,0
582,Extraño,206,0,0
583,Compañero,206,8400,0
584,Colega,206,16800,0
585,Buen amigo,206,33600,0
586,Mejor amigo,206,42000,0
592,Extraño,208,0,0
593,Ser curioso,208,8400,0
594,Sin amenaza,208,16800,0
595,Amigo servicial,208,33600,0
596,Mejor amigo,208,42000,0
597,Mejor amigo,199,42000,0
598,Amigo,200,25200,0
599,Amigo,202,25200,0
600,Amigo,204,25200,0
601,Amigo,206,25200,0
602,Amigo,208,25200,0
603,Vástago,209,0,0
604,Alumno temporal,209,1000,0
605,Trotatiempos,209,2500,0
606,Cronoamigo,209,4500,0
607,Aliado Bronce,209,7000,0
608,Reparador de eras,209,10000,0
609,Señor del tiempo,209,15000,0
611,Rango 1,210,0,0
612,Rango 2,210,1000,0
613,Rango 3,210,2000,0
614,Rango 4,210,3000,0
615,Rango 5,210,4000,0
616,Rango 6,210,5000,0
617,Rango 7,210,6000,0
618,Rango 8,210,7000,0
619,Rango 9,210,8000,0
620,Rango máximo,210,9000,0
631,Rango 1,212,0,0
632,Rango 2,212,1000,0
633,Rango 3,212,2000,0
634,Rango 4,212,3000,0
635,Rango 5,212,4000,0
636,Rango 6,212,5000,0
637,Rango 7,212,6000,0
638,Rango 8,212,7000,0
639,Rango 9,212,8000,0
640,Rango máximo,212,9000,0
641,Prole,213,0,0
642,Joven,213,5000,0
643,Subadulto,213,15000,0
644,Adulto,213,30000,0
746,Prole,315,0,0
750,Rango 1,316,0,0
751,Rango 2,316,300,0
752,Rango 3,316,600,0
753,Rango 4,316,900,0
754,Rango 1,317,0,0
755,Rango 2,317,300,0
756,Rango 3,317,600,0
757,Rango 4,317,900,0
758,Rango 1,318,0,0
760,Rango 3,318,600,0
761,Rango 4,318,900,0
766,Rango 1,320,0,0
767,Rango 2,320,300,0
768,Rango 3,320,600,0
769,Rango 4,320,900,0
774,Rango 5,316,1200,0
775,Rango 6,316,1500,0
776,Rango 7,316,1800,0
777,Rango 8,316,2100,0
778,Rango 9,316,2400,0
779,Rango 10,316,2700,0
780,Rango 11,316,3000,0
781,Rango 12,316,3300,0
782,Rango 13,316,3600,0
783,Rango 14,316,3900,0
784,Rango 15,316,4200,0
785,Rango 16,316,4500,0
786,Rango 17,316,4800,0
787,Rango 18,316,5100,0
788,Rango 19,316,5400,0
789,Rango 20,316,5700,0
790,Rango 21,316,6000,0
791,Rango 22,316,6300,0
792,Rango 23,316,6600,0
793,Rango 24,316,6900,0
794,Rango 25,316,7200,0
795,Rango 26,316,7500,0
796,Rango 27,316,7800,0
797,Rango 28,316,8100,0
798,Rango 29,316,8400,0
799,Rango 30,316,8700,0
821,Joven,315,4000,0
822,Madurez,315,8000,0
823,Rango 5,320,1200,0
824,Rango 6,320,1500,0
825,Rango 7,320,1800,0
826,Rango 8,320,2100,0
827,Rango 9,320,2400,0
828,Rango 10,320,2700,0
829,Rango 11,320,3000,0
830,Rango 12,320,3300,0
831,Rango 13,320,3600,0
832,Rango 14,320,3900,0
833,Rango 15,320,4200,0
834,Rango 16,320,4500,0
835,Rango 17,320,4800,0
836,Rango 18,320,5100,0
837,Rango 19,320,5400,0
838,Rango 20,320,5700,0
839,Rango 21,320,6000,0
840,Rango 22,320,6300,0
841,Rango 23,320,6600,0
842,Rango 24,320,6900,0
