ID,Body_lang
83,esto es una prueba
84,"Gracias por visitarme, $n. Me complace saber que no se nos ha olvidado."
85,"Gracias por visitarme, $n. Me complace saber que no se nos ha olvidado."
86,"Este pequeño obsequio no te dará respuestas, pero puede resultarte divertido."
87,"Hola, otra vez. Soy Gubber Blump.

Espero que te esté yendo bien. También espero que sigas pescando. Me encanta la pesca. La familia Blump es conocida por dedicarse a la pesca. Aquí tienes un cebo para poder pescar un poco mejor. Me encanta usarlo cuando voy de pesca. Buena suerte y gracias, nuevamente, por ayudarme a pescar esos meros.

¡Sigue pescando!

Gubber Blump"
88,"Gracias por visitarme, $n. Me complace saber que no se nos ha olvidado."
89,"Gracias por visitarme, $n. Me complace saber que no se nos ha olvidado."
90,"Gracias por visitarme, $n. Me complace saber que no se nos ha olvidado."
91,"Este pequeño obsequio no te dará respuestas, pero puede resultarte divertido."
92,"Gracias por visitarme, $n. Me complace saber que no se nos ha olvidado."
93,"$gEstimado:Estimada; $n:$B$BHe revisado la pila de documentos que me trajiste y descifré los artículos adjuntos para ti. Elegí cuidadosamente solo aquello que consideré útil. Fue especialmente complicado ir hasta un buzón sin que me vieran, pero los meses que llevo ocultándome en el desierto me han convertido en $gun verdadero experto:una verdadera experta; en esta práctica.$B$BEspero que los disfrutes,$B$BOrtell"
94,"¡Saludos, $n!$B$BMe estoy volviendo bastante bueno a la hora de colarme en el Fuerte Cenarion para utilizar el buzón. Nuevamente, he adjuntado algunos objetos que podrían serte interesantes. ¡Ojalá que su contenido te resulte útil!$B$BOrtell"
95,"Gracias por visitarme, $n. Me complace saber que no se nos ha olvidado."
96,"Gracias por visitarme, $n. Me complace saber que no se nos ha olvidado."
97,"Gracias por visitarme, $n. Me complace saber que no se nos ha olvidado."
98,"""Requirió mucho tiempo traducir el texto del gran jefe. Lo que encontré me dejó consternado. El Gran Jefe Nevada estaba extremadamente paranoico en estos últimos días, hasta el punto de volverse adicto a una sustancia que él llamaba """"aguardiente."""" Él creía que todas las criaturas eran sus enemigas. Bien, dejaré que lo leas tú $gmismo:misma;. De hecho, he incluido en esta carta una traducción de sus palabras. Si necesitas ayuda, no dudes en volver a visitarme""."
99,"¡Gracias por renovar tu afiliación en la Hermandad de Ingeniería Mecánica, $gasociado:asociada;! Nos complace enormemente tenerte como miembro activo. Acepta este obsequio como muestra de nuestro aprecio, por las maravillosas contribuciones que continúas realizando al mundo de la ingeniería gnómica."
100,"¡Gracias por renovar tu afiliación en la Hermandad de Ingeniería Mecánica, $gasociado:asociada;! Nos complace enormemente tenerte como miembro activo. Acepta este obsequio como muestra de nuestro aprecio, por las maravillosas contribuciones que continúas realizando al mundo de la ingeniería gnómica."
