ID,Text_lang
1,[SERVIDOR] Desconexión en %s
2,[SERVIDOR] Reinicio en %s
3,%s
4,[SERVIDOR] Desconexión cancelada
5,[SERVIDOR] Reinicio cancelado
6,[SERVIDOR] Desconexión de campo de batalla en %s
7,[SERVIDOR] Reinicio de campo de batalla en %s
8,[SERVIDOR] Desconexión de estancia en %s
9,[SERVIDOR] Reinicio de estancia en %s
10,¡El contenido de Cataclysm ya está disponible! ¡Sal del juego completamente y reinicia World of Warcraft para disfrutar de la experiencia épica!
11,Responderemos tu consulta lo antes posible.
12,Tiempo de espera no disponible.
13,"Tiempo de espera medio por consulta:
 %s"
14,¡Mists of Pandaria ya está aquí!
15,¡Mists of Pandaria ya está aquí! ¡Ve a Orgrimmar para comenzar tu aventura!
16,¡Mists of Pandaria ya está aquí! ¡Ve a Ventormenta para comenzar tu aventura!
17,[SERVIDOR] Desconexión entre reinos en %s
18,[SERVIDOR] Reinicio entre reinos en %s
20,¡Warlords of Draenor ya está aquí! ¡Ve a Las Tierras Devastadas para comenzar tu aventura!
21,¡Warlords of Draenor ya está aquí!
124,DEPURAR: Encuentro %s
