SourceText_lang,ID,CostItemID,CurrencyID,OrderIndex,ItemBonusSeasonID,FragmentItemID,FragmentsEarnedTrackingCurrencyID
"Se obtiene de:|n - Mazmorras míticas de Dragonflight por debajo del nivel 6|n - Jefes de Aberrus en dificultad buscador de bandas|n - Misiones del mundo, tesoros y actividades en la Caverna Zaralek",9,204193,0,1,3,204075,2409
Se obtiene de:|n - Mazmorras míticas de Dragonflight entre los niveles 6 y 10|n - Jefes de Aberrus en dificultad normal|n - Actividades semanales específicas en la Caverna Zaralek,10,204195,0,2,3,204076,2410
Se obtiene de:|n - Jefes de Aberrus en dificultad heroica|n - Mazmorras míticas de Dragonflight entre los niveles 11 y 15,11,204196,0,3,3,204077,2411
Se obtiene de:|n - Jefes de Aberrus en dificultad mítica|n - Mazmorras míticas de Dragonflight por encima del nivel 16,12,204194,0,4,3,204078,2412
,14,0,2706,1,7,0,0
,15,0,2707,2,7,0,0
,16,0,2708,3,7,0,0
,17,0,2709,4,7,0,0
,18,0,2806,1,8,0,0
,19,0,2807,2,8,0,0
,20,0,2809,3,8,0,0
,21,0,2812,4,8,0,0
