ID,Title_lang,BodyText_lang,JournalEncounterID,OrderIndex,ParentSectionID,FirstChildSectionID,NextSiblingSectionID,Type,IconCreatureDisplayInfoID,UiModelSceneID,SpellID,IconFileDataID,Flags,IconFlags,DifficultyMask
816,Pisotón poderoso,"Throngus da un pisotón contra el suelo, lo que activa Derrumbamiento en los muros de Grim Batol. Throngus no lanzará Pisotón poderoso si tiene equipado su escudo.",132,1,0,0,817,2,0,0,0,132368,0,0,-1
817,Derrumbamiento,"Después de que el Pisotón poderoso de Throngus debilite los muros de Grim Batol, empiezan a caer trozos de piedra encima de un jugador aleatorio en un radio de $74986A1 m. Los jugadores que permanezcan en esa área recibirán $74986s1 p. de daño físico por segundo.",132,2,0,0,818,2,0,0,0,132153,0,0,-1
818,Elegir arma,"Throngus dispone de varias armas temibles. Periódicamente, durante el encuentro elige aleatoriamente entre un escudo sólido, un par de espadas o una maza castigadora. El arma elegida le otorga nuevas facultades durante un corto periodo del encuentro.",132,3,0,0,819,1,0,0,0,134400,0,0,-1
819,Facultades con escudo,,132,4,0,820,823,0,0,0,0,0,1,0,-1
820,Falange personal,Throngus apunta su escudo de forma aleatoria hacia un objetivo nuevo cada 10 s. El daño que le inflige un jugador que permanezca frente al escudo se reduce un $74909s1%.,132,5,819,0,821,2,0,0,0,331053,0,2,-1
821,Flecha llameante,"Cuando Throngus tiene equipado su escudo, los arqueros lanzan constantemente flechas llameantes de fuego desde las ventanas altas a jugadores aleatorios. El jugador al que golpee una flecha recibe $74944s1 p. de daño de Fuego.",132,6,819,0,822,2,0,0,0,132312,0,0,-1
822,Escudo flameante,El escudo de Throngus dispara un cono de Fuego de 60 grados que inflige $90830s1 p. de daño de Fuego por segundo a todos los enemigos envueltos en las llamas.,132,7,819,0,0,2,0,0,0,134982,2,8,14
823,Facultades con espadas,,132,8,0,824,828,0,0,0,0,0,1,0,-1
824,Hojas dobles,"Throngus empuña una espada llameante en cada mano, lo que le otorga la facultad de atacar a la vez con las dos armas. Su daño cuerpo a cuerpo se reduce un $74981s3% en ese momento.",132,9,823,0,825,2,0,0,0,132147,0,0,-1
825,Vapulear,"A veces, Throngus ataca dos veces extra cuando blande sus espadas.",132,10,823,0,826,2,0,0,0,132152,0,0,-1
