OverrideName_lang,OverrideSubtext_lang,OverrideDescription_lang,ID,SpellID,OverrideIcon,OverridesSpellID,VisibleSpellID
,,,10579,0,135936,0,0
,,,10612,0,135936,0,0
,,,10644,0,135936,0,0
,,,10647,263716,0,0,0
,,,10650,0,135936,0,0
,,,10687,373455,0,0,0
,,,10700,0,135936,0,0
,,,10705,0,135936,0,0
,,,11049,205636,0,0,0
,,,11149,155675,0,0,0
,,La multifabricación te otorga hasta un $ev1% de pociones adicionales.,24833,0,0,0,0
,,+$ev1 p. de $en1 al fabricar pociones.,24834,0,0,0,0
,,¿Aprender $@spellname370668?,24835,370668,0,0,0
,,+$ev1% de $en1 al hacer pociones.,24836,0,0,0,0
,,+$ev1 p. de $en1 al fabricar pociones.,24837,0,0,0,0
Producción en lotes,,"Dominas el arte de producir pociones de forma más eficiente, lo que te otorga +$ev1 p. de $en1 por cada punto en esta especialización.",24838,0,4624378,0,0
,,"Aprendes $@spellname370745, lo que te permite producir pociones de mejor calidad y aumenta la probabilidad de descubrir nuevas recetas.",24839,370745,0,0,0
,,Aumenta un 5% la probabilidad de descubrimiento de experimentación con pociones.,24840,0,0,0,0
,,"Cada vez que consigues un gran descubrimiento con experimentación con pociones, obtienes +20 p. de inspiración durante 4 horas para todas tus creaciones alquímicas.",24841,0,0,0,0
,,Aumenta un 5% la probabilidad de descubrimiento de experimentación con pociones.,24842,0,0,0,0
,,Aumenta un 10% la probabilidad de descubrimiento de experimentación con pociones.,24843,0,0,0,0
Experimentación con pociones,,Obtienes un mejor conocimiento de tus componentes para mejorar las probabilidades de que tus experimentos den resultados satisfactorios. Aumenta un 1% la probabilidad de descubrimiento de experimentación con pociones por cada punto en esta especialización.,24844,0,4624379,0,0
,,Aprendes a fabricar y usar la $@spellname370735 como componente de finalización para mejorar tu habilidad al fabricar calderas de pociones y piedras de alquimista de prontitud.,24845,370735,0,0,0
,,Aprendes la última subespecialización.,24846,0,0,0,0
,,+$ev1 p. de $en1 al fabricar pociones.,24847,0,0,0,0
,,Aprendes la subespecialización que tú elijas.,24848,0,0,0,0
,,+$ev1 p. de $en1 al fabricar pociones.,24849,0,0,0,0
,,+$ev1 p. de $en1 al fabricar pociones.,24850,0,0,0,0
Saber de pociones,,"Profundizas en los misterios de las pociones y las piedras de alquimista relacionadas, lo que te otorga +$ev1 $en1 por cada punto en esta especialización.",24851,0,4624657,0,0
,,Aprendes a fabricar y usar la $@spellname370735 como componente de finalización para mejorar tu habilidad al fabricar pociones formuladas con Aire.,24852,370735,0,0,0
,,+$ev1 p. de $en1 al fabricar pociones formuladas con Aire.,24853,0,0,0,0
,,+$ev1 p. de $en1 al fabricar pociones formuladas con Aire.,24854,0,0,0,0
,,Aumenta la velocidad de movimiento que obtienes al consumir pociones de las Islas Dragón.,24855,0,0,0,0
,,+$ev1 p. de $en1 al fabricar pociones formuladas con Aire.,24856,0,0,0,0
,,+$ev1 p. de $en1 al fabricar pociones formuladas con Aire.,24857,0,0,0,0
,,"Al consumir una poción de las Islas Dragón, aumentará brevemente tu velocidad de movimiento.",24858,0,0,0,0
Pociones formuladas con Aire,,"Mejoras en la fabricación de pociones que incluyen Aire reanimador o despierto como componente base, lo que te otorga +$ev1 p. de $en1 por cada punto en esta especialización.",24859,0,4497566,0,0
,,Aprendes a fabricar y usar la $@spellname370735 como componente de finalización para mejorar tu habilidad al fabricar pociones formuladas con Escarcha.,24860,370735,0,0,0
,,+$ev1 p. de $en1 al fabricar pociones formuladas con Escarcha.,24861,0,0,0,0
,,+$ev1 p. de $en1 al fabricar pociones formuladas con Escarcha.,24862,0,0,0,0
,,Aumenta la sanación que obtienes al consumir pociones de las Islas Dragón.,24863,0,0,0,0
,,+$ev1 p. de $en1 al fabricar pociones formuladas con Escarcha.,24864,0,0,0,0
