ID,Name_lang,Description_lang,DescriptionShort_lang,Icon,Order,ChrRacesID
1,Voluntad de los Renegados,"Puede eliminar miedo, sueño y embelesamiento.","Elimina los efectos de embelesamiento, miedo y sueño",136187,0,5
2,Canibalismo,Puede consumir cadáveres para recuperar salud y maná.,Consume cadáveres para recuperar salud y maná,132278,1,5
3,Toque de la tumba,Puede drenar salud de los enemigos.,Drena salud de los enemigos,136157,2,5
4,Resistencia a las Sombras,Resistencia al daño de las Sombras.,Resistencia al daño de las Sombras,136152,3,5
5,El espíritu humano,"Celeridad, golpe crítico, maestría y versatilidad aumentados.","Celeridad, golpe crítico, maestría y versatilidad aumentados",132874,0,1
6,"Como en casa, en ningún sitio",Bonus a la eficacia de la piedra de hogar,Bonus a la eficacia de la piedra de hogar,134328,1,1
7,Sálvese quien pueda,Puede escapar a los efectos de aturdimiento.,Escapa a los efectos de aturdimiento,136129,2,1
8,Forma de piedra,Puede adoptar la consistencia de una piedra.,Puede adoptar la consistencia de una piedra,136225,0,3
9,Poderío de la montaña,Efecto de golpes críticos aumentado.,Efecto de golpes críticos aumentado,133042,1,3
10,Resistencia a la Escarcha,Resistencia al daño de Escarcha.,Resistencia al daño de Escarcha,135865,2,3
11,Expedicionario,Encuentra fragmentos de arqueología adicionales y estudia más rápido.,Encuentra más fragmentos de arqueología y estudia más rápido,237387,3,3
98,Historia antigua,Aumenta la habilidad en inscripción.,Habilidad en inscripción aumentada,1723985,4,27
99,Afinidad mágica,Aumenta el daño mágico.,Daño mágico aumentado,1723986,2,27
100,Sortilegios,Invoca un libro volador que funciona como buzón.,Invoca un libro volador que funciona como buzón,1723988,1,27
101,Abrazo entrópico,Tus facultades tienen una probabilidad de potenciarte con la esencia del Vacío.,Potenciado por el Vacío,1723992,1,29
102,Conexión etérea,Reduce el coste de la transfiguración.,Coste de transfiguración reducido,1723993,3,29
103,Calma sobrenatural,Tus lanzamientos de hechizos no se retrasan al recibir daño.,Los lanzamientos de hechizos no se retrasan al recibir daño,1724001,2,29
104,Escalofrío de la noche,Resistencia al daño de las Sombras.,Resistencia al daño de las Sombras,1723989,4,29
105,Falla espacial,Abre una falla espacial y te teletransporta a tu destino.,Se teletransporta a través de una falla espacial,1724004,0,29
106,Resistencia a lo Arcano,Resistencia al daño Arcano.,Resistencia al daño Arcano,1723997,3,27
107,Pulso Arcano,Inflige daño y frena a los enemigos cercanos.,Inflige daño y frena a los enemigos cercanos,1851463,0,27
108,Embestida astada,Carga hacia delante y derriba a los enemigos.,Carga hacia delante y derriba a los enemigos,1723987,0,28
109,Orgullo de Cuerno Férreo,Aumenta la habilidad en minería y su velocidad.,Velocidad y habilidad en minería aumentadas,1724002,4,28
110,"Quien guarda, siempre tiene",Probabilidad de recoger más carne y pescado.,Probabilidad de recoger más carne y pescado,1724005,3,28
111,Montaraz,Aumenta la versatilidad.,Versatilidad aumentada,1723999,2,28
112,Tenacidad basta,Reduce el daño de los ataques recibidos.,Reduce el daño de los ataques recibidos,1724003,1,28
113,Sentencia de la Luz,Inflige daño Sagrado poderoso en un área.,Inflige daño Sagrado poderoso en un área,1724000,0,30
114,Resistencia Sagrada,Reduce el daño Sagrado recibido.,Resistencia al daño Sagrado,1723996,2,30
115,Expiación de la Luz,"Entra en erupción al morir, lo que inflige daño Sagrado a los enemigos cercanos y sana a los aliados cercanos.","Entra en erupción al morir, lo que inflige daño a los enemigos cercanos y sana a los aliados cercanos",1723994,1,30
116,Forja de Luz,Aumenta la habilidad en herrería y te permite invocar un yunque.,Habilidad en herrería aumentada y puede invocar una forja,1723995,3,30
117,Ruina demoníaca,Experiencia aumentada al matar demonios.,Experiencia aumentada al matar demonios,1723990,4,30
118,Sangrardiente,Elimina los efectos dañinos y te potencia.,Elimina los efectos dañinos y te potencia,1786406,0,34
119,Explorador de mazmorras,Te mueves más rápido en interiores.,Te mueves más rápido en interiores,1786405,1,34
120,Fabricación en masa,Habilidad en herrería aumentada; los productos de herrería se crean más rápido.,Habilidad en herrería aumentada y los productos se crean más rápido,1786408,2,34
121,Máquina topo,"En exteriores, invocas una máquina topo que abre túneles en el suelo.",Invocas una máquina topo para atravesar el suelo,1786409,3,34
122,Forjado en llamas,Reduce el daño físico recibido.,Reduce el daño físico recibido,1786407,4,34
123,Llamada ancestral,"Invoca el poder de tus ancestros, lo que te otorga ese poder a ti.","Invoca a tus ancestros, lo que te otorga su poder",2021574,0,36
124,Cielos despejados,Monturas más veloces en exteriores.,Monturas más veloces en exteriores,2021575,1,36
125,Vigor compasivo,Salud de las mascotas aumentada.,Salud de las mascotas aumentada,2021577,2,36
126,Sangre salvaje,"Reduce la duración de todos los venenos, enfermedades y maldiciones que sufras.","Reduce la duración de todos los venenos, enfermedades y maldiciones",2021576,3,36
127,Regenerando,Te concentras para sanarte rápidamente durante un breve período.,Te concentras para sanarte rápidamente durante un breve período,1850550,0,31
128,Abrazo de los loa,Le suplicas a un loa y gracias a ello obtienes uno de seis poderosos favores.,Le suplicas a un loa y gracias a ello obtienes uno de seis poderosos favores,1850548,1,31
129,La ciudad de oro,Obtienes más oro de las criaturas.,Obtienes más oro de las criaturas,1850547,2,31
130,Descenso de pterrordáctilo,Invoca un pterrordáctilo para reducir tu velocidad de caída.,Invoca un pterrordáctilo para reducir tu velocidad de caída,1850549,3,31
131,Gancho,"Aplastas a tu oponente, lo que lo aturde y lo repele.","Aplastas a tu oponente, lo que lo aturde y lo repele",2447782,0,32
132,Factótum,Todas las habilidades comerciales aumentadas.,Habilidad en todas las profesiones aumentada,2447783,1,32
133,Balada del viejo marinero,Resistencia al daño de Escarcha y de Naturaleza.,Resistencia al daño de Escarcha y de Naturaleza,2447784,2,32
134,Hijos del mar,Nadas más rápido y aguantas más tiempo bajo el agua.,Nadas más rápido y aguantas más tiempo bajo el agua,2447781,3,32
135,Desestimación,Aumenta la versatilidad y sana una parte del daño que recibes.,Aumenta la versatilidad y sana una parte del daño que recibes,2447780,4,32
144,Haz originador de luz orgánica,Invocas copias para distraer a tus enemigos.,Invocas copias para confundir a tus enemigos,3192686,0,37
145,Maestría total,Funcionas como una estación de fabricación personal.,Funcionas como una estación de fabricación personal,3192687,2,37
146,Análisis de combate,Obtienes poder de forma gradual mientras analizas a un enemigo en combate.,Aumenta la fuerza a medida que luchas contra un enemigo,3192685,1,37
147,Meñique esquelético,Capaz de forzar cerraduras.,Capaz de forzar cerraduras,3192689,3,37
148,Protección de emergencia,Te sanas de forma automática cuando recibes heridas muy graves.,Te sanas automáticamente cuando sufres heridas graves,3192688,4,37
149,Bolsa de trucos / Hurgar en la bolsa,Usas un truco para infligir daño a un enemigo o sanar a un aliado. Recoge diferentes tipos de trucos por el mundo.,Usas un truco para infligir daño a un enemigo o ayudar a un aliado,3193416,0,35
150,Acampar / Volver al campamento,"Colocas un campamento amistoso en el mundo, con la opción de regresar a él más adelante.",Elige un lugar en el mundo donde montar tu campamento,3193418,1,35
