ID,Name_lang,TypeID,Parent_group_ID,Order_index
1,Mazmorra clásica,1,0,114
2,Burning Crusade normal,1,0,113
3,Burning Crusade heroica,1,0,112
4,Wrath of the Lich King normal,1,0,111
5,Wrath of the Lich King heroica,1,0,110
6,Banda clásica,2,0,522
7,Banda de Burning Crusade,2,0,521
8,Banda de Wrath of the Lich King (10),2,0,520
9,Banda de Wrath of the Lich King (25),2,0,519
11,Eventos del mundo,0,0,10
12,Cataclysm heroica,1,0,108
13,Cataclysm normal,1,0,109
14,Banda de Cataclysm (25),2,0,517
15,Banda de Cataclysm (10),2,0,518
20,Campo de batalla puntuado,2,0,1024
33,Hora del Crepúsculo heroica,1,0,107
36,Mists of Pandaria heroica,1,0,105
37,Mists of Pandaria normal,1,0,106
38,Gestas,1,0,1025
40,Banda de Mists of Pandaria (25),2,0,516
41,Banda de Mists of Pandaria (10),2,0,515
43,Gestas heroicas,1,0,1026
44,Paseo en el tiempo,0,0,1027
45,Banda de Mists of Pandaria (flexible),2,0,514
46,Jefe de mundo de Mists of Pandaria,2,0,513
47,Warlords of Draenor normal,1,0,104
48,Warlords of Draenor heroica,1,0,103
49,Banda de Warlords of Draenor (normal),2,0,510
50,Banda de Warlords of Draenor (heroica),2,0,511
51,Banda de Warlords of Draenor (mítica),2,0,512
52,Legion heroica,1,0,102
53,Legion normal,1,0,101
54,Banda de Legion (normal),2,0,507
55,Banda de Legion (heroica),2,0,508
56,Banda de Legion (mítica),2,0,509
57,Battle for Azeroth normal,1,0,99
58,Battle for Azeroth heroica,1,0,100
159,Banda de Battle for Azeroth (normal),2,0,510
160,Banda de Battle for Azeroth (heroica),2,0,511
161,Banda de Battle for Azeroth (mítica),2,0,512
162,Battle for Azeroth mítica,1,0,101
163,Mítica de Shadowlands,1,0,98
164,Heroica de Shadowlands,1,0,97
165,Normal de Shadowlands,1,0,96
166,Confín del Exilio,1,0,115
167,Banda de Shadowlands (mítica),2,0,95
168,Banda de Shadowlands (heroica),2,0,94
169,Banda de Shadowlands (normal),2,0,93
170,Mítica de Dragonflight,1,0,92
171,Heroica de Dragonflight,1,0,91
172,Normal de Dragonflight,1,0,90
173,Seguidor de Dragonflight,1,0,90
177,The War Within normal,1,0,87
178,The War Within heroica,1,0,88
180,Seguidor de Mists of Pandaria,1,0,106
182,Mazmorras de asalto temporal,0,0,1028
183,Mazmorras heroicas de asalto temporal,0,0,1029
184,Gestas de asalto temporal,1,0,1030
185,Gestas heroicas de asalto temporal,1,0,1031
186,Heroica de The War Within: Temporada 1,1,0,89
192,Heroica de The War Within: Temporada 2,1,0,89
194,Heroica de The War Within: Temporada 3,1,0,89
196,Bandas de asalto temporal,2,0,1032
