ID,InfoName_lang,Type,Modifiers,Profession
1,Élite,0,2,0
21,Clase,0,0,0
41,JcJ,0,0,0
62,Banda,0,0,0
81,Mazmorra,0,0,0
82,Evento del mundo,0,0,0
83,Legendaria,0,0,0
84,Escolta,0,0,0
85,Heroica,0,0,0
88,Banda (10),0,0,0
89,Banda (25),0,0,0
98,Gesta,0,0,0
104,Side Quest,0,0,0
107,Artefacto,0,0,0
109,Misión del mundo,2,256,0
110,Misión del mundo épica,2,268,0
111,Misión del mundo élite,2,258,0
112,Misión del mundo épica de élite,2,334,0
113,Misión del mundo de JcJ,3,256,0
114,Misión del mundo de primeros auxilios,1,256,129
115,Misión del mundo de mascotas de duelo,4,256,0
116,Misión del mundo de herrería,1,256,164
117,Misión del mundo de peletería,1,256,165
118,Misión del mundo de alquimia,1,256,171
119,Misión del mundo de herboristería,1,256,182
120,Misión del mundo de minería,1,256,186
121,Misión del mundo de sastrería,1,256,197
122,Misión del mundo de ingeniería,1,256,202
123,Misión del mundo de encantamiento,1,256,333
124,Misión del mundo de desuello,1,256,393
125,Misión del mundo de joyería,1,256,755
126,Misión del mundo de inscripción,1,256,773
128,Misión de emisario,5,272,0
129,Misión del mundo de arqueología,1,256,794
130,Misión del mundo de pesca,1,256,356
131,Misión del mundo de cocina,1,256,185
135,Misión del mundo poco común,2,257,0
136,Misión del mundo élite poco común,2,267,0
137,Misión del mundo de mazmorra,6,267,0
139,Misión del mundo de la invasión de la Legión,7,296,0
140,Recompensa puntuada,3,272,0
141,Misión del mundo de banda,8,266,0
142,Misión del mundo élite de la invasión de la Legión,7,266,0
143,Contribución al Ocaso de la Legión,9,272,0
144,Misión del mundo del Ocaso de la Legión,2,334,0
145,Misión del mundo de mazmorra del Ocaso de la Legión,6,331,0
146,Legion Invasion World Quest Wrapper,11,0,0
147,Frente de guerra: Los Baldíos,0,0,0
148,Hurto,0,0,0
151,Misión del mundo de Magni - Azerita,2,256,0
152,Tortollan World Quest - 8.0,2,256,0
153,Contribución al frente de guerra,9,272,0
254,Misión de isla,0,0,0
255,Modo guerra JcJ,0,0,0
256,Conquista JcJ,10,272,0
259,Misión del mundo de asalto de facción,12,360,0
260,Misión del mundo élite de asalto de facción,12,330,0
261,Misión semanal de isla,13,144,0
263,Misión pública,0,16,0
264,Objetivo de amenaza,5,272,0
265,Misión oculta,5,272,0
266,Misión de aliado de combate,0,0,0
267,Profesiones,0,0,0
268,Progreso de amenaza,14,272,0
270,Misión de emisario de amenaza,14,272,0
271,Misión de convocatoria,15,0,0
272,Misión de grupo venthyr,2,448,0
273,Rastreador de engendros de almas de Las Fauces,5,272,0
278,Misión del mundo élite JcJ,3,258,0
279,Tarea de enviado del Confín Olvidado,9,0,0
281,Carreras de jinetes de dragones,16,0,0
282,Misión importante,0,1024,0
283,Objetivo de bonificación con brindis de finalización,0,512,0
284,Metamisión,0,2048,0
286,Misión del mundo hito,17,266,0
287,Bloqueador de hito,5,272,0
288,Profundidad,0,0,0
289,Jefe del mundo,18,334,0
291,Oculto,0,272,0
292,Misión importante (no abandonar),0,1280,0
