ID,ClassSpec_lang,ClassSpec_Male_lang,ClassSpec_Female_lang,UiTextureAtlasMemberID,GarrFollItemSetID,FollowerClassLimit,Flags
2,Caballero de la Muerte Sangre,Caballero de la Muerte Sangre,Caballero de la Muerte Sangre,3487,6,0,0
3,Caballero de la Muerte Escarcha,Caballero de la Muerte Escarcha,Caballero de la Muerte Escarcha,3487,7,0,0
4,Caballero de la Muerte Profano,Caballero de la Muerte Profano,Caballero de la Muerte Profano,3487,8,0,0
5,Druida Equilibrio,Druida Equilibrio,Druida Equilibrio,3485,9,0,0
7,Druida Feral,Druida Feral,Druida Feral,3485,10,0,0
8,Druida Guardián,Druida Guardián,Druida Guardiana,3485,11,0,0
9,Druida Restauración,Druida Restauración,Druida Restauración,3485,12,0,0
10,Cazador Bestias,Cazador Bestias,Cazadora Bestias,3477,13,0,0
12,Cazador Puntería,Cazador Puntería,Cazadora Puntería,3477,14,0,0
13,Cazador Supervivencia,Cazador Supervivencia,Cazadora Supervivencia,3477,15,0,0
14,Mago Arcano,Mago Arcano,Maga Arcano,3482,16,0,0
15,Mago Fuego,Mago Fuego,Maga Fuego,3482,17,0,0
16,Mago Escarcha,Mago Escarcha,Maga Escarcha,3482,18,0,0
17,Monje Maestro cervecero,Monje Maestro cervecero,Monje Maestra cervecera,3480,19,0,0
18,Monje Tejedor de niebla,Monje Tejedor de niebla,Monje Tejedora de niebla,3480,20,0,0
19,Monje Viajero del viento,Monje Viajero del viento,Monje Viajera del viento,3480,21,0,0
20,Paladín Sagrado,Paladín Sagrado,Paladín Sagrado,3486,22,0,0
21,Paladín Protección,Paladín Protección,Paladín Protección,3486,23,0,0
22,Paladín Reprensión,Paladín Reprensión,Paladín Reprensión,3486,24,0,0
23,Sacerdote Disciplina,Sacerdote Disciplina,Sacerdotisa Disciplina,3479,25,0,0
24,Sacerdote Sagrado,Sacerdote Sagrado,Sacerdotisa Sagrado,3479,26,0,0
25,Sacerdote Sombra,Sacerdote Sombra,Sacerdotisa Sombra,3479,27,0,0
26,Pícaro Asesinato,Pícaro Asesinato,Pícara Asesinato,3481,28,0,0
27,Pícaro Combate,Pícaro Combate,Pícara Combate,3481,29,0,0
28,Pícaro Sutileza,Pícaro Sutileza,Pícara Sutileza,3481,30,0,0
