Name_lang,Description_lang,ID,StoreFrontID,AccountStoreCategoryID,OrderIndex,Price,CurrencyTypesID,Field_11_0_7_57361_008,RefundDuration,Field_11_0_7_57361_010,Field_11_0_7_57361_011,SpellID,TransmogSetID,CreatureDisplayInfoID,UiModelSceneID,Icon
Feliz,"|cFF00ccffMascota de The War Within|r|n|cFF1eff00Mascota de Plunderstorm|r|n|nDesbloquea la mascota Feliz. En Plunderstorm, Da'kash Librosombrío puede invocar a tu mascota para ti.|n|n""Le encanta estar aquí"".",1,1,1,10,250,3139,0,14400,0,0,439475,0,118654,0,0
Pompas,"|cFF00ccffMascota de The War Within|r|n|cFF1eff00Mascota de Plunderstorm|r|n|nDesbloquea la mascota Pompas. En Plunderstorm, Da'kash Librosombrío puede invocar a tu mascota para ti.|n|n""¡Te ha seguido a casa!"".|n|n|cFFFFFFFFMascota de bonificación: Tenacitas|r|n|n|CFFa335eeMascota de Classic|r|n|nDesbloquea la mascota Tenacitas el saqueador en Cataclysm: Classic.|n|n""¡Cuidado, que pincha!"".",2,1,1,20,500,3139,0,0,0,0,439477,0,118078,0,0
Petrogilito,"|cFF00ccffMascota de The War Within|r|n|cFF1eff00Mascota de Plunderstorm|r|n|nDesbloquea la mascota Petrogilito. En Plunderstorm, Da'kash Librosombrío puede invocar a tu mascota para ti.|n|n""También le chifla el botín"".",3,1,1,30,1000,3139,0,14400,0,0,439478,0,118606,0,0
Crujechispa,"|cFF00ccffMascota de The War Within|r
|cFF1eff00Mascota de Plunderstorm|r

Desbloquea la mascota Crujechispa. En Plunderstorm, Da'kash Librosombrío puede invocar a tu mascota para ti.

""Lo de hacer crujir cualquier cosa que brille es un estilo de vida"".",4,1,1,40,2000,3139,0,14400,4,0,0,0,124130,0,0
Semental de mareas plateado,"|cFF00ccffMontura de The War Within|r|n|nDesbloquea la montura submarina semental de mareas plateado.|n|n""Huele a gambas"".",5,1,2,10,1500,3139,0,14400,0,0,437516,0,92255,965,0
Plumamar real,"|cFF00ccffMontura de The War Within|r|n|nDesbloquea la montura voladora plumamar real.|n|n""Con la cantidad de botín que tienes, sería un crimen no tener un loro gigante"".",6,1,2,20,5000,3139,0,14400,0,0,437517,0,117981,80,0
"Polly, el loro pirata","|cFF00ccffMontura de The War Within|r|n|nDesbloquea la montura de jinete de dragones Polly, el loro pirata.|n|n""El capitán te ha regalado su propio y temperamental loro gigante. ¡Buena suerte!"".|n|n|cFFFFFFFFMontura de bonificación: Polly, el loro pirata|r|n|n|CFFa335eeMontura de Classic|r|n|nDesbloquea la montura voladora Polly, el loro pirata en Cataclysm: Classic.",7,1,2,30,5000,3139,0,0,0,0,437164,0,117262,80,0
Crocolisco de medianoche de Adalid del Botín,"|cFF00ccffMontura de The War Within|r|n|nDesbloquea la montura crocolisco de medianoche de Adalid del Botín.|n|n""Una lujosa silla de montar hecha de cuero oscuro de gran calidad"".",8,1,2,40,5000,3139,0,14400,4,0,0,0,121170,80,0
Tregua,"|cFF00ccffMascota de The War Within|r|n|n|cFF1eff00Mascota de Plunderstorm|r Desbloquea la mascota Tregua. En Plunderstorm, Da'kash Librosombrío puede invocar a tu mascota para ti.|n|n""Irónicamente, negociar se le da fatal"".",9,1,1,50,2000,3139,0,14400,4,0,0,0,124174,0,0
Daga letal,"|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de daga letal. Habla con Da'kash Librosombrío para cambiar apariencias en Plunderstorm.|n|n""Ahora perteneces a la Tripulación de Patabarril, grumete. Aquí tienes tu daga. ¡A saquear!"".",10,1,4,10,250,3139,0,14400,1,0,439389,3468,0,0,0
Sable de acero negro,"|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de sable de acero negro. Habla con Da'kash Librosombrío para cambiar apariencias en Plunderstorm.|n|n""Forjado para abordajes abrumadores"".",11,1,4,20,250,3139,0,14400,1,0,439391,3470,0,0,0
Cuchilla de hierro sangrienta,"|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de cuchilla de hierro sangrienta. Habla con Da'kash Librosombrío para cambiar apariencias en Plunderstorm.|n|n""¡Un hacha sangrienta para piratas sanguinarios!"".",12,1,4,30,250,3139,0,14400,1,0,439392,3471,0,0,0
Mandoble calcificado,"|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de mandoble calcificado. Habla con Da'kash Librosombrío para cambiar apariencias en Plunderstorm.|n|n""Una espada es como una daga, pero más grande"".",13,1,4,40,250,3139,0,14400,1,0,439390,3469,0,0,0
Pala de grumete,"|cFF00ccffApariencia de The War Within|r|n|n|cFF1eff00Apariencia de Plunderstorm|r Desbloquea la apariencia de pala de grumete. Habla con Da'kash Librosombrío para cambiar apariencias en Plunderstorm.|n|n""¿Tienes el arma o cavas?"".",14,1,4,50,1000,3139,0,14400,5,0,0,4154,0,0,0
Remo de grumete,"|cFF00ccffApariencia de The War Within|r|n|n|cFF1eff00Apariencia de Plunderstorm|r Desbloquea la apariencia de remo de grumete. Habla con Da'kash Librosombrío para cambiar apariencias en Plunderstorm.|n|n""Ante cualquier problema, golpe de remo"".",15,1,4,60,1000,3139,0,14400,5,0,0,4155,0,0,0
Rebanacuellos de Adalid del Botín,"|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de rebanacuellos de Adalid del Botín. Habla con Da'kash Librosombrío para cambiar apariencias en Plunderstorm.|n|n""Una herramienta necesaria en el arsenal de todo señor de los piratas"".",16,1,4,70,1000,3139,0,14400,1,0,439386,3466,0,0,0
Estoque refinado de Adalid del Botín,"|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de estoque refinado de Adalid del Botín. Habla con Da'kash Librosombrío para cambiar apariencias en Plunderstorm.|n|n""Para apuñalar"".",17,1,4,80,1000,3139,0,14400,1,0,439383,3464,0,0,0
Alfanje de plata de Adalid del Botín,"|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de alfanje de plata de Adalid del Botín. Habla con Da'kash Librosombrío para cambiar apariencias en Plunderstorm.|n|n""Brilla radiante al sol cuando lo levantas"".",18,1,4,90,1000,3139,0,14400,1,0,439384,3465,0,0,0
Sigilo dorado de Adalid del Botín,"|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de sigilo dorado de Adalid del Botín. Habla con Da'kash Librosombrío para cambiar apariencias en Plunderstorm.|n|n""¡Alza el bastón de Adalid del Botín y que empiece el saqueo!"".",19,1,4,100,1000,3139,0,14400,1,0,439382,3463,0,0,0
Rebanacuellos tormentoso de Adalid del Botín,|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de rebanacuellos tormentoso de Adalid del Botín. Habla con Da'kash Librosombrío para cambiar apariencias en Plunderstorm.,20,1,4,110,1500,3139,0,14400,5,0,0,4157,0,0,0
Estoque tormentoso de Adalid del Botín,|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de estoque tormentoso de Adalid del Botín. Habla con Da'kash Librosombrío para cambiar apariencias en Plunderstorm.,21,1,4,120,1500,3139,0,14400,5,0,0,4158,0,0,0
Alfanje tormentoso de Adalid del Botín,|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de alfanje tormentoso de Adalid del Botín. Habla con Da'kash Librosombrío para cambiar apariencias en Plunderstorm.,22,1,4,130,1500,3139,0,14400,5,0,0,4159,0,0,0
Sigilo tormentoso de Adalid del Botín,|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de sigilo tormentoso de Adalid del Botín. Habla con Da'kash Librosombrío para cambiar apariencias en Plunderstorm.,23,1,4,140,1500,3139,0,14400,5,0,0,4160,0,0,0
Cañón de cobre,"|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de cañón de cobre. Habla con Da'kash Librosombrío para cambiar apariencias en Plunderstorm.|n|n""Saquear es más fácil con un cañón a tu lado"".",24,1,3,10,250,3139,0,14400,1,0,439393,3472,0,0,0
Multidisparo maravilloso,"|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de multidisparo maravilloso. Habla con Da'kash Librosombrío para cambiar apariencias en Plunderstorm.|n|n""Apunta lejos de la cara"".",25,1,3,20,500,3139,0,14400,1,0,439394,3473,0,0,0
Cañón de mano de Adalid del Botín,"|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de cañón de mano de Adalid del Botín. Habla con Da'kash Librosombrío para cambiar apariencias en Plunderstorm.|n|n""Huele a oro y a pólvora"".",26,1,3,30,1000,3139,0,14400,1,0,439388,3467,0,0,0
Culebrina tormentosa de Adalid del Botín,|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de culebrina tormentosa de Adalid del Botín. Habla con Da'kash Librosombrío para cambiar apariencias en Plunderstorm.,27,1,3,40,1500,3139,0,14400,5,0,0,4161,0,0,0
Gorro de lana cálido,"|cFF00ccffApariencia de The War Within|r|n|nDesbloquea la apariencia de gorro de lana cálido.""|n|n""Hasta el pirata más ardiente tiene frío de vez en cuando"".",28,1,7,10,250,3139,0,14400,1,0,439445,3484,0,0,0
Sombrero de capitán de la tormenta,"|cFF00ccffApariencia de The War Within|r|n|nDesbloquea la apariencia de sombrero de capitán de la tormenta.|n|n""¡Un sombrero excelente para capitanes en medio de la tormenta!"".",29,1,7,20,250,3139,0,14400,1,0,439446,3483,0,0,0
Gorro gallardo de contramaestre,"|cFF00ccffApariencia de The War Within|r|n|nDesbloquea la apariencia de gorro gallardo de contramaestre.|n|n""Bajo el gorro hay un espacio oculto para meter algo de pillaje"".",30,1,7,30,1000,3139,0,14400,5,0,0,4162,0,0,0
Casco gallardo de contramaestre,"|cFF00ccffApariencia de The War Within|r|n|nDesbloquea la apariencia de casco gallardo de contramaestre.|n|n""Un complemento elegante para dignificar la competición"".",31,1,7,40,1000,3139,0,14400,5,0,0,4163,0,0,0
Tricornio del almirantazgo de Adalid del Botín,"|cFF00ccffApariencia de The War Within|r
|cFF1eff00Apariencia de Plunderstorm|r

Desbloquea el tricornio del almirantazgo de Adalid del Botín. Forma parte del traje de grumete grandioso en Plunderstorm. Habla con Da'kash Librosombrío para cambiar de atuendo cuando hayas desbloqueado todas las apariencias de este conjunto.

""Un gran yelmo con plumas del tamaño justo para tu cabeza"".",32,1,8,10,250,3139,0,14400,1,0,439355,3454,0,0,0
Tricornio tormentoso de Adalid del Botín,|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de tricornio tormentoso de Adalid del Botín. Forma parte del traje de grumete tormentoso en Plunderstorm. Habla con Da'kash Librosombrío para cambiar de atuendo cuando hayas desbloqueado todas las apariencias de este conjunto.,33,1,9,10,1000,3139,0,14400,5,0,0,4164,0,0,0
Parche ocular antiguo de Adalid del Botín,"|cFF00ccffApariencia de The War Within|r|n|nDesbloquea la apariencia de parche ocular antiguo de Adalid del Botín.|n|n""Póntelo en la izquierda y lo harás todo a derechas"".",34,1,7,70,2000,3139,0,14400,5,0,0,4165,0,0,0
Sombrero antiguo de Adalid del Botín,"|cFF00ccffApariencia de The War Within|r|n|nDesbloquea la apariencia de sombrero antiguo de Adalid del Botín.|n|n""Hay que quitarse el sombrero ante el Adalid del Botín"".",35,1,7,80,2000,3139,0,14400,5,0,0,4166,0,0,0
Monóculo de Adalid del Botín,"|cFF00ccffApariencia de The War Within|r|n|nDesbloquea la apariencia de monóculo de Adalid del Botín.|n|n""Ayuda a ver con un solo ojo"".",36,1,7,90,500,3139,0,14400,1,0,443376,3623,0,0,0
Bufas con flecos de Adalid del Botín,|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de bufas con flecos de Adalid del Botín. Forma parte del traje de grumete grandioso en Plunderstorm. Habla con Da'kash Librosombrío para cambiar de atuendo cuando hayas desbloqueado todas las apariencias de este conjunto.,37,1,8,20,250,3139,0,14400,1,0,439380,3462,0,0,0
Bufas tormentosas de Adalid del Botín,|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de bufas tormentosas de Adalid del Botín. Forma parte del traje de grumete tormentoso en Plunderstorm. Habla con Da'kash Librosombrío para cambiar de atuendo cuando hayas desbloqueado todas las apariencias de este conjunto.,38,1,9,20,1000,3139,0,14400,5,0,0,4167,0,0,0
Mantón impermeable,"|cFF00ccffApariencia de The War Within|r|n|nDesbloquea la apariencia de mantón impermeable.|n|n""Dice 'impermeable' no 'hipermeable'. A ver qué haces"".",39,1,13,10,250,3139,0,14400,1,0,439456,3476,0,977,0
Capa de vagador,"|cFF00ccffApariencia de The War Within|r|n|nDesbloquea la apariencia de capa de vagador.|n|n""Algunos saqueadores prefieren quedarse en las sombras"".",40,1,13,20,250,3139,0,14400,1,0,439455,3477,0,977,0
Pliegues de Adalid del Botín,"|cFF00ccffApariencia de The War Within|r|n|nDesbloquea la apariencia de pliegues de Adalid del Botín.|n|n""De color rojo y dorado, por supuesto"".",41,1,13,30,500,3139,0,14400,1,0,439379,3461,0,977,0
Pliegues tormentosos de Adalid del Botín,|cFF00ccffApariencia de The War Within|r|n|nDesbloquea la apariencia de pliegues tormentosos de Adalid del Botín.,42,1,13,40,1000,3139,0,14400,5,0,0,4168,0,977,0
Camisa de algodón peinado,|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de camisa de algodón peinado.|n|nForma parte del traje de grumete grumoso en Plunderstorm. Habla con Da'kash Librosombrío para cambiar de atuendo cuando hayas desbloqueado todas las apariencias.,43,1,5,10,250,3139,0,14400,1,0,439453,3478,0,0,0
Jubón carmesí refinado,|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de jubón carmesí refinado. Forma parte del traje de grumete glamuroso en Plunderstorm. Habla con Da'kash Librosombrío para cambiar de atuendo cuando hayas desbloqueado todas las apariencias de este conjunto.,44,1,6,10,250,3139,0,14400,1,0,439454,3485,0,0,0
Chaleco de Adalid del Botín,"|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de chaleco de Adalid del Botín. Forma parte del traje de grumete grandioso en Plunderstorm. Habla con Da'kash Librosombrío para cambiar de atuendo cuando hayas desbloqueado todas las apariencias de este conjunto.|n|n""A nadie le queda mal un chaleco"".",45,1,8,30,250,3139,0,14400,1,0,439370,3455,0,0,0
Chaleco tormentoso de Adalid del Botín,|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de chaleco tormentoso de Adalid del Botín. Forma parte del traje de grumete tormentoso en Plunderstorm. Habla con Da'kash Librosombrío para cambiar de atuendo cuando hayas desbloqueado todas las apariencias de este conjunto.,46,1,9,30,1000,3139,0,14400,5,0,0,4169,0,0,0
Tabardo de Adalid del Botín,"|cFF00ccffApariencia de The War Within|r|nDesbloquea la apariencia de tabardo de Adalid del Botín.|n|n""Has demostrado que el pillaje corre por tu sangre y te has ganado un hueco en la tripulación del capitán Patabarril. Muestra con orgullo tu lealtad a la tripulación"".",47,1,10,10,5000,3139,0,14400,1,0,443375,3624,0,0,0
Puños de Adalid del Botín,"|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de puños de Adalid del Botín. Forma parte del traje de grumete grandioso en Plunderstorm. Habla con Da'kash Librosombrío para cambiar de atuendo cuando hayas desbloqueado todas las apariencias de este conjunto.|n|n""Unos puños dorados dignos de los mejores piratas"".",48,1,8,70,250,3139,0,14400,1,0,439375,3458,0,0,0
Puños tormentosos de Adalid del Botín,|cFF00ccffApariencia de The War Within|r|n|cFF1eff00Apariencia de Plunderstorm|r|n|nDesbloquea la apariencia de puños tormentosos de Adalid del Botín. Forma parte del traje de grumete tormentoso en Plunderstorm. Habla con Da'kash Librosombrío para cambiar de atuendo cuando hayas desbloqueado todas las apariencias de este conjunto.,49,1,9,70,250,3139,0,14400,5,0,0,4170,0,0,0
