ID,Name_lang,GameType_lang,ShortDescription_lang,LongDescription_lang,InstanceType,MinLevel,MaxLevel,RatedPlayers,MinPlayers,MaxPlayers,GroupsAllowed,MaxGroupSize,HolidayWorldState,Flags,IconFileDataID,Required_Player_Condition_ID
1,Valle de Alterac,Campo de batalla épico,,,3,20,80,25,10,40,1,5,1941,152,136324,0
2,Garganta Grito de Guerra clásica,Captura la bandera,,,3,0,0,10,5,10,1,5,1942,0,136365,0
3,Cuenca de Arathi clásica,Dominación,,,3,0,0,10,8,15,1,5,1943,0,136322,0
4,Nagrand Arena (old),,,,4,0,0,5,0,5,1,5,0,1,460867,5793
5,zzOldBlade's Edge Arena,,,,4,0,0,5,0,5,1,5,0,1,460861,0
6,Todas las arenas,,,,4,20,80,5,0,5,1,3,0,8,525915,0
7,Ojo de la Tormenta,Dominación,,,3,20,80,15,8,15,1,5,2851,24,525912,0
8,Ruinas de Lordaeron,,,,4,10,80,5,0,5,1,5,0,8,460869,0
9,Playa de los Ancestros,Asedio,,,3,10,60,15,8,15,1,5,3695,1,460870,0
10,Cloacas de Dalaran,,,,4,10,80,5,0,5,1,5,0,8,460862,0
11,El Círculo del Valor,,,,4,0,0,5,0,5,1,5,0,0,460868,0
30,Isla de la Conquista,Campo de batalla épico,,,3,20,80,25,10,40,1,5,4273,152,311222,0
32,Campo de batalla aleatorio,,,,3,10,80,25,5,10,1,5,0,0,525915,0
100,CDB puntuado,,,,3,50,80,10,5,10,1,10,0,2,0,0
101,CDB puntuado,,,,3,50,60,15,8,15,1,15,0,2,0,0
102,CDB puntuado,,,,3,50,80,6,4,6,1,6,0,2,0,0
108,Cumbres Gemelas,Captura la bandera,,,3,30,80,10,5,10,1,5,5361,24,525913,0
120,La Batalla por Gilneas,Dominación,,,3,20,80,10,3,10,1,5,5360,24,460871,0
656,Ojo de la Tormenta puntuado,,,,3,50,80,10,5,10,1,5,2851,10,0,0
699,Templo de Kotmogu,Orbes de poder,,,3,40,80,10,2,10,1,5,6306,24,791651,0
706,CTF3,,,,3,0,0,10,5,10,1,5,6408,1,0,0
708,Minas Lonjaplata,Carga,,,3,30,80,10,5,10,1,5,6436,24,791650,0
719,Arena Tol'viron,,,,4,10,80,5,0,5,1,5,0,8,791652,0
754,Cañón del Céfiro (antiguo),Dominación,,,3,40,70,10,8,15,1,5,7671,8,875925,0
757,La Cima del Tigre,,,,4,10,80,5,0,5,1,5,0,8,875926,0
789,Costasur contra Molino Tarren,Camorra,,,3,50,80,0,10,40,1,5,0,32,0,0
803,Small Battleground D,Varios,,,3,0,0,5,0,5,1,5,0,1,0,0
808,Arena del Torreón Grajo Negro,,,,4,10,80,5,0,5,1,5,0,8,1389174,0
809,Arena de Nagrand,,,,4,10,80,5,0,5,1,5,0,8,460867,0
816,Caída de Crinceniza,,,,4,10,80,5,0,5,1,5,0,8,1389175,0
844,Arena Filospada,,,,4,10,80,5,0,5,1,5,0,8,460861,0
846,La Batalla por Gilneas (Mapa de la antigua ciudad),Camorra,,,3,0,0,10,5,10,1,5,0,33,460871,0
847,Invierno en la Cuenca de Arathi,Camorra,,,3,50,80,10,8,15,1,5,0,32,136322,0
848,AI Test - Arathi Basin,,,,3,0,0,10,8,15,1,15,12812,1,0,0
849,Mate del Céfiro,Camorra,,,3,50,80,10,8,15,1,5,0,32,875925,0
853,Enfrentamiento del Shadopan,Camorra,,,3,50,80,5,0,5,1,5,0,96,0,0
856,[TEMP] RaceTrackBG,Dominación,,,3,0,0,10,5,10,1,5,0,1,875925,0
857,Batalla por la Montaña Roca Negra,,,,3,0,0,0,2,2,1,2,0,33,136326,0
858,Templo de Hotmogu,Camorra,,,3,50,80,10,1,10,1,5,0,32,791651,0
859,Gravedad cero,Camorra,,,3,50,80,15,8,15,1,5,0,32,525912,0
860,Mate del Céfiro,Camorra,,,3,50,80,10,8,15,1,5,0,32,875925,0
861,Tumulto Grito de Guerra,Camorra,,,3,50,80,10,5,10,1,5,0,32,136365,0
862,Ojo del cuerno,Camorra,,,3,50,80,15,8,15,1,5,0,32,525912,0
866,Todas las arenas,Camorra,,,4,50,80,5,8,15,1,5,0,96,525915,0
868,Ruinas de Lordaeron,,,,3,50,80,5,0,15,1,5,0,96,460869,0
869,Cloacas de Dalaran,,,,3,50,80,5,0,15,1,5,0,96,460862,0
870,Arena Tol'viron,,,,3,50,80,5,0,15,1,5,0,96,791652,0
871,La Cima del Tigre,,,,3,50,80,5,0,15,1,5,0,96,875926,0
872,Arena del Torreón Grajo Negro,,,,3,50,80,5,0,15,1,5,0,96,1389174,0
873,Arena de Nagrand,,,,3,50,80,5,0,15,1,5,0,96,460867,0
874,Caída de Crinceniza,,,,3,50,80,5,0,15,1,5,0,96,1389175,0
875,Arena Filospada,,,,3,50,80,5,0,15,1,5,0,96,460861,0
878,AI Test - Warsong Gulch,,,,3,0,0,10,5,10,1,10,0,1,0,0
879,El sexto elemento,Camorra,,,3,50,80,6,5,6,1,6,0,32,0,0
880,Cuenca de Arathi,Camorra,,,3,50,80,6,6,6,1,6,0,32,0,0
881,Cañón del Céfiro,Camorra,,,3,50,80,6,6,6,1,6,0,32,0,0
882,Ojo de la tormenta,Camorra,,,3,50,80,6,6,6,1,6,0,32,0,0
883,Minas Lonjaplata,Camorra,,,3,50,70,6,6,6,1,6,0,32,0,0
884,Templo de Kotmogu,Camorra,,,3,50,70,6,6,6,1,6,0,32,0,0
885,La Batalla por Gilneas,Camorra,,,3,50,80,6,6,6,1,6,0,32,0,0
886,Garganta Grito de Guerra,Camorra,,,3,50,80,6,6,6,1,6,0,32,0,0
887,Cocina: imposible,,,,3,50,80,10,5,10,1,5,0,32,875925,0
890,Orilla Hirviente,Dominación,,,3,0,0,10,8,15,1,5,0,1,875925,0
893,8.0 BG Temp,Dominación,,,3,0,0,10,8,15,1,5,0,1,875925,0
894,Costa Hirviente,Carrera por los recursos,,,3,40,80,10,5,10,1,5,0,24,1864730,0
897,Puntagarfio,,,,4,10,80,5,0,5,1,5,0,8,0,0
901,Campo de batalla épico aleatorio,,,,3,20,80,0,5,40,1,5,0,0,0,0
903,Mugambala,,,,4,10,80,5,0,5,1,5,0,8,0,0
904,Camorra: todas las arenas,,,,4,50,80,3,3,3,1,3,0,32,525915,0
1014,Garganta Grito de Guerra,Captura la bandera,,,3,10,80,10,5,10,1,5,1942,24,136365,0
1017,Batalla por Conquista del Invierno,Campo de batalla épico,,,3,20,80,25,10,40,1,5,0,152,136324,0
1018,Cuenca de Arathi,Dominación,,,3,10,80,10,8,15,1,5,1943,24,136322,0
1019,Entorno hostil de la Cuenca de Arathi,,,,3,0,0,15,1,15,1,15,0,0,0,0
1020,Ashran,Campo de batalla épico,,,3,20,80,35,10,35,1,5,0,152,1398842,0
1021,Ashran clásico,Campo de batalla épico infinito,,,3,20,80,25,10,25,1,5,1941,40,1398842,0
1022,Cuenca de Arathi,Camorra,,,3,50,80,10,8,15,1,5,0,32,136322,0
1025,Robotódromo,,,,4,20,80,5,0,5,1,5,0,8,0,0
1029,Campo de batalla aleatorio,,,,3,10,60,25,5,40,1,5,0,1,525915,0
1030,Batalla por Conquista del Invierno,Campo de batalla épico,,,3,50,80,25,10,40,1,5,0,32,136324,0
1031,Programmer Map - Battlefield,,,,3,0,0,0,1,20,0,0,0,0,0,0
1033,Venganza de Korrak,Evento por tiempo limitado,,,3,20,80,25,10,40,1,40,1941,32,136324,0
1036,Epic Battleground - Warfront Arathi (PvP),,,,3,0,0,40,10,40,1,5,0,1,0,0
1037,Cañón del Céfiro,Dominación,,,3,40,80,10,8,15,1,5,0,24,875925,0
1039,Cañón del Céfiro,Dominación,,,3,50,80,10,8,15,1,5,0,32,875925,0
1041,Dominio Empíreo,,,,4,60,80,5,0,5,1,5,0,8,0,0
1047,Mugambala,,,,4,50,80,5,0,15,1,5,0,32,0,0
1048,Robotódromo,,,,4,50,80,5,0,15,1,5,0,32,0,0
1049,Puntagarfio,,,,4,50,80,5,0,15,1,5,0,32,0,0
1050,Dominio Empíreo,,,,4,50,80,5,0,15,1,5,0,32,0,0
1053,Mugambala,,,,4,10,80,6,6,6,0,3,0,76,0,0
1054,Caída de Crinceniza,,,,4,10,80,6,6,6,0,3,0,76,1389175,0
1055,Arena Tol'viron,,,,4,10,80,6,6,6,0,3,0,76,791652,0
1056,Robotódromo,,,,4,10,80,6,6,6,0,3,0,76,0,0
1057,Cima del Tigre,,,,4,10,80,6,6,6,0,3,0,76,875926,0
1058,Ruinas de Lordaeron,,,,4,10,80,6,6,6,0,3,0,76,460869,0
1059,Arena de Nagrand,,,,4,10,80,6,6,6,0,3,0,76,460867,0
1060,Puntagarfio,,,,4,10,80,6,6,6,0,3,0,76,0,0
1061,Dominio Empíreo,,,,4,10,80,6,6,6,0,3,0,76,0,0
1062,Cloacas de Dalaran,,,,4,10,80,6,6,6,0,3,0,76,460862,0
1063,Arena Filospada,,,,4,10,80,6,6,6,0,3,0,76,460861,0
1064,Arena del Torreón Grajo Negro,,,,4,10,80,6,6,6,0,3,0,76,1389174,0
1065,Todas las arenas,,,,4,60,80,6,6,6,0,1,0,76,525915,0
1066,Coliseo de Maldraxxus,,,,4,20,80,5,0,5,1,5,0,8,3759934,0
1068,Arena Enigma,,,,4,60,60,5,0,5,1,5,0,9,0,0
1070,Ruinas de Lordaeron,,,,3,50,80,5,0,15,1,5,0,96,460869,0
1071,Coliseo de Maldraxxus,,,,4,10,80,6,6,6,0,3,0,76,3759934,0
1075,Detonación del Céfiro,Camorra,,,3,50,80,10,8,15,1,5,0,32,875925,0
1076,Crisol Enigma,,,,4,60,80,5,0,5,1,5,0,8,525915,0
1077,Crisol Enigma,,,,4,60,80,0,0,6,0,1,0,76,0,0
1088,Terreno de pruebas Nokhudon,,,,4,61,80,5,0,5,1,5,0,8,0,0
1092,Terreno de pruebas Nokhudon,,,,4,61,80,6,6,6,1,3,0,76,0,0
1094,Todas las arenas,,,,4,20,80,5,0,5,1,3,0,0,525915,0
