Name_lang,ID,UiTextureAtlasElementID,DecorCategoryID,OrderIndex
Asientos,1,29176,1,0
Camas,2,29113,1,3
Puertas,3,29125,2,0
Muros y columnas,4,29203,2,1
Mesas y escritorios,5,29191,1,1
Almacenamiento,6,29185,1,2
Muebles varios,7,30799,1,4
Ventanas,8,29206,2,2
Estructuras grandes,9,29155,2,3
Estructurales varios,10,30799,2,4
Ornamentales,11,29164,3,0
Colgables de pared,12,29197,3,1
Comida y bebida,13,29131,3,2
Suelo,14,29128,3,3
Resaltes varios,15,30799,3,4
Luces grandes,16,29152,4,0
Luces de pared,17,29200,4,1
Luces de techo,18,29140,4,2
Luces pequeñas,19,29182,4,3
Luces de ambiente,20,29110,4,4
Luces varias,21,30799,4,5
Utilidad,22,29194,5,0
Follaje grande,25,29149,6,0
Follaje pequeño,26,29179,6,1
Arbustos,27,29116,6,2
Cobertura para el suelo,28,29137,6,3
Naturaleza (otros),29,30799,6,4
Varios: Todos,34,30799,8,0
Habitaciones: Todos,35,0,9,0
Funcionales (otros),51,30799,5,1
