ID,EffectDescription_lang,AuraDescription_lang,SpellEffectType,AuraEffectType,PointsSign,TargetType,SchoolMask,EffectOrderIndex,AuraOrderIndex
1,Inflige $s@effectindex p. de daño físico a un enemigo.,,2,0,1,3,1,50,50
2,Inflige $s@effectindex p. de daño Sagrado a un enemigo.,,2,0,1,3,2,50,50
3,Inflige $s@effectindex p. de daño de Fuego a un enemigo.,,2,0,1,3,4,50,50
4,Inflige $s@effectindex p. de daño de Naturaleza a un enemigo.,,2,0,1,3,8,50,50
5,Inflige $s@effectindex p. de daño de Escarcha a un enemigo.,,2,0,1,3,16,50,50
6,Inflige $s@effectindex p. de daño de las Sombras a un enemigo.,,2,0,1,3,32,50,50
7,Inflige $s@effectindex p. de daño Arcano a un enemigo.,,2,0,1,3,64,50,50
8,Inflige $s@effectindex p. de daño de Caos a un enemigo.,,2,0,1,3,127,50,50
9,Inflige $s@effectindex p. de daño físico a los enemigos en un radio de $A@effectindex m del impacto.,,2,0,1,5,1,50,50
10,Inflige $s@effectindex p. de daño Sagrado a todos los enemigos en un radio de $A@effectindex m del impacto.,,2,0,1,5,2,50,50
11,Inflige $s@effectindex p. de daño de Fuego a todos los enemigos en un radio de $A@effectindex m del impacto.,,2,0,1,5,4,50,50
12,Inflige $s@effectindex p. de daño de Naturaleza a los enemigos en un radio de $A@effectindex m del impacto.,,2,0,1,5,8,50,50
13,Inflige $s@effectindex p. de daño de Escarcha a los enemigos en un radio de $A@effectindex m del impacto.,,2,0,1,5,16,50,50
14,Inflige $s@effectindex p. de daño de las Sombras a todos los enemigos en un radio de $A@effectindex m del impacto.,,2,0,1,5,32,50,50
15,Inflige $s@effectindex p. de daño Arcano a todos los enemigos en un radio de $A@effectindex m del impacto.,,2,0,1,5,64,50,50
16,Inflige $s@effectindex p. de daño de Caos a todos los enemigos en un radio de $A@effectindex m del impacto.,,2,0,1,5,127,50,50
17,Inflige $s@effectindex p. de daño físico a los enemigos en un radio de $A@effectindex m.,,2,0,1,7,1,50,50
18,Inflige $s@effectindex p. de daño Sagrado a todos los enemigos en un radio de $A@effectindex m.,,2,0,1,7,2,50,50
19,Inflige $s@effectindex p. de daño de Fuego a todos los enemigos en un radio de $A@effectindex m.,,2,0,1,7,4,50,50
20,Inflige $s@effectindex p. de daño de Naturaleza a todos los enemigos en un radio de $A@effectindex m.,,2,0,1,7,8,50,50
21,Inflige $s@effectindex p. de daño de Escarcha a todos los enemigos en un radio de $A@effectindex m.,,2,0,1,7,16,50,50
22,Inflige $s@effectindex p. de daño de las Sombras a todos los enemigos en un radio de $A@effectindex m.,,2,0,1,7,32,50,50
23,Inflige $s@effectindex p. de daño Arcano a todos los enemigos en un radio de $A@effectindex m.,,2,0,1,7,64,50,50
24,Inflige $s@effectindex p. de daño de Caos a todos los enemigos en un radio de $A@effectindex m.,,2,0,1,7,127,50,50
25,Inflige $s@effectindex p. de daño físico a un enemigo cada $t@effectindex s durante $d.,$s@effectindex p. de daño físico infligidos cada $t@effectindex s.,6,3,1,3,1,50,50
26,Inflige $s@effectindex p. de daño Sagrado a un enemigo cada $t@effectindex s durante $d.,$s@effectindex p. de daño Sagrado infligidos cada $t@effectindex s.,6,3,1,3,2,50,50
27,Inflige $s@effectindex p. de daño de Fuego a un enemigo cada $t@effectindex s durante $d.,$s@effectindex p. de daño de Fuego infligidos cada $t@effectindex s.,6,3,1,3,4,50,50
28,Inflige $s@effectindex p. de daño de Naturaleza a un enemigo cada $t@effectindex s durante $d.,$s@effectindex p. de daño de Naturaleza infligidos cada $t@effectindex s.,6,3,1,3,8,50,50
29,Inflige $s@effectindex p. de daño de Escarcha a un enemigo cada $t@effectindex s durante $d.,$s@effectindex p. de daño de Escarcha infligidos cada $t@effectindex s.,6,3,1,3,16,50,50
30,Inflige $s@effectindex p. de daño de las Sombras a un enemigo cada $t@effectindex s durante $d.,$s@effectindex p. de daño de las Sombras infligidos cada $t@effectindex s.,6,3,1,3,32,50,50
31,Inflige $s@effectindex p. de daño Arcano a un enemigo cada $t@effectindex s durante $d.,$s@effectindex p. de daño Arcano infligidos cada $t@effectindex s.,6,3,1,3,64,50,50
32,Inflige $s@effectindex p. de daño de Caos a un enemigo cada $t@effectindex s durante $d.,$s@effectindex p. de daño de Caos infligidos cada $t@effectindex s.,6,3,1,3,127,50,50
33,"Aturde al enemigo, lo que le impide moverse o atacar durante $d.",Aturdido.,6,12,0,3,0,0,0
34,Aumenta un $s@effectindex% la velocidad de ataque y de lanzamiento de todos los aliados en un radio de $A@effectindex m del impacto durante $d.,Velocidad de ataque y de lanzamiento aumentada un $s@effectindex%.,6,193,1,6,0,0,0
