ID,Name_lang,Description_lang,OrderIndex,Flags
1,Hacer misiones,Buscar nombres de misiones...,0,84
2,Mazmorras,"Buscar números de piedra angular, mazmorras...",2,288
3,Bandas,"Buscar bandas, jefes, dificultades...",4,289
4,Arenas,,0,288
5,Gestas,,3,256
6,Personalizado,,10,66
7,Escaramuzas de arena,,1,64
8,Campos de batalla,,2,66
9,Campos de batalla puntuados,,3,290
111,Expediciones insulares,,1,320
113,Torghast,"Buscar capas, alas...",1,384
121,Profundidades,"Buscar profundidades, niveles...",1,384
