Name_lang,Description_lang,Objective_lang,ID,BattlemasterListID,LFGDungeonsID,RewardsQuestID
Test Brawl,Test brawl description.,,1,0,2041,0
Camorra: Costasur - Molino Tarren,Combate a muerte por equipos,"- Mata a jugadores enemigos para ganar puntos
- Las muertes con honor te suben de rango
- Las muertes de rangos más altos otorgan más puntos",2,789,0,0
Camorra: Templo de Hotmogu,Orbes de poder,"- Celeridad aumentada
- Velocidad de movimiento aumentada
- Tiempos de reaparición reducidos",3,858,0,0
Camorra: Gravedad cero,Dominación al vuelo,"- La gravedad cambia a intervalos regulares
- El portador de la bandera quedará clavado al suelo por el peso
- El resto saldrá por los aires",4,859,0,0
Camorra: Ventisca de Arathi,Dominación helada,"- Capturad los objetivos
- Visibilidad reducida
- El terreno está congelado",5,847,0,0
Camorra: Mate del Céfiro,¡Mate!,"- Recoged bolas en las minas
- Llevad las bolas a la base enemiga
- Lanzad las bolas o haced un mate",6,860,0,0
Camorra: Ojo del cuerno,Dominación cabría,"- ¡Montaos en una cabra y pasadlo en grande!
- La cabra tiene un efecto de repulsión
- La distancia aumenta la repulsión",7,862,0,0
Camorra: Casa abarrotada,Arena 15c15,"- Combate a muerte por equipos
- 15 jugadores por equipo
- Gana el último equipo en pie",8,866,0,0
Camorra: Tumulto Grito de Guerra,Capturad las banderas,"- Cada equipo tiene varias banderas
- Para la captura solo se necesita una bandera
- Coge cubos con beneficios aleatorios",9,861,0,0
Camorra: Enfrentamiento del Shadopan,Arena 5c5,"- Arena 5c5
- Derrota al jefe mogu del equipo enemigo para ganar
- Recoge el cofre invocado para obtener una ventaja",10,853,0,0
Camorra: El sexto elemento,Campos de batalla de 6c6,"- 6 jugadores por equipo
- Nuevos modos de juego",11,879,0,0
Camorra: El sexto elemento - La Batalla por Gilneas,Campos de batalla de 6c6,"- 6 jugadores por equipo
- Nuevos modos de juego",12,885,0,0
Camorra: El sexto elemento - Garganta Grito de Guerra,Campos de batalla de 6c6,"- 6 jugadores por equipo
- Nuevos modos de juego",13,886,0,0
Camorra: El sexto elemento - Minas Lonjaplata,Campos de batalla de 6c6,"- 6 jugadores por equipo
- Nuevos modos de juego",14,883,0,0
Camorra: El sexto elemento - Templo de Kotmogu,Campos de batalla de 6c6,"- 6 jugadores por equipo
- Nuevos modos de juego",15,884,0,0
Camorra: El sexto elemento - Ojo de la Tormenta,Campos de batalla de 6c6,"- 6 jugadores por equipo
- Nuevos modos de juego",16,882,0,0
Camorra: Cocina imposible,Carrera de recolección,"- Reúne ingredientes por toda la granja y llévaselos a tu cocinero
- ¡Sé el primero en recoger suficientes ingredientes!
- Derrota al machacador de la facción contraria para conseguir su apoyo",17,887,0,0
Camorra: Casa abastecida,Combate a muerte por equipos,"- Combate a muerte por equipos
- 3 jugadores por equipo
- Los dos primeros muertos de cada equipo resucitan de forma inmediata",18,0,0,0
Costa Hirviente,Recoged azerita,"Se han descubierto grandes cantidades de azerita cerca de la costa de Feralas, en una isla inexplorada conocida hoy en día como Costa Hirviente.",19,894,0,0
Camorra: Ashran clásico,Campo de batalla épico infinito,"- ¡La batalla en Ashran nunca acaba!
- Mata al líder de la facción enemiga e imponte en los eventos para recibir recompensas
- Reúne fragmentos de artefacto de las criaturas y entrégalos para obtener beneficios para tu facción",120,1021,0,0
Camorra: Entorno hostil,Dominación,"- Captura objetivos
- Mata a enemigos
- Gana",121,0,1966,0
Conquista del Invierno,Defended o asaltad Conquista del Invierno,"- Defensores: defended la Fortaleza
- Atacantes: destruid la última muralla de la Fortaleza",122,1030,0,0
Camorra: Isla repleta,Isla 10c10,Vamos a necesitar un barco más grande...,123,0,2025,0
Venganza de Korrak,Evento de aniversario de WoW,"- Experimenta el Valle de Alterac de antaño
- ¡Mata a Korrak el Sanguinario y rechaza la invasión trol!
- Completa misiones y objetivos para conseguir recompensas",124,1033,0,63953
Cañón del Céfiro,Capturad los objetivos,"- Capturad y conservad los objetivos
- Ganad 1500 recursos",125,1039,0,0
Camorra: Venganza de Korrak,Valle de Alterac clásico,"- Experimenta el Valle de Alterac de antaño
- ¡Mata a Korrak el Sanguinario y rechaza la invasión trol!
- Completa misiones y objetivos para conseguir recompensas",126,1033,0,0
Batiburrillo de solitarios,Partidas de la arena en equipos mezclados,"- 6 jugadores disputan 6 rondas de arena 3c3
- Los equipos se mezclan al final de cada ronda
- Colas solo para jugadores en solitario",130,1065,0,0
Batiburrillo de solitarios: Arena Enigma,Partidas de la arena en equipos mezclados,"- 6 jugadores disputan 6 rondas de arena 3c3
- Los equipos se mezclan al final de cada ronda
- Colas solo para jugadores en solitario",132,0,0,0
Camorra: Detonación del Céfiro,Buscar y destruir,"-Recoge la bomba en el mercado
-Escolta la bomba hasta las bases
-Plántala y defiéndela",133,1075,0,0
Camorra: Campo de batalla relámpago,Campo de batalla relámpago,"- Cola en solitario, aunque los sanadores pueden hacer cola en dúo
- 8 jugadores en cada equipo
- Lucha junto a miembros de ambas facciones
- Velocidad de montura aumentada
- Modos de juego más rápidos",136,1101,0,0
Camorra: Campo de batalla relámpago - Garganta Grito de Guerra,Campo de batalla relámpago,,137,1102,0,0
Camorra: Campo de batalla relámpago - Cumbres Gemelas,Campo de batalla relámpago,,138,1103,0,0
Camorra: Campo de batalla relámpago - La Batalla por Gilneas,Campo de batalla relámpago,,139,1104,0,0
Camorra: Campo de batalla relámpago - Minas Lonjaplata,Campo de batalla relámpago,,140,1105,0,0
Camorra: Campo de batalla relámpago - Templo de Kotmogu,Campo de batalla relámpago,,141,1106,0,0
Camorra: Campo de batalla relámpago - Cañón del Céfiro,Campo de batalla relámpago,,142,1109,0,0
Camorra: Campo de batalla relámpago - Cuenca de Arathi,Campo de batalla relámpago,,143,1108,0,0
Camorra: Campo de batalla relámpago - Ojo de la Tormenta,Campo de batalla relámpago,,144,1107,0,0
Camorra: Fragor de la batalla,Arena 3c3,"- Arena 3c3
- Al infligir daño a los enemigos con poca salud, aumentas el daño que inflige tu equipo
- Los sanadores reciben una cantimplora que se puede usar en combate para restaurar maná",145,1111,0,0
Camorra: Campo de batalla relámpago - Barranco de Cargahonda,Campo de batalla relámpago,,147,1118,0,0
Barranco de Cargahonda,Barranco de Cargahonda,"- Capturad y conservad las vagonetas
- Capturad la gema central
- Ganad 1500 recursos",148,1110,0,0
