Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,RewardItemID,Criteria_tree,Shares_criteria,CovenantID,HiddenBeforeDisplaySeason,LegacyAfterTimeEvent
Alcanza el nivel 10.,Nivel 10,,6,-1,-1,0,92,0,10,2097156,11,236562,0,2050,0,0,0,0
Alcanza el nivel 20.,Nivel 20,,7,-1,-1,6,92,0,10,2097156,12,236563,0,2683,0,0,0,0
Alcanza el nivel 30.,Nivel 30,,8,-1,-1,7,92,0,10,2097156,14,236564,0,1289,0,0,0,0
Alcanza el nivel 40.,Nivel 40,,9,-1,-1,8,92,0,10,2097156,15,236565,0,942,0,0,0,0
Nivel 50 alcanzado antes de la expansión Shadowlands.,Nivel 50 (antiguo),,10,-1,-1,0,15446,0,0,2103300,1,236566,0,0,0,0,0,0
Nivel 60 alcanzado antes de la expansión Shadowlands.,Nivel 60 (antiguo),,11,-1,-1,10,15446,0,0,2103300,2,236567,0,0,0,0,0,0
Nivel 70 alcanzado antes de la expansión Shadowlands.,Nivel 70 (antiguo),,12,-1,-1,11,15446,0,0,2103300,3,236568,0,0,0,0,0,0
Nivel 80 alcanzado antes de la expansión Shadowlands.,Nivel 80 (antiguo),,13,-1,-1,12,15446,0,0,2103300,4,236569,0,0,0,0,0,0
Reúne 15 mascotas únicas.,Muchas mascotas,,15,-1,-1,1017,15118,0,10,131072,5,132599,0,22152,0,0,0,0
Eleva tu habilidad sin armas a 400.,¿Alguien ha pedido un bocadillo de nudillos?,,16,-1,-1,0,15446,0,0,2048,30,132356,0,6318,0,0,0,0
Completa una misión diaria durante cinco días consecutivos.,Una re-misión sencilla,,31,-1,-1,0,96,0,10,131072,25,236680,0,2807,0,0,0,0
Completa 2000 misiones.,2000 misiones completadas,,32,-1,-1,508,96,0,10,131072,8,236670,0,2810,0,0,0,0
Completa las siguientes tramas de la Tundra Boreal.,La Tundra no tiene nada de aburrida,,33,-1,1,0,14863,0,10,131072,2,236728,0,1741,0,0,0,0
Completa las siguientes tramas del Fiordo Aquilonal.,He paseado por el Fiordo,,34,-1,1,0,14863,0,10,131072,6,236787,0,5287,0,0,0,0
Completa las siguientes tramas del Cementerio de Dragones.,El poder del Cementerio de Dragones,,35,-1,1,0,14863,0,10,131072,10,236749,0,1745,0,0,0,0
Completa las siguientes tramas de Zul'Drak.,El Imperio de Zul'Drak,,36,-1,-1,0,14863,0,10,131072,17,236862,0,1881,0,0,0,0
Completa las siguientes tramas de las Colinas Pardas.,Mi furia por las pardas,,37,-1,1,0,14863,0,10,131072,14,236772,0,5284,0,0,0,0
Completa las siguientes tramas de Las Cumbres Tormentosas.,La cima de Las Cumbres Tormentosas,,38,-1,-1,0,14863,0,10,131072,22,236838,0,1884,0,0,0,0
Completa las siguientes tramas de la Cuenca de Sholazar.,Dentro de la Cuenca,,39,-1,-1,0,14863,0,10,131072,20,236823,0,1887,0,0,0,0
Completa las siguientes tramas de Corona de Hielo.,Corona de Hielo: la meta final,,40,-1,-1,0,14863,0,10,131072,23,236799,0,3375,0,0,0,0
Completa los logros de misiones de Rasganorte listados a continuación.,Maestro cultural de Rasganorte,,41,-1,-1,0,14863,0,10,131072,33,236812,0,5756,0,0,0,0
Explora las regiones de los Reinos del Este.,Explorador de los Reinos del Este,,42,-1,-1,0,97,0,25,131072,1,236759,0,2402,0,0,0,0
Explora las regiones de Kalimdor.,Explorador de Kalimdor,,43,-1,-1,0,97,0,25,131072,2,236807,0,3317,0,0,0,0
Explora las regiones de Terrallende.,Explorador de Terrallende,,44,-1,-1,0,97,0,25,131072,3,236813,0,3340,0,0,0,0
Explora las regiones de Rasganorte.,Explorador de Rasganorte,Recompensa: tabardo de explorador,45,-1,-1,0,97,0,25,131072,4,236812,0,12064,0,0,0,0
"Explora los Reinos del Este, Kalimdor, Terrallende, Rasganorte, las zonas descubiertas por el Cataclismo, Pandaria, Draenor, las Islas Abruptas, Kul Tiras y Zandalar.",Explorador universal,Título: el Expedicionario,46,-1,-1,0,97,0,50,131072,13,237381,0,3257,0,0,0,0
Victorias en el Valle de Alterac,Victorias en el Valle de Alterac,,49,30,-1,0,153,0,0,1,6,136243,0,15889,0,0,0,0
Victorias en el Ojo de la Tormenta,Victorias en el Ojo de la Tormenta,,50,566,-1,0,153,0,0,1,13,136243,0,9109,0,0,0,0
Victorias en la Cuenca de Arathi,Victorias en la Cuenca de Arathi,,51,529,-1,0,153,0,0,1,8,136243,0,5504,0,0,0,0
Batallas en la Garganta Grito de Guerra,Batallas en la Garganta Grito de Guerra,,52,489,-1,0,153,0,0,1,20,136243,0,5507,0,0,0,0
Batallas en el Valle de Alterac,Batallas en el Valle de Alterac,,53,30,-1,0,153,0,0,1,5,136243,0,5510,0,0,0,0
