Name_lang,ID,Field_10_0_5_47118_002
,1,0
Enero: Empezar de nuevo,6,1
Febrero: Querer y compartir,7,2
Marzo: Qué buena pinta,8,3
Abril: Primavera a tu paso,9,4
Mayo: Juego de niños,10,5
Junio: Jugando con fuego,11,6
Julio: ¡Celebración!,12,7
Agosto: ¡Enfrentamiento!,13,8
Septiembre: Hora de divertirse,14,9
Octubre: Siniestro y avieso,16,10
"Noviembre: Cuantos más, mejor",18,11
Diciembre: Relax,19,12
Enero: Empezar de nuevo,20,13
Febrero: amor nuevo y reavivado,21,14
Marzo: A presumir,22,15
Abril: Primavera en el aire,23,16
Mayo: Poder floral,24,17
Junio: Diversión estival,25,18
Julio: Las profundidades oscuras,26,19
Agosto: El espíritu de la competición,27,20
Septiembre: Reúne a tus amigos,28,21
Octubre: Luz contra la oscuridad,29,22
Noviembre: Icónico,30,23
Diciembre: Fresquito,31,24
