ID,Name_lang,Description_lang,BountySetID,SkillLineID,DeathTeleportSpellID,Field_9_0_2_36165_006,Field_9_0_2_36165_007,FactionID,CurrencyTypesID,RequiredPlayerConditionID
1,kyrianos,Los kyrianos son guardianes inquebrantables del más allá que guían a las almas de los muertos a las Tierras Sombrías. Solo aquellos que son dignos pueden formar parte de sus filas para dedicarse eternamente al deber y al servicio.,111,2730,315066,346042,346046,2407,1829,0
2,venthyr,Los venthyr son los aristocráticos supervisores de las almas cargadas de orgullo y maldad. Son quienes guían a las almas apesadumbradas por el riguroso camino a la expiación y recolectan ánima para que su reino siga siendo fuerte.,112,2731,344545,346037,346043,2413,1830,0
3,sílfides nocturnas,Las sílfides nocturnas cuidan de los espíritus de la naturaleza caídos que duermen en la tranquilidad del bosque. Quienes posean un vínculo profundo con la naturaleza pueden unirse a su causa para que los espíritus rejuvenecidos se reincorporen algún día al ciclo eterno.,114,2732,344538,346039,346044,2465,1831,0
4,necroseñores,"Entre los necroseñores, la fuerza se premia y la debilidad se repudia. Las almas de los ambiciosos y belicosos se forjan en un ejército inmortal al que se encomienda la defensa de las Tierras Sombrías.",113,2733,344544,346041,346045,2410,1832,0
12,Centauros Maruuk,Todos los diversos clanes centauros de las Llanuras de Ohn'ahra se hacen llamar Centauros Maruuk.,119,0,0,0,0,2503,2002,104408
13,Expedición Dragontina,La Liga de Expedicionarios y el Relicario han unido fuerzas para organizar una expedición a las Islas Dragón.,119,0,0,0,0,2507,2021,104394
14,Colmillarr de Iskaara,Una dura tribu colmillarr de las Islas Dragón.,119,0,0,0,0,2511,2087,104409
15,El Acuerdo de Valdrakken,Valdrakken es la impresionante capital de los distintos Vuelos y es aquí donde han alcanzado un acuerdo para volver a ayudar a las razas mortales.,119,0,0,0,0,2510,2088,104407
20,Niffen de Loamm,Los niffen que residen bajo las Islas Dragón en Loamm,119,0,0,0,0,2564,2402,108239
21,Celadores Oníricos,Una coalición de diversas razas que están listas para defender el Sueño Esmeralda de cualquier amenaza.,119,0,0,0,0,2574,2653,115959
23,Tripulación de Patabarril,Una tripulación de inadaptados de espíritu libre que la lían parda a las órdenes del capitán Patabarril.,0,0,0,0,0,2593,2814,119189
24,Consejo de Dornogal,[DNT],120,0,0,0,0,2590,2900,117972
25,La Asamblea de las Profundidades,[DNT],120,0,0,0,0,2594,2898,117991
26,Arathi de Santificación,[DNT],120,0,0,0,0,2570,2901,118011
27,Los Hilos Cortados,[DNT],120,0,0,0,0,2600,2904,118037
28,[DNT] 11.0 Delves Season 1,[DNT],0,0,0,0,0,2644,3022,121067
29,[DNT] TBD The Undermine,[DNT] The Undermine,120,0,0,0,0,2653,3120,129040
31,[DNT] 11.0 Delves Season 2,[DNT],0,0,0,0,0,2683,3130,129178
32,Fidelización de El Gallagio,[DNT],0,0,0,0,0,2685,3315,132346
33,Radiancia de la Llama,[DNT],0,0,0,0,0,2688,3140,130290
