ID,Name_lang,Description_lang,SpecSetID
2,Dádiva inmortal de Azeroth,,1
3,Esfera de supresión,Contiene un remolino de energías Arcanas que te otorgan una mayor sensación de control.,1
4,Resonancia del Vetamundo,"Cuando Sargeras hirió a Azeroth al final de la tercera invasión de la Legión Ardiente, el planeta comenzó a sangrar azerita.",2
5,Esencia del iris de enfoque,,160
6,Protocolo de purificación,"Tras haber eliminado la corrupción de Uldir, se asignó a MADRE la misión de investigar formas de reparar Azeroth.",160
7,Ánima de la Vida y la Muerte,,1
12,El Crisol de Llamas,"El fuego embravecido puede causar una gran destrucción, pero también puede crear nueva vida.",2
13,Dínamo anuladora,"Pesa bastante, a pesar de que el interior parece no contener energía ni materia.",1
14,Fuerza vital condensada,El Corazón de Azeroth es capaz de manipular azerita de formas impensables.,160
15,Ondulación en el espacio,Cada momento es una oportunidad de tomar la decisión correcta.,2
16,Resguardo inquebrantable,,49
17,La marea creciente,,49
18,Artificio del tiempo,,49
19,El pozo de la existencia,,49
20,Invocación de la Patrona de la Vida,,49
21,Conducto de vitalidad,,49
22,Visión de perfección,"Sueña con el futuro, pero concéntrate en el momento.",173
23,Sangre del enemigo,Tu Corazón de Azeroth está furioso,160
24,Espíritu de preservación,,49
25,Égida de las profundidades,Te imbuye de la protección de los elementos.,1
27,Recuerdo de sueños lúcidos,Una mente vacía es una herramienta desaprovechada.,173
28,La fuerza desatada,Fuerzas destructivas se arremolinan de forma violenta esperando a ser liberadas.,160
32,Conflicto y discordia,,173
33,Toque de lo eterno,,1
34,Fuerza del celador,,1
35,Aliento del moribundo,,160
36,Chispa de inspiración,,160
37,El Vacío informe,,2
