ID,OverrideNameString_lang,SlotMask,ItemNameDescriptionID
1,Leotardos de vórtice de campana de vísperas,128,13884
15,,1048576,13586
17,Mano de simetría temerosa,1024,13642
22,Coraza infestada de cepas,32,13662
23,Capa de la espiral mortal,65536,13663
24,Mantón de monstruosidad,65536,13665
26,Peto vampírico,32,13668
27,Manoplas de la runa carmesí,1024,13669
28,Cadena de cero absoluto,4,13673
29,Cinturón del alcance interminable,64,13675
30,Cubremuñecas del cielo fundido,512,13679
31,Capucha de congelación total,2,13682
32,Sortija de orden disciplinaria,2048,13684
33,Fajín de potencial aumentado,64,13685
34,Sobrevesta con encajes de armonía Arcana,1024,13691
35,Bucle del tiempo,2048,13692
37,Santuario de Uther,36,13695
38,Persecución del dechado demente,256,13694
40,Sello de furia recta,2048,13704
42,Manto de inquisidor implacable,65536,13709
43,Escarpes de represalia,256,13713
44,Apisonadoras de Señor del Trueno,256,13716
45,Guanteletes del trastornado,1024,13720
47,Talismán del señor de la batalla,4,13722
48,Hombreras de reverberación sísmica,8,13723
49,Cubremuñecas de los ancestros,512,13724
50,Faja de temblor profundo,64,13725
51,Guardahombros de elemental profundo,8,13726
52,Perdición ígnea del Rompecielos,1048608,13728
53,Musleras de equilibrio elemental,128,13729
54,Ecos del Gran Cataclismo,8,13730
55,Resurgimiento de lava de hablavientos,256,13731
56,Musleras de Jonat enfocadas naturalmente,128,13736
57,Capa del caminaespíritus de mareas,65536,13737
58,Manoplas de las mareas primigenias,1024,13738
59,Capa de armonía terránea,65536,13739
60,Yelmo castigador,2,13742
61,Cubremuñecas de la llamada salvaje,512,13743
62,Cinturón atrapador de Hemet,64,13744
63,Cubrehombros de ascuas de las Forjas de Almas,8,13745
64,Amuleto de estratagema cobarde,4,13746
66,Aro grabado de orden temible,2048,13747
67,Leotardos de piel de cobra de despiertallamas,128,13748
68,Bufas de guerra de eredun,8,13749
69,Capa del maestro acecharrylaks,65536,13750
70,Guardabrazos de disparos emergentes,512,13752
71,Hombreras del acechador de serpientes,8,13753
72,Cubremuñecas de la vigilia insomne,512,13754
73,Musleras de desconcierto de acecharrylaks,128,13756
74,Cubremuñecas de invocación superior de Wilfred,512,13759
77,Pilares del Portal Oscuro,4,13762
78,Toga de escriba de Azj'Aqir,1048608,13763
79,Asediadores oscuros de Sacrolash,128,13764
80,Botas bordadas de cólera,256,13766
81,Hombreras de astas de pesadillas,8,13769
82,Musleras llamaceniza de Azj'Aqir,128,13771
84,Musleras de reanimación,128,13666
87,Máscara de semigigante,2,13776
90,Pezuñas de señor de la fatalidad,256,13779
99,Botas con garras de Endereth,256,13760
100,Ceñidor elegante de los Ymirjar,64,13774
102,Sigilo del maestro asesino,2560,13790
105,Chaleco de polvo de sombras,32,13793
106,Botas de hojas tóxicas,256,13791
110,Parche de caminocaso,32,13797
111,Mimbres de piel verde,2,13798
112,Talismán de bandido,4,13799
114,Aro de celeridad,2048,13789
115,Trabuco oculto,1024,13800
116,Telón final,65536,13801
117,Fragmento de alma de Akaari,1024,13802
119,Sombras sepulcrales,128,13804
126,Visión de sinergia demoníaca,2,13761
127,Pasos de la familia Zoldyck,256,13796
128,Charreteras de hoja apocalíptica manchadas de sangre,8,13795
130,Bufas dentadas sangrientas,8,13792
131,Apetito podrido,65536,13803
151,Apoyo vil errático,256,13781
158,Yelmo vil en llamas,2,13782
159,Embozo del tiempo de oscuridad,32,13778
161,Medallón de miradaoscura,4,13777
163,Ciclo de caos,64,13780
165,Coselete de llama perpetua,32,13810
167,Pezuñas de señor de la fatalidad,256,13809
168,Aro incesante de llama vil,2048,13785
169,Capucha de la Llama Oscura,2,13783
170,Agarre temerario de alma ígnea,1024,13786
171,Musleras perdidas del Rapiñador,128,13784
172,Vista de alba y ocaso,2,13697
175,Yelmo de lo irrevocable,130,13834
176,Grebas del apetito insaciable,256,13835
179,Espaldares pecaminosos,8,13837
180,Coraza de gloria,32,13836
182,Mandiletes de indulgencia pecaminosa,1024,13839
184,Bufas de afinidad gemela,8,13844
185,Botines de espíritus celestiales,256,13846
186,Coselete del enjambre colérico,32,13841
187,Hombreras de claridad tonante,8,13851
189,Yelmo del mazo vinculado al deber,2,13854
190,Leotardos de matanza llameante,256,13857
191,Mandiletes de ascuas radiantes,1024,13853
192,Botas de las estaciones de abundancia,256,13861
193,Yelmo del pacto de Bwonsamdi,2,13862
195,Brazales de Palabra de las Sombras: manipulación,512,13863
197,Ciñecintura de elementos astillados,64,13867
198,Camisa de anillas del conducto elemental,32,13869
199,Leotardos de fragmento de aniquilación,128,13871
200,Escarpines de almas putrefactas,256,13872
201,Turbante de la explosión perpetua contenida,2,13873
202,Guantes de los acechadores de almas,1024,13874
203,Guanteletes de municiones maestras,512,13875
204,Collar de fragmentos de cornamenta antigua,4,13876
205,Botas de fragmentos cortantes,256,13877
206,Jubón del generoso,32,13866
207,Mandiletes de la abominación,1024,13832
208,Peto de transferencia desenfrenada,32,13833
209,Envolturas de armonía de sílfide,1024,13881
210,Chestplate of Test 1 Override,32,13882
211,Chest of Test 2 Override,32,13883
213,Three-pronged Defender (DNT),4,13588
218,Borceguíes de campana de vísperas enfurecida,256,13884
219,Cubremuñecas de enseñanzas siniestras,512,13885
220,Sortija de enseñanzas siniestras,2048,13885
222,Manto de la armonía de las esferas,8,13887
223,Leotardos de la armonía de las esferas,128,13887
224,Anillo de la orden pálida,2048,13888
225,Sandalias de la orden pálida,256,13888
226,Peto de la espiral mortal,32,13663
227,Quijotes de monstruosidad,128,13665
228,Guardarrenes de reanimación,64,13666
229,Sortija vampírica,2048,13668
230,Guardahombros de la runa carmesí,8,13669
231,Guardabrazos de cero absoluto,512,13673
232,Botas de guerra del alcance interminable,256,13675
233,Talismán del cielo fundido,4,13679
234,Hombreras de congelación total,8,13682
235,Cubremuñecas de orden disciplinaria,64,13684
236,Botas de potencial aumentado,256,13685
