ID,FeatureDescription_lang,FeatureIcon,ParentID
1,Domina la nueva clase cazador de demonios,1260827,2
2,Lucha hasta el nivel 110 en las Islas Abruptas,1064187,2
4,¡Embárcate en cientos de misiones nuevas!,236669,5
5,Avanza hasta el nivel 100 en el mundo de Draenor,1033987,5
6,Construye y mejora tu ciudadela,1033989,5
7,¡Embárcate en cientos de misiones nuevas!,236669,4
8,Lucha hasta el nivel 70,236567,4
9,"Desbloquea nueve expansiones, incluida Dragonflight",1064187,4
10,Recluta razas aliadas,413576,6
11,Lucha hasta el nivel 120 en Kul Tiras y Zandalar,1064187,6
12,Sube a un personaje al nivel 110,1033988,6
116,Lucha hasta el nivel 60 en las Tierras Sombrías,236567,115
117,Únete a una curia y blande su poder,3726261,115
118,"Asciende por Torghast, Torre de los Condenados",3257863,115
122,Lucha hasta el nivel 70 en las Islas Dragón,1064187,135
123,Domina la nueva clase evocador dracthyr,4696175,135
124,Vive la emoción de montar como jinete de dragones,4640496,135
125,Comienza la aventura de la Saga del alma-mundo,1064187,143
126,Lucha para llegar al nivel 80 mientras obtienes nuevos y poderosos talentos heroicos,135981,143
127,Explora las profundidades con tu compañero PNJ,1786405,143
131,Precompra Midnight para continuar la épica historia de la Saga del alma-mundo,1778229,149
132,"Entra ya en The War Within con nuevas profundidades, mazmorras y bandas",6025441,149
133,Consigue las llaves de tu hogar y colecciona adornos para darle tu toque personal,7252953,149
