ID,FlowTitle_lang,PopupTitle_lang,PopupDescription_lang,ServiceType,BoostType,IconFileDataID,Priority,Flags,ProfessionLevel,BoostLevel,Expansion,PopupUITextureKitID,Field_11_0_0_54675_012
1,Subida a nivel 100,Subida a nivel 100 gratuita,"World of Warcraft: Legion incluye una subida de personaje al nivel 100. Puedes subir un personaje existente, probar una clase nueva antes de usar la subida, o cerrar la ventana y usarla más tarde.",1,2,1033987,90,1,700,100,6,260,0
5,Subida de Battle for Azeroth,Subida a nivel 110 gratuita,World of Warcraft: Battle for Azeroth incluye una subida de personaje a nivel 110. Elige una de las opciones que aparecen a continuación o cierra la ventana y usa la subida más adelante.,1,3,3573824,80,1,700,48,7,265,0
6,Subida a nivel 90,Subida a nivel 90 gratuita,Esta subida de personaje venía incluida en la compra de Warlords of Draenor,1,1,614740,100,0,625,90,5,260,0
107,Prueba Dragonflight gratis,Prueba Dragonflight gratis,"Por tiempo limitado, ¡juega a Dragonflight totalmente gratis!|n|nCrea un evocador dracthyr o explora las Islas Dragón con cualquier personaje de nivel 60.",0,0,4723908,1100,0,0,0,7,265,0
118,Subida de Shadowlands,Subida a nivel 120 gratuita,,1,4,3752121,50,1,0,50,7,265,0
120,Subida a nivel 60,Subida a nivel 60 gratuita,,1,6,4279397,60,1,0,60,8,265,5595
123,Transferencia de personaje,Transferencia de personaje,Transfiere tu personaje a otro reino o cuenta,2,1,1530081,40,0,0,0,0,5362,5590
125,Cambio de facción,Cambio de facción,"Cambia la facción de un personaje (de la Horda a la Alianza, o bien de la Alianza a la Horda).",2,2,1126583,35,0,0,0,0,5362,5587
139,Cambio de raza,Cambio de raza,Cambia la raza de un personaje (dentro de tu misma facción),2,3,1126585,30,0,0,0,0,5362,5589
140,Cambio de nombre,Cambio de nombre,Cambia el nombre de un personaje,2,4,1126584,25,0,0,0,0,5362,5588
143,Subida a nivel 70,Subida a nivel 70 gratuita,,1,8,4734167,70,0,0,70,9,5468,5594
179,Subida de personaje hasta el nivel 80 mejorada,Subida de personaje hasta el nivel 80 mejorada,,1,11,4279397,120,0,0,80,10,5586,5757
