Name_lang,ID,Flags,UiTextureKitID,UiTextureKitElementCount,LearningCurveID
Orco,1,0,0,0,0
Darnassiano,2,0,0,0,0
Taurahe,3,0,0,0,0
Enánico,6,0,0,0,0
Lengua común,7,0,0,0,0
Demoníaco,8,0,0,0,0
Titánico,9,0,0,0,0
Thalassiano,10,0,0,0,0
Dracónico,11,0,0,0,0
Kalimag,12,0,0,0,0
Gnomótico,13,0,0,0,0
Zandali,14,0,0,0,0
Renegado,33,0,0,0,0
Draenei,35,0,0,0,0
Zombie,36,0,0,0,0
Binario gnomo,37,0,0,0,0
Binario goblin,38,0,0,0,0
Gilneano,39,0,0,0,0
Goblin,40,0,0,0,0
Pandaren,42,0,0,0,0
Pandaren,43,0,0,0,0
Pandaren,44,0,0,0,0
Duende,168,0,0,0,0
Shath'yar,178,0,0,0,0
Nerglés,179,0,0,0,0
Lechúcico lunar,180,0,0,0,0
Shalassiano,181,0,0,0,0
Thalassiano,182,0,0,0,0
Vulpera,285,0,0,0,0
Clave compleja,287,0,0,0,0
Clave básica,288,0,0,0,0
Metrial,290,7,5410,36,0
Contraltonio,291,7,5410,36,0
Sopranio,292,7,5410,36,0
Lascálico,293,7,5410,36,0
Rescálico,294,7,5410,36,0
Solbelim,295,7,5410,36,0
Fasalim,296,7,5410,36,0
Idiomas integrados,297,2,0,0,0
Incognoscible,298,7,5410,36,0
Fúrbolg,303,1,5508,36,62550
Terráneo,304,1,0,36,69564
Nerubiano,307,0,0,0,0
