ID,Name_lang,Description_lang,IconFileDataID,Category
1,Agresividad salvaje,Un enemigo impredecible cuya agresividad debe ser controlada.,136080,2
2,Golpe masivo,Una facultad que inflige mucho daño.,132355,2
3,Daño de grupo,Una facultad que inflige daño a varios miembros del grupo.,135826,2
4,Perjuicio mágico,Un peligroso efecto dañino que hay que disipar.,136207,2
6,Zonas peligrosas,Una facultad que afecta a la zona seleccionada y se debe evitar o escapar de ella.,451165,2
7,Enjambres de esbirros,Un enemigo con muchos aliados vulnerable al daño de área de efecto.,237511,2
8,Hechizo poderoso,Un hechizo peligroso que se debe interrumpir.,136197,2
9,Esbirros mortales,Un enemigo con aliados poderosos al que se debe neutralizar.,1035504,2
10,Batalla cronometrada,Un enemigo al que hay que derrotar rápidamente.,237538,2
11,Orco,¡Lok'tar ogar!,897144,1
12,Ogro,¿Y tú qué miras?,236695,1
13,No-muerto,Cereeeeeeeebros...,236458,1
14,Arakkoa,Una especie antigua y peligrosa.,236435,1
15,Bestia,Grrrrr.,298659,1
16,Demonio,El fin está cerca.,254651,1
17,Rompedor,Unos gigantes colosales y destructivos de Draenor.,236412,1
18,Furia,Las entidades elementales de Draenor.,254652,1
19,Aberración,Criaturas del Vacío.,298680,1
20,Primigenio,Unas criaturas antiguas del Draenor primordial.,254105,1
21,Montañas,Una región montañosa.,236848,0
22,Desierto,Un paisaje árido y hostil.,236846,0
23,Nieve,Una región ártica.,236833,0
24,Subterráneo,La oscuridad de las profundidades.,409595,0
25,Selva,Un área frondosa repleta de plantas y árboles.,236850,0
26,Bosque,Tierras arboladas.,236830,0
27,Ciudad,Una pequeña área urbana.,462338,0
28,Pantano,Un lugar abominable en el que prefieres no estar.,236819,0
29,Llanuras,Las extensas y ondeantes colinas y llanuras verdes.,236712,0
58,Mesa de Hearthstone,¡Arrima una silla a la chimenea!,4620678,0
60,Alquimia,Esta misión está relacionada con la profesión Alquimia.,4620669,0
61,Herrería,Esta misión está relacionada con la profesión Herrería.,4620670,0
62,Encantamiento,Esta misión está relacionada con la profesión Encantamiento.,4620672,0
63,Ingeniería,Esta misión está relacionada con la profesión Ingeniería.,136243,0
64,Joyería,Esta misión está relacionada con la profesión Joyería.,4620677,0
65,Peletería,Esta misión está relacionada con la profesión Peletería.,133611,0
66,Sastrería,Esta misión está relacionada con la profesión Sastrería.,4620681,0
67,Inscripción,Esta misión está relacionada con la profesión Inscripción.,4620676,0
73,Submarino,"Los submarinos se mueven en silencio bajo el agua, acercándose sin ser descubiertos a barcos desprevenidos.

|cffb2f0ffContrarrestado por: |r
|TInterface\ICONS\Ships_ABILITY_DepthCharges.blp:24:24:0:0|t |cffffffff Destructor|r",1141396,2
74,Portanaves,"Los portanaves están equipados con un escuadrón de expertos pilotos bombarderos.

|cffb2f0ffContrarrestado por: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarino|r",1141394,2
75,Destructor,"Los destructores son barcos veloces y fuertemente armados, famosos por cazar submarinos.

|cffb2f0ffContrarrestado por: |r
|TInterface\ICONS\Ships_ABILITY_ArmorPiercingAmmo.blp:24:24:0:0|t |cffffffff Buque de combate|r",1141395,2
76,Buque de combate,"Temidos por sus devastadores cañones de artillería de largo alcance, los buques de combate no tienen rival en mar abierto.

|cffb2f0ffContrarrestado por: |r
|TInterface\ICONS\Ships_ABILITY_Bombers.blp:24:24:0:0|t |cffffffff Portanaves|r",1141390,2
77,Agua helada,Enormes trozos de hielo flotan por la superficie del agua. Cuando tus barcos navegan por el laberinto de hielo son vulnerables a los ataques.,236794,2
78,Tiempo tormentoso,"Las potentes ráfagas de viento, la violencia de los rayos y las gigantescas olas son solo tres de los motivos de preocupación al navegar con tiempo tormentoso.",463562,2
79,Niebla densa,Una niebla densa sume este lugar en una oscuridad absoluta.,132331,2
80,Remolinos caóticos,Sin previo aviso o motivo aparente aparecen remolinos caóticos que causan estragos en todo barco que pasa por ahí.,892446,2
81,Rapidez,"Acelera por el agua con una potencia temeraria. Media batalla consiste en aguantar el ritmo, la otra es una cuestión física.",132120,2
82,Evasiva,"Capaz de realizar virajes bruscos sin previo aviso, es un objetivo al que cuesta acertar.",136205,2
83,Minador,Este barco minador va dejando a su paso minas de proximidad que hacen que seguir su estela sea muy peligroso.,133710,2
84,Primer ataque,Un veloz ataque inicial que puede terminar una batalla antes de que empiece.,132212,2
85,Capitán experto,"Un barco comandado por un capitán veterano y versado en los matices del combate naval. A los capitanes expertos no se les puede contrarrestar directamente, pero deben tenerse en cuenta para triunfar.",133168,2
86,Envío terrestre,,132296,2
87,Objetivo terrestre,"Un objetivo que requiere el transporte de mercancías o tropas a ubicaciones terrestres.

|cffb2f0ffContrarrestado por: |r
|TInterface\ICONS\Ships_ABILITY_BoardingPartyALLIANCE.blp:24:24:0:0|t |cffffffff Transportador|r",132296,2
88,Tripulación maldita,Con una tripulación de marineros malditos.,135974,2
89,Acantilados,Una tierra precaria y despiadada.,409549,0
109,Jefe,"|CFFFFFFF0Jefe|R
Reduce la probabilidad de éxito de la misión si no se contrarresta.",1357797,2
110,Peligro,"|CFFFFFFF0Peligro|R
La duración de la misión aumenta si no se contrarresta.",1357798,2
111,Torbellino,,132369,2
112,Guerrero,,132347,2
113,Jefe,"|CFFFFFFF0Jefe|R
Reduce la probabilidad de éxito de la misión si no se contrarresta.",1357797,2
114,Jefe,"|CFFFFFFF0Jefe|R
Reduce la probabilidad de éxito de la misión si no se contrarresta.",1357797,2
115,Esbirros,"|CFFFFFFF0Ejército|R
Este ejército tiene armaduras poderosas. La duración de la misión aumenta si no se contrarresta.",1357814,2
121,Hechizo,"|CFFFFFFF0Hechizo|R
Un hechizo muy dañino que inflige daño aumentado a las tropas si no se contrarresta.",1357804,2
122,Emboscada,Probabilidad de éxito de la misión reducida. No se puede contrarrestar.,1357812,2
124,Jefe,"|CFFFFFFF0Jefe|R
Reduce la probabilidad de éxito de la misión si no se contrarresta.",1357797,2
125,Jefe,"|CFFFFFFF0Jefe|R
Reduce la probabilidad de éxito de la misión si no se contrarresta.",1357797,2
126,Brutal,Probabilidad de éxito reducida un ${$a910}%.,311232,2
127,Fácil,Probabilidad de éxito reducida un ${$a909}%.,311236,2
128,Difícil,Probabilidad de éxito reducida un ${$a907}%.,311237,2
129,Muy difícil,Probabilidad de éxito reducida un ${$a908}%.,311238,2
130,Élite,Probabilidad de éxito de la misión reducida. No se puede contrarrestar.,1357812,2
131,Mazmorra,Probabilidad de éxito de la misión reducida. No se puede contrarrestar.,1357812,2
132,Banda,Probabilidad de éxito de la misión reducida. No se puede contrarrestar.,1357812,2
135,Élite de Argus,"|CFFFFFFF0Élite de Argus|R
Reduce la probabilidad de éxito de la misión si no se contrarresta.",1113433,2
138,Objetivo principal,"Aficionado a crear dispositivos, destruir dispositivos o crear dispositivos que destruyen otros dispositivos.",134520,2
139,Reconocimiento,"|cFFFFD200""Los grupos grandes llaman la atención""|r",134441,2
141,Exploración,,134441,2
142,A distancia,,236201,2
143,Cuerpo a cuerpo,,132269,2
144,Sobre montura,,132226,2
145,Sabotaje,"Mientras está activo, aumenta la duración de otras misiones un 50%.

|cFFFFD200""Las explosiones pueden dejarlo todo perdido""|r",133715,0
147,Objetivo principal,"Encuentra objetivos, consigue información y no pierdas el tipo.",132288,2
148,Visión nocturna,Permite ver en la oscuridad.,136057,2
149,Objetivo principal,Especialista en varios estilos de combate y armas.,615342,2
150,Golpe rápido,"Reducir la duración de la misión también aumenta la probabilidad de éxito.

|cFFFFD200""Un ataque rápido sorprenderá al enemigo y no le dará ocasión de contraatacar. Visto y no visto.""|r",134376,0
151,Misión de élite,Probabilidad de éxito de la misión reducida. No se puede contrarrestar.,616373,2
153,Sigilo,"La tropas reducen la probabilidad de éxito un 100%.

|cFFFFD200""Los grupos grandes llaman la atención"".|r",132320,2
154,Campaña larga,"Aumenta la probabilidad de éxito un 10% por cada punto de vitalidad de la tropa en la misión.

|cFFFFD200""Vendrían bien piernas nuevas para el largo viaje y las desfavorables condiciones"".|r",1060984,2
256,Mar profundo,"Probabilidad de éxito de la misión reducida.

|cFFFFD200""¿Cómo esperas que lleguemos hasta ahí? ¿Nadando?""|r",135861,2
257,JasonTest Mechanic,JasonTest Mechanic,0,0
