ID,Prefix_lang,Middle_lang,Suffix_lang,NeighborhoodMapID
1,[m]Rabioso[f]Rabiosa[n],[m]Hendimiento,Descanso,2
2,[m]Caliente[f]Caliente[n],[m]Desierto,Isla,2
3,[m]Férreo[f]Férrea[n],[f]Tumba,Sima,2
4,[m]Profundo[f]Profunda[n],[f]Poza,Colina,2
5,[m]Oscuro[f]Oscura[n],[f]Excavación,Cañón,2
6,[m]Pétreo[f]Pétrea[n],[f]Llama,Barranco,2
19,[m]Feliz[f]Feliz[n],[m]Arrollo,Valle,1
55,[m]Falso[f]Falsa[n],[f]Prueba,Tierra,4
61,[m]Soñoliento[f]Soñolienta[n],[m]Hogar,Viñedo,1
62,[m]Sacro[f]Sacra[n],[m]León,Isla,1
63,[m]Azul[f]Azul[n],[f]Oleada,Islote,1
64,[m]Fresco[f]Fresca[n],[f]Niebla,Puerto,1
65,[m]Silencioso[f]Silenciosa[n],[m]Viento,Remanso,1
66,[m]Dorado[f]Dorada[n],[f]Claridad,Santuario,1
67,[m]Sereno[f]Serena[n],[m]Océano,Punto,1
68,[m]Grandioso[f]Grandiosa[n],[m]Mar,Descanso,1
69,[m]Agotado[f]Agotada[n],[f]Vela,Aldea,1
70,[m]Salado[f]Salada[n],[f]Cosecha,Colina,1
71,[m]Inicial[f]Inicial[n],[f]Bandera,Arribo,1
72,[m]Esmeralda[f]Esmeralda[n],[f]Bendición,Enclave,1
73,[m]Antiguo[f]Antigua[n],[m]Roble,Puerto,1
74,[m]Nuevo[f]Nueva[n],[f]Travesía,Avanzada,1
75,[m]Lúgubre[f]Lúgubre[n],[f]Penumbra,Poblacho,1
76,[m]Prometido[f]Prometida[n],[f]Ancla,Puerto,1
77,[m]Claro[f]Clara[n],[m]Cielo,Condado,1
78,[m]Pálido[f]Pálida[n],[f]Arena,Ribera,1
81,[m]Seco[f]Seca[n],[f]Floración,Bahía,2
82,[m]Místico[f]Mística[n],[f]Montaña,Islote,2
83,[m]Abrasado[f]Abrasada[n],[f]Arena,Remanso,2
84,[m]Brillante[f]Brillante[n],[m]Sol,Bastión,2
86,[m]Agrietado[f]Agrietada[n],[f]Roca,Aguja,2
87,[m]Rojo[f]Roja[n],[m]Jabalí,Cresta,2
88,[m]Alto[f]Alta[n],[m]Verano,Jardines,2
89,[m]Terrestre[f]Terrestre[n],[f]Columna,Cornucopia,2
90,[m]Pesto[f]Presta[n],[m]Peregrinaje,Refugio,2
91,[m]Libre[f]Libre[n],[f]Fortuna,Comuna,2
92,[m]Frágil[f]Frágil[n],[m]Colmillo,Oasis,2
93,[m]Sollozante[f]Sollozante[n],[m]Exilio,Acantilados,2
94,[m]Afilado[f]Afilada[n],[f]Gravilla,Asentamiento,2
