Name_lang,Description_lang,ID,TriggerEnum,Flags
,,1,1,3
,,2,2,0
Ubicaciones,"|cnHIGHLIGHT_FONT_COLOR:Cualquier ubicación:|r Este conjunto es válido en cualquier ubicación. Se dará prioridad a los conjuntos asignados a una ubicación específica.|n|n|cnHIGHLIGHT_FONT_COLOR:Áreas de descanso:|r Zonas que no son de combate, como ciudades y vecindarios.|n|n|cnHIGHLIGHT_FONT_COLOR:Hogar:|r El hogar de tu banda guerrera.|n|n|cnHIGHLIGHT_FONT_COLOR:Selección de personaje:|r Cómo se muestran tus campamentos de la banda guerrera y su vista individual.|n|n|cnHIGHLIGHT_FONT_COLOR:Mundo:|r Zonas de combate exteriores.",3,3,4
Movimiento,Escoge el tipo de movimiento para el que es válido este atuendo.,4,4,4
Especializaciones,Escoge las especializaciones para las que es válido este atuendo.,5,5,4
Conjuntos de equipamiento,Escoge los conjuntos de equipamiento para los que es válido este atuendo.,6,6,4
Forma de raza,Escoge las formas de raza para las que es válido este atuendo.,7,7,4
,,9,8,0
Clima,Escoge las condiciones climáticas para las que es válido este atuendo.,11,9,4
Hora del día,Escoge la hora del día para la que es válido este atuendo.,12,10,4
