ID,Name_lang,Description_lang,ButtonText_lang,RewardDescription_lang,ContinueDescription_lang,Type,PlayerConditionID,Flags,ButtonActionType,TextureFileDataID,LfgDungeonID,QuestID,BattleMasterListID,PriorityMin,PriorityMax,CurrencyType,CurrencyQuantity,UIMapID,BonusPlayerConditionID[0],BonusPlayerConditionID[1],BonusValue[0],BonusValue[1]
7,Laderas de Trabalomas,¡Únete a la máquina de guerra de los Renegados y marcha hacia las Laderas de Trabalomas por la Horda!,Iniciar misión,,,0,33200,0,3,236779,0,28571,0,250,250,0,0,25,33600,33200,1,0
8,Vallefresno,¡Expulsa a los elfos de la noche de Vallefresno y reclama sus recursos para la Horda!,Iniciar misión,,,0,33201,0,3,236713,0,28493,0,250,250,0,0,63,33636,33201,1,0
9,Cuevas de los Lamentos,Entra en las Cuevas de los Lamentos y lucha contra los malvados Druidas del Colmillo.,Unirse a un grupo,,,6,33956,0,1,236450,1,0,0,90,90,0,0,0,33955,33956,0,0
10,Minas de la Muerte,Explora las minas abandonadas que hay bajo los Páramos de Poniente donde la Hermandad Defias reúne a su ejército de proscritos.,Unirse a un grupo,,,6,33202,0,1,236409,6,0,0,90,90,0,0,0,33957,33202,0,0
12,Castillo de Colmillo Oscuro,Un castillo en ruinas que corona el Bosque de Argénteos. Esta oscura fortaleza es el hogar de una camarilla de nobleza gilneana caída.,Unirse a un grupo,,,6,33774,0,1,463876,8,0,0,90,90,0,0,0,33958,33774,0,0
13,Garganta Grito de Guerra,Reclama Garganta Grito de Guerra para la Horda en este campo de batalla de capturar la bandera.,Unirse a la lucha,,,5,33717,1,4,236350,0,0,2,10,10,0,0,0,34691,33717,1,0
14,Cuenca de Arathi,Enfréntate a los jugadores de la Alianza por el control de la Cuenca de Arathi y de todos sus recursos en este campo de batalla.,Unirse a la lucha,,,5,33718,1,4,236712,0,0,3,10,10,0,0,0,34691,33718,1,0
17,Sima Ígnea,¡Enfréntate al culto oscuro conocido como la Hoja Abrasadora en las cavernas volcánicas que hay bajo Orgrimmar!,Unirse a un grupo,,,6,33674,0,1,136216,4,0,0,90,90,0,0,0,33959,33674,0,0
21,Mazmorra aleatoria,¡Haz una mazmorra aleatoria de Warlords of Draenor para mejorar el equipo de tu personaje!,Unirse a un grupo,,,6,33723,0,1,1042626,788,0,0,90,90,0,0,0,0,33723,0,0
27,Campo de batalla aleatorio,¡Combate contra otros jugadores en un campo de batalla aleatorio!,Unirse a la lucha,,,5,34154,0,8,132269,0,0,32,10,10,0,0,0,33559,34154,4,0
